channel_number,cycle_number,marker_name,Filter,excitation_wavelength,emission_wavelength,background,exposure
0,0,DNA_1,DAPI,395,431,,35
2,1,IGFBP5,Cy3,555,590,AF555_background,200
3,1,COL4A1,Cy5,640,690,AF647_background,800
1,3,CD146,FITC,485,525,AF488_bleach_1,500
2,3,RS6,Cy3,555,590,AF555_bleach_1,350
3,3,CD31,Cy5,640,690,AF647_bleach_1,1000
1,5,Vimentin,FITC,485,525,AF488_bleach_2,800
2,5,CD68,Cy3,555,590,AF555_bleach_2,200
3,5,CD19,Cy5,640,690,AF647_bleach_2,1500
1,7,PCK,FITC,485,525,AF488_bleach_3,700
2,7,CD3,Cy3,555,590,AF555_bleach_3,500
3,7,NaKATPase,Cy5,640,690,AF647_bleach_3,300
1,9,Col1a1,FITC,485,525,AF488_bleach_4,1500
2,9,CD90,Cy3,555,590,AF555_bleach_4,700
3,9,PDPN,Cy5,640,690,AF647_bleach_4,300
1,11,CK19,FITC,485,525,AF488_bleach_5,1500
2,11,Tenascin,Cy3,555,590,AF555_bleach_5,400
3,11,COL6A1,Cy5,640,690,AF647_bleach_5,300
1,13,SMA,FITC,485,525,AF488_bleach_6,800
2,13,FN,Cy3,555,590,AF555_bleach_6,300
3,13,CD45,Cy5,640,690,AF647_bleach_6,1500
1,15,HLADR,FITC,485,525,AF488_bleach_7,1000
2,15,CD11c,Cy3,555,590,AF555_bleach_7,900
3,15,CD4,Cy5,640,690,AF647_bleach_7,600
1,17,CD14,Cy5,640,690,AF647_bleach_8,600
