fov,label,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,area,eccentricity,euler_number,alignment_score
fov0,1,2227.1888001026527,13274.571421179968,3102.9011650397583,956.8400930775532,-0.46073093230633955,483183,0.9512666550615385,-175,0.2997627994967118
fov0,3,666.5137777777778,13953.946666666667,59.774530485154806,56.09435365960798,0.07650346151173384,1125,0.3454630332189987,0,
fov0,4,821.7555079559363,13900.070991432069,177.843904090917,80.16132466955672,-0.9065136150967428,3268,0.8926553860416818,0,0.42313235671241617
fov0,5,950.5699481865284,13993.943005181347,20.582603754690087,12.575090452886716,1.5099889562905713,193,0.7916636093875997,1,
fov0,6,1106.3829365079366,13722.457142857143,115.06228109368446,71.77188706147423,1.4139027061680431,2520,0.7816115010130744,0,
fov0,7,1168.6760563380283,13336.442655935614,30.122546913914746,21.04577551155071,1.3431992731618683,497,0.7154422752040054,1,
fov0,8,1218.6762402088773,14237.772845953003,22.85162550281118,21.394717161723896,-1.3919221311983585,383,0.35134817814798464,1,
fov0,9,1350.1157975460123,13496.648773006134,96.92029535339128,42.91964885578843,-0.07776460759468135,1304,0.8966033799475117,1,0.25614182498325055
fov0,10,1341.697247706422,13961.385321100917,16.779283891385415,8.453257830935861,-0.9338827355575284,109,0.8638253821472953,1,
fov0,11,1389.652985074627,13642.506218905473,58.670870781720154,51.60759519431651,-0.0484845342774052,804,0.47569205713729656,1,
fov0,12,1436.595335276968,13983.295043731778,81.6511535259862,70.96294677688833,1.0438456399511893,1715,0.49463794454967847,0,
fov0,13,1501.3581395348838,13427.251162790697,31.07898731014971,9.245118187229124,-0.49684044897826474,215,0.9547306462474959,1,0.349864335260401
fov0,14,1550.4977168949772,13484.954337899544,29.722178434321453,11.054524001286035,0.7164009273933772,219,0.928261397416876,1,0.5089945180672266
fov0,15,1559.7853658536585,13698.71219512195,20.390482237528303,15.678476430290576,1.2495829552020723,205,0.6393552174322787,1,
fov0,16,1564.2619047619048,13670.063492063493,20.519470829734455,8.111061048020709,0.05800133318748627,126,0.9185580658563747,1,0.23275783443885525
fov0,17,1595.3388625592418,13815.812796208531,55.25047874575048,11.660314411943174,-0.11160417991877801,422,0.9774764358948406,1,0.1180306719274078
fov0,18,1599.4608938547485,13843.731843575419,46.87747812218542,9.93429307285627,-0.12187303004029613,358,0.9772869341574337,1,0.12683427905256234
fov0,19,1605.7838235294118,13926.380882352942,69.2405442067734,61.85786794642375,-0.6966743779587948,1360,0.44930903878884526,0,
fov0,20,1598.0280898876404,13660.398876404495,24.770841342411853,9.739527313915989,-0.552087602632143,178,0.9194593122399917,1,0.3840883593468028
fov0,21,1604.9433962264152,13687.457547169812,25.172187417128885,15.22713980423488,-0.6994391853897058,212,0.7962868488360378,1,
fov0,22,1691.7938053097346,13804.706637168141,100.69981844849558,76.28114583711225,-0.0918656100684854,2260,0.6528232557537706,1,
fov0,23,1679.0227140361094,13893.384391380314,74.96040935828435,67.36126203231686,0.7928694606319837,1717,0.4387185525699374,0,
fov0,24,1747.9034897713598,13656.61155234657,166.75456661919927,96.06573826480931,0.3698772550059712,4155,0.8173858459052576,1,
fov0,25,1748.097995545657,13550.982182628062,52.87093838097685,29.329204728744816,0.16800567275762066,449,0.832029048839988,1,
fov0,26,1832.8936438011328,13491.644430459408,121.9712768439856,50.60358890249438,-0.29169057487498723,1589,0.9098755933254756,1,0.29059678064644573
fov0,27,1791.2291666666667,13804.786458333334,30.1451564684595,8.511736780462146,-0.10995882098298368,192,0.959309001089489,1,0.12011819434535577
fov0,28,1792.14375,13831.9875,24.579936144416962,8.543630032742797,0.07774193729614437,160,0.9376482827506829,1,0.17811774745128803
fov0,29,1827.096,13158.102,38.43659993608538,19.485632280049874,1.1169299489465603,500,0.8619724334616276,1,
fov0,30,1859.425572519084,13826.573791348601,79.65858505113017,66.14044142896401,0.6836990377778405,1572,0.5573182340171776,1,
fov0,31,1900.955047318612,13125.218454258675,67.2058895619069,34.50119957989213,-1.3365616627008128,1268,0.8581699378109602,1,
fov0,32,1999.85413035901,13070.22237713489,171.4569586806008,123.83162176954541,-1.5682722617036902,5738,0.6916513685524946,0,
fov0,33,1978.0278521692555,13171.529726834493,90.3165972764395,60.50892718457263,-0.44713207336176136,1867,0.7423930038633509,1,
fov0,34,2156.653285362621,13505.043173641356,347.72342485530004,66.92596410670271,-0.17544210582315503,5281,0.9813030630119217,1,0.38031731803241453
fov0,35,2067.519230769231,13451.342307692308,52.952524317021755,15.708750523559562,-0.7754904336700715,520,0.9549840170888021,1,0.20815345321142475
fov0,36,2118.710424710425,13334.486486486487,27.00843885654762,13.824982786555255,-0.6598849678587533,259,0.8590591006579025,1,
fov0,37,2166.0910425844345,13571.058737151248,45.976155223641435,45.45972753731713,-1.3787032422330343,681,0.14946187951927922,1,
fov0,38,2166.0504587155965,13204.91743119266,21.92675479883748,18.048448798592776,0.26993732377230734,218,0.5678609677190923,1,
fov0,39,2190.622699386503,13144.086912065439,93.53173534752675,21.625762419643006,-0.7682849829080841,978,0.972903131188975,1,0.2549645338870152
fov0,40,2290.7199858757062,13548.04802259887,105.0779913061162,78.32481276834312,0.3440131749166234,2832,0.6666208875306489,0,
fov0,41,2342.26213592233,13159.728155339806,15.48351745142456,8.856910893312394,0.958566214883522,103,0.8202383550332171,1,
fov0,42,2489.9108996539794,13430.688581314878,92.2913592554422,41.25744117474601,-1.5390031721128066,1156,0.8945166105549194,0,0.8236000082412136
fov0,43,2570.7750200160126,12628.967974379504,135.0760174927311,17.05668965861622,-0.40014409187625927,1249,0.9919953068367837,1,0.1874999786217906
fov0,44,2593.242477487371,13439.263123215462,168.11454917868468,95.2971001804595,-0.7774006991914719,4553,0.823815423691279,0,
