sample_id,leiden,n_cells,fraction,top_marker_genes,suggested_Tier_A,suggested_Tier_B,annotation_note,ductal_epithelial_score_z,duodenum_epithelial_score_z,intestinal_like_ductal_remodeling_score_z,panin_mucin_remodeling_score_z,EPCAM_frac_pos,KRT7_frac_pos,SOX9_frac_pos,CFTR_frac_pos,FXYD2_frac_pos,CDX2_frac_pos,REG4_frac_pos,DMBT1_frac_pos,TMPRSS2_frac_pos,GPX2_frac_pos,KRT20_frac_pos
pdac_pancreas_v1,2,15662,0.1166221136734253,"CFTR, CFB, FXYD2, CXCL6, PROX1, PPP1R1B, EPCAM, FSTL3",pancreatic ductal epithelium,ductal/tumor epithelial,best marker program: ductal_epithelial_score_z,1.5083467660722538,0.0074071077468494,0.1025053703475392,0.18267995270544,0.6438513599795683,0.1748180309028221,,0.967820201762227,0.5718937555867706,,,0.0244540927084663,,0.1847145958370578,0.0030008938832843
pdac_pancreas_v1,9,5356,0.0398817546184948,"GPRC5A, GPX2, EPCAM, FHL2, TMC5, MDM2, MALL, MKI67",pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,best marker program: ductal_epithelial_score_z,0.3923336883986289,0.0762785469525749,2.398916184425615,2.265921603677993,0.9004854368932039,0.1099701269604182,,0.1235997012696041,0.0112023898431665,,,0.3541822255414488,,0.7959297983569829,0.0070948469006721
pdac_pancreas_v1,13,3650,0.0271785669076747,"GPRC5A, MALL, ACTG2, EPCAM, C15orf48, FHL2, SEMA3C, FSTL3",pancreatic ductal epithelium,ductal/tumor epithelial,best marker program: ductal_epithelial_score_z; vetoed unsupported plasma_cell_score_z,0.1907948017673111,0.0013182435785155,0.1001039412357595,0.0731150756222531,0.7506849315068493,0.22,,0.1013698630136986,0.0063013698630136,,,0.0208219178082191,,0.1857534246575342,0.0027397260273972
pdac_pancreas_v1,15,3266,0.0243192327453331,"GPRC5A, MALL, EPCAM, TMC5, FHL2, GPX2, MDM2, EHF",pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,best marker program: ductal_epithelial_score_z,0.6071111449255038,0.1527727998222162,1.5792698286557618,1.5227018483554406,0.9666258420085732,0.2075933864053888,,0.1178812002449479,0.0085731781996325,,,0.1160440906307409,,0.7409675443968157,0.011328842620943
pdac_pancreas_v1,18,1757,0.013082943029256,"MKI67, GPX2, GPRC5A, UBE2C, MDM2, EPCAM, CENPF, CDK1",pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,best marker program: ductal_epithelial_score_z,0.4192449814845729,0.0740392341214185,3.217974614496185,3.0107703958293066,0.9487763232783152,0.0813887307911212,,0.1553784860557769,0.0091064314171883,,,0.5680136596471258,,0.9186112692088788,0.0073989755264655
pdac_pancreas_v1,19,1722,0.0128223266342509,"GPRC5A, MALL, SERPINB3, COL17A1, C15orf48, EPCAM, SEMA3C, ACTG2",pancreatic ductal epithelium,proliferative ductal/tumor epithelial,best marker program: ductal_epithelial_score_z,0.6907680795812424,0.0663407831237652,0.6182957489779536,0.5917460856222151,0.9657375145180024,0.238095238095238,,0.1608594657375145,0.0063879210220673,,,0.0261324041811846,,0.4442508710801394,0.0069686411149825
pdac_pancreas_v1,26,739,0.0055027290259648,"TMC5, GPX2, TM4SF4, CFB, DMBT1, ACE2, NTN4, CAPN8",pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,best marker program: ductal_epithelial_score_z,1.8356308170198716,0.1055993294508641,3.0757554932178923,3.7955910791228415,0.7239512855209743,0.3504736129905277,,0.7956698240866035,0.4262516914749661,,,0.591339648173207,,0.8267929634641408,0.0081190798376184
pdac_io_v1,1,31701,0.1369409142353581,"CEACAM6, EPCAM, CXCL5, CEACAM8, CEACAM1, SDC1, IFNGR1, MET",pancreatic ductal epithelium,proliferative ductal/tumor epithelial,best marker program: ductal_epithelial_score_z,1.6202330691869051,0.0897678882507465,0.1814442211832853,0.9066613995782162,0.9934702375319392,,0.5696981167786506,,,0.1161793003375287,0.1898678275133276,0.0242579098451152,0.3970221759565944,,
pdac_io_v1,2,20236,0.0874147926080157,"DMBT1, REG4, EPCAM, TMPRSS2, CDX2, IQGAP2, TFF3, ANPEP",pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,best marker program: ductal_epithelial_score_z; vetoed unsupported duodenum_epithelial_score_z,0.7758712794419799,1.4925394757033723,2.5291852899764153,1.8060442238028105,0.922020162087369,,0.2300849970349871,,,0.438377149634315,0.8070270804506819,0.8896026882783159,0.4845819331883771,,
pdac_io_v1,5,17634,0.0761747604689538,"CEACAM6, CXCL5, EPCAM, CEACAM8, CEACAM1, IFNGR1, MET, SPARC",pancreatic ductal epithelium,proliferative ductal/tumor epithelial,best marker program: ductal_epithelial_score_z,0.5344382318795738,-0.1999111993626752,-0.353050116153443,0.2699962249837473,0.741351933764319,,0.1420551207893841,,,0.0197913122377225,0.0464443688329363,0.011058183055461,0.0881252126573664,,
