sample_id,gene_set,n_requested,n_present,present_genes
pdac_pancreas_v1,ductal_epithelial,21,11,"EPCAM, KRT7, TFF2, AGR3, EGFR, ERBB2, CFTR, FXYD2, TM4SF4, PROX1, EHF"
pdac_pancreas_v1,duodenum_epithelial,10,1,KRT20
pdac_pancreas_v1,acinar_epithelial,16,5,"AMY2A, AQP8, GATM, ANPEP, KLK11"
pdac_pancreas_v1,islet_endocrine,7,5,"INS, GCG, SST, PPY, CHGA"
pdac_pancreas_v1,fibroblast_stellate,11,4,"ACTA2, PDGFRA, THY1, PDPN"
pdac_pancreas_v1,endothelial,19,8,"PECAM1, VWF, SOX17, ACKR1, ADGRL4, CD34, ECSCR, CLEC14A"
pdac_pancreas_v1,t_cell,9,8,"PTPRC, CD3D, CD3E, CD2, CD247, TRAC, CD4, CD8A"
pdac_pancreas_v1,cytotoxic_t_nk,8,8,"NKG7, GNLY, GZMA, GZMB, GZMK, PRF1, KLRD1, KLRC1"
pdac_pancreas_v1,treg_checkpoint,6,6,"FOXP3, IL2RA, CTLA4, PDCD1, LAG3, HAVCR2"
pdac_pancreas_v1,b_cell,8,5,"CD19, MS4A1, CD79A, BANK1, TCL1A"
pdac_pancreas_v1,plasma_cell,14,4,"MZB1, DERL3, TNFRSF17, PRDM1"
pdac_pancreas_v1,myeloid,28,10,"CD14, CD68, AIF1, FCGR3A, FCGR1A, CD163, MPEG1, PLA2G7, LILRA5, MCEMP1"
pdac_pancreas_v1,mast_cell,5,5,"KIT, CPA3, MS4A2, GATA2, HPGDS"
pdac_pancreas_v1,proliferation,5,5,"MKI67, UBE2C, TOP2A, CENPF, CDK1"
pdac_pancreas_v1,panin_mucin_remodeling,10,4,"TFF2, AGR3, DMBT1, GPX2"
pdac_pancreas_v1,intestinal_like_ductal_remodeling,6,2,"DMBT1, GPX2"
pdac_io_v1,ductal_epithelial,21,7,"EPCAM, SOX9, MUC5AC, TFF3, CEACAM6, EGFR, ERBB2"
pdac_io_v1,duodenum_epithelial,10,1,CDX2
pdac_io_v1,acinar_epithelial,16,1,ANPEP
pdac_io_v1,islet_endocrine,7,0,
pdac_io_v1,fibroblast_stellate,11,4,"ACTA2, PDGFRA, DCN, LUM"
pdac_io_v1,endothelial,19,5,"SOX17, PLVAP, FLT1, SPARCL1, IGFBP7"
pdac_io_v1,t_cell,9,8,"PTPRC, CD3D, CD3E, CD2, CD247, CD4, CD8A, CD8B"
pdac_io_v1,cytotoxic_t_nk,8,8,"NKG7, GNLY, GZMA, GZMB, GZMK, PRF1, KLRD1, KLRC1"
pdac_io_v1,treg_checkpoint,6,6,"FOXP3, IL2RA, CTLA4, PDCD1, LAG3, HAVCR2"
pdac_io_v1,b_cell,8,8,"CD19, MS4A1, CD79A, CD79B, BANK1, TCL1A, IGHM, IGKC"
pdac_io_v1,plasma_cell,14,11,"MZB1, JCHAIN, SDC1, XBP1, DERL3, TNFRSF17, IGHG1, IGHG2, IGHG3, IGHG4, IGKC"
pdac_io_v1,myeloid,28,22,"CD14, CD68, AIF1, FCGR3A, FCGR1A, FCGR2A, C1QB, CD163, MPEG1, CSF1R, APOE, CTSD, PLA2G7, S100A9, CXCR1, CXCR2, ITGAX, FGR, LILRA5, MCEMP1, IL1B, IL1A"
pdac_io_v1,mast_cell,5,5,"KIT, CPA3, MS4A2, GATA2, HPGDS"
pdac_io_v1,proliferation,5,4,"MKI67, UBE2C, CENPF, CDK1"
pdac_io_v1,panin_mucin_remodeling,10,5,"MUC5AC, TFF3, CEACAM6, DMBT1, REG4"
pdac_io_v1,intestinal_like_ductal_remodeling,6,5,"CDX2, REG4, DMBT1, TMPRSS2, TFF3"
pdac_addon_v1,ductal_epithelial,21,11,"EPCAM, KRT7, TFF2, AGR3, EGFR, ERBB2, CFTR, FXYD2, TM4SF4, PROX1, EHF"
pdac_addon_v1,duodenum_epithelial,10,1,KRT20
pdac_addon_v1,acinar_epithelial,16,5,"AMY2A, AQP8, GATM, ANPEP, KLK11"
pdac_addon_v1,islet_endocrine,7,5,"INS, GCG, SST, PPY, CHGA"
pdac_addon_v1,fibroblast_stellate,11,4,"ACTA2, PDGFRA, THY1, PDPN"
pdac_addon_v1,endothelial,19,8,"PECAM1, VWF, SOX17, ACKR1, ADGRL4, CD34, ECSCR, CLEC14A"
pdac_addon_v1,t_cell,9,8,"PTPRC, CD3D, CD3E, CD2, CD247, TRAC, CD4, CD8A"
pdac_addon_v1,cytotoxic_t_nk,8,8,"NKG7, GNLY, GZMA, GZMB, GZMK, PRF1, KLRD1, KLRC1"
pdac_addon_v1,treg_checkpoint,6,6,"FOXP3, IL2RA, CTLA4, PDCD1, LAG3, HAVCR2"
pdac_addon_v1,b_cell,8,5,"CD19, MS4A1, CD79A, BANK1, TCL1A"
pdac_addon_v1,plasma_cell,14,4,"MZB1, DERL3, TNFRSF17, PRDM1"
pdac_addon_v1,myeloid,28,11,"CD14, CD68, AIF1, FCGR3A, FCGR1A, CD163, MPEG1, PLA2G7, LILRA5, MCEMP1, IL1B"
pdac_addon_v1,mast_cell,5,5,"KIT, CPA3, MS4A2, GATA2, HPGDS"
pdac_addon_v1,proliferation,5,5,"MKI67, UBE2C, TOP2A, CENPF, CDK1"
pdac_addon_v1,panin_mucin_remodeling,10,4,"TFF2, AGR3, DMBT1, GPX2"
pdac_addon_v1,intestinal_like_ductal_remodeling,6,2,"DMBT1, GPX2"
normal_nondiseased_v1,ductal_epithelial,21,11,"EPCAM, KRT7, TFF2, AGR3, EGFR, ERBB2, CFTR, FXYD2, TM4SF4, PROX1, EHF"
normal_nondiseased_v1,duodenum_epithelial,10,1,KRT20
normal_nondiseased_v1,acinar_epithelial,16,5,"AMY2A, AQP8, GATM, ANPEP, KLK11"
normal_nondiseased_v1,islet_endocrine,7,5,"INS, GCG, SST, PPY, CHGA"
normal_nondiseased_v1,fibroblast_stellate,11,4,"ACTA2, PDGFRA, THY1, PDPN"
normal_nondiseased_v1,endothelial,19,8,"PECAM1, VWF, SOX17, ACKR1, ADGRL4, CD34, ECSCR, CLEC14A"
normal_nondiseased_v1,t_cell,9,8,"PTPRC, CD3D, CD3E, CD2, CD247, TRAC, CD4, CD8A"
normal_nondiseased_v1,cytotoxic_t_nk,8,8,"NKG7, GNLY, GZMA, GZMB, GZMK, PRF1, KLRD1, KLRC1"
normal_nondiseased_v1,treg_checkpoint,6,6,"FOXP3, IL2RA, CTLA4, PDCD1, LAG3, HAVCR2"
normal_nondiseased_v1,b_cell,8,5,"CD19, MS4A1, CD79A, BANK1, TCL1A"
normal_nondiseased_v1,plasma_cell,14,4,"MZB1, DERL3, TNFRSF17, PRDM1"
normal_nondiseased_v1,myeloid,28,10,"CD14, CD68, AIF1, FCGR3A, FCGR1A, CD163, MPEG1, PLA2G7, LILRA5, MCEMP1"
normal_nondiseased_v1,mast_cell,5,5,"KIT, CPA3, MS4A2, GATA2, HPGDS"
normal_nondiseased_v1,proliferation,5,5,"MKI67, UBE2C, TOP2A, CENPF, CDK1"
normal_nondiseased_v1,panin_mucin_remodeling,10,4,"TFF2, AGR3, DMBT1, GPX2"
normal_nondiseased_v1,intestinal_like_ductal_remodeling,6,2,"DMBT1, GPX2"
