cell_id,epithelial_refinement_cluster,original_Tier_A,original_Tier_B,refined_Tier_A,refined_Tier_B
aaaaiebg-1,17,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaacbkcf-1,16,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaacdloi-1,22,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaacfkpn-1,22,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaaebmfe-1,15,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aaaedfid-1,9,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaafcdcl-1,6,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaafjopn-1,6,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaahbdnc-1,9,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaahbkof-1,9,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaahmegg-1,9,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaaiacdg-1,0,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaaikgag-1,6,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaajdhec-1,13,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaakgccc-1,3,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaakkhbb-1,22,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaakpllk-1,3,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaanliod-1,23,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaannfhp-1,9,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaannlbf-1,3,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaaoelan-1,20,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaaogeff-1,3,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaaoineb-1,3,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaapafeo-1,9,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaapjjij-1,9,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaapmfga-1,6,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aabahapb-1,2,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aabbpabc-1,6,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aabcacod-1,2,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aabcbidk-1,1,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aabdfhkg-1,9,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aabdgjeo-1,17,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aabedfbf-1,1,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aabelkjp-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aabepili-1,23,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aabfemko-1,13,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
