sample_id,method,subcluster,n_cells,fraction_of_epithelial_candidates,parent_annotation_cluster_key,parent_annotation_cluster_mix,parent_leiden_mix,parent_Tier_A_mix,parent_Tier_B_mix,parent_Tier_A_major,parent_Tier_B_major,ductal_epithelial_score_z,duodenum_epithelial_score_z,acinar_epithelial_score_z,islet_endocrine_score_z,panin_mucin_remodeling_score_z,intestinal_like_ductal_remodeling_score_z,proliferation_score_z,EPCAM_mean,EPCAM_frac_pos,KRT7_mean,KRT7_frac_pos,CFTR_mean,CFTR_frac_pos,FXYD2_mean,FXYD2_frac_pos,TM4SF4_mean,TM4SF4_frac_pos,PROX1_mean,PROX1_frac_pos,EHF_mean,EHF_frac_pos,TFF2_mean,TFF2_frac_pos,AGR3_mean,AGR3_frac_pos,DMBT1_mean,DMBT1_frac_pos,GPX2_mean,GPX2_frac_pos,KRT20_mean,KRT20_frac_pos,AMY2A_mean,AMY2A_frac_pos,AQP8_mean,AQP8_frac_pos,GATM_mean,GATM_frac_pos,ANPEP_mean,ANPEP_frac_pos,KLK11_mean,KLK11_frac_pos,INS_mean,INS_frac_pos,GCG_mean,GCG_frac_pos,SST_mean,SST_frac_pos,PPY_mean,PPY_frac_pos,CHGA_mean,CHGA_frac_pos,MKI67_mean,MKI67_frac_pos,UBE2C_mean,UBE2C_frac_pos,TOP2A_mean,TOP2A_frac_pos,duodenum_panel_score,ductal_tumor_score,duodenum_minus_ductal_score,refined_Tier_A,refined_Tier_B,refinement_action
normal_nondiseased_v1,epithelial_pca_kmeans_24,0,2346,0.027587991109752224,xenium_graphclust,5:0.77; 1:0.20; 3:0.01; 17:0.01,5:0.77; 1:0.20; 3:0.01; 17:0.01,pancreatic acinar epithelium:0.98; pancreatic ductal epithelium:0.01; Islets:0.01,acinar epithelial:0.98; ductal/tumor epithelial:0.01; endocrine/islet:0.01,pancreatic acinar epithelium,acinar epithelial,-0.2189593318655688,0.1672150671159853,0.4391763220978078,0.175881295679428,0.1670816152229596,0.18065113237906905,0.4461151221301604,4.182429790496826,0.8593350383631714,0.04852315038442612,0.011935208866155157,3.6691863536834717,0.7523444160272805,1.8287513256072998,0.4143222506393862,0.6158503293991089,0.1504688832054561,1.964880347251892,0.45737425404944587,2.4076340198516846,0.5528559249786871,0.17974242568016052,0.045183290707587385,0.2614458203315735,0.06479113384484228,0.29138174653053284,0.07289002557544758,0.08067479729652405,0.020034100596760442,0.2686980962753296,0.06692242114236999,7.647461891174316,1.0,6.32663631439209,0.9961636828644501,7.368516445159912,1.0,5.861270904541016,0.9906223358908781,2.1890904903411865,0.5110826939471441,0.5495643019676208,0.12915601023017903,0.509760856628418,0.12020460358056266,0.3467611074447632,0.08439897698209718,0.23623451590538025,0.05583972719522592,0.33063265681266785,0.0814151747655584,0.7087103724479675,0.17476555839727195,0.5620166063308716,0.13895993179880647,0.22630514204502106,0.056692242114237,0.29138174653053284,,,pancreatic acinar epithelium,acinar epithelial,kept
normal_nondiseased_v1,epithelial_pca_kmeans_24,1,3494,0.041087996989545725,xenium_graphclust,1:0.68; 2:0.17; 5:0.08; 7:0.04,1:0.68; 2:0.17; 5:0.08; 7:0.04,pancreatic acinar epithelium:0.97; pancreatic ductal epithelium:0.02; Islets:0.00,acinar epithelial:0.97; ductal/tumor epithelial:0.02; endocrine/islet:0.00,pancreatic acinar epithelium,acinar epithelial,-0.5079408748027706,0.0547732648769326,0.5344108036845727,-0.24483078224167296,0.07132478386222531,0.31742455915547146,-0.06007643960034976,3.891817331314087,0.7567258156840297,0.03335588425397873,0.007441327990841442,3.4587652683258057,0.6688609044075559,1.5114996433258057,0.31568402976531196,0.3463999032974243,0.07641671436748712,1.4740607738494873,0.31539782484258727,1.8366795778274536,0.38780767029192903,0.01271248608827591,0.0028620492272467086,0.1491849273443222,0.03262736119061248,0.3059564232826233,0.067830566685747,0.19403183460235596,0.0432169433314253,0.18204323947429657,0.04092730394962794,7.6508588790893555,1.0,6.579330921173096,0.9968517458500287,7.582490921020508,1.0,6.160205364227295,0.9885518030910132,1.9736062288284302,0.41986262163709215,0.2061815857887268,0.045220377790498,0.13821695744991302,0.03005151688609044,0.07631714642047882,0.01688609044075558,0.030746158212423325,0.006868918145392101,0.0634181872010231,0.014024041213508873,0.18314184248447418,0.040641099026903264,0.2623071074485779,0.05838580423583286,0.14528928697109222,0.03262736119061248,0.3059564232826233,,,pancreatic acinar epithelium,acinar epithelial,kept
normal_nondiseased_v1,epithelial_pca_kmeans_24,2,4006,0.047108905535237604,xenium_graphclust,1:0.57; 2:0.30; 17:0.08; 5:0.04,1:0.57; 2:0.30; 17:0.08; 5:0.04,pancreatic acinar epithelium:0.92; Islets:0.08; pancreatic ductal epithelium:0.00,acinar epithelial:0.92; endocrine/islet:0.08; ductal/tumor epithelial:0.00,pancreatic acinar epithelium,acinar epithelial,-0.6505646019385779,-0.09042783913736507,0.6158222791456424,0.5081919100797435,-0.11956856631841369,-0.04456652270675433,-0.02823625187948639,4.1895904541015625,0.8167748377433849,0.033167190849781036,0.0074887668497254116,2.7358508110046387,0.5554168746879681,1.08463716506958,0.236645032451323,0.3103351294994354,0.06964553170244633,1.174873948097229,0.2598602096854718,1.5586274862289429,0.34073889166250626,0.04273700341582298,0.009735396904643036,0.1560126692056656,0.03544682975536695,0.12683270871639252,0.02895656515227159,0.03456540033221245,0.00798801797304044,0.0701419934630394,0.016225661507738392,7.629326343536377,1.0,6.6369829177856445,0.9987518721917125,7.605749607086182,1.0,6.218100547790527,0.9905142286570144,2.32950496673584,0.5014977533699451,1.0152970552444458,0.20644033949076385,0.9027488827705383,0.18447329006490265,0.6142703294754028,0.1293060409385921,0.17600686848163605,0.037693459810284574,0.41632845997810364,0.09261108337493759,0.37696418166160583,0.0853719420868697,0.21024033427238464,0.047678482276585124,0.2308446764945984,0.05217174238642037,0.12683270871639252,,,pancreatic acinar epithelium,acinar epithelial,kept
normal_nondiseased_v1,epithelial_pca_kmeans_24,3,2601,0.03058668579559486,xenium_graphclust,3:0.45; 4:0.44; 5:0.08; 7:0.01,3:0.45; 4:0.44; 5:0.08; 7:0.01,pancreatic ductal epithelium:0.89; pancreatic acinar epithelium:0.10; Islets:0.01,ductal/tumor epithelial:0.89; acinar epithelial:0.10; endocrine/islet:0.01; mucin/PanIN-like ductal epithelial:0.00,pancreatic ductal epithelium,ductal/tumor epithelial,0.28612771220635863,-0.13307092292700298,-1.6180615535443417,-0.22723799828674485,-0.11458344343247938,-0.10872279144465678,-0.3466386692358505,3.3621466159820557,0.5509419454056133,0.06615082919597626,0.011534025374855825,6.557246685028076,0.8935024990388312,4.715808868408203,0.7335640138408305,1.2769736051559448,0.21837754709727028,2.4235291481018066,0.407920030757401,2.108107089996338,0.35793925413302574,0.020057357847690582,0.0034602076124567475,0.24658100306987762,0.04344482891195694,0.04817662015557289,0.008073817762399077,0.05321261286735535,0.009611687812379853,0.03727851063013077,0.006535947712418301,7.348414897918701,0.9819300269127259,2.1793429851531982,0.36409073433294886,5.770125865936279,0.8600538254517494,1.9717127084732056,0.33294886582083816,0.16642343997955322,0.02960399846212995,0.1774902641773224,0.03037293348712034,0.14808401465415955,0.025374855824682813,0.12404315918684006,0.021530180699730873,0.04653148353099823,0.007689350249903883,0.07970291376113892,0.014225297962322183,0.10772611200809479,0.018838908112264515,0.08173448592424393,0.014225297962322183,0.061114657670259476,0.010765090349865437,0.04817662015557289,,,pancreatic ductal epithelium,ductal/tumor epithelial,kept
normal_nondiseased_v1,epithelial_pca_kmeans_24,4,1914,0.022507849524324705,xenium_graphclust,3:0.95; 11:0.02; 5:0.02; 4:0.01,3:0.95; 11:0.02; 5:0.02; 4:0.01,pancreatic ductal epithelium:0.98; pancreatic acinar epithelium:0.02; Islets:0.00,ductal/tumor epithelial:0.95; mucin/PanIN-like ductal epithelial:0.02; acinar epithelial:0.02; endocrine/islet:0.00,pancreatic ductal epithelium,ductal/tumor epithelial,1.3851921948308576,0.1290626152870706,-1.2063163954227114,0.06915687384728261,0.38777741930811366,0.03682204141628378,0.323185895150983,4.981785297393799,0.9075235109717869,0.5100796818733215,0.10867293625914315,6.926013946533203,0.9890282131661442,5.847145080566406,0.9644723092998955,2.3760435581207275,0.47701149425287354,4.044964790344238,0.7753396029258098,4.088129043579102,0.7925809822361547,0.096930131316185,0.0219435736677116,0.8276348114013672,0.18234064785788923,0.1425524204969406,0.03134796238244514,0.0949728861451149,0.021421107628004178,0.2392953485250473,0.05329153605015674,7.192698955535889,0.9994775339602926,3.080848455429077,0.6029258098223615,6.0982489585876465,0.9791013584117032,2.979508876800537,0.5945663531870429,0.4778344929218292,0.1071055381400209,0.43170255422592163,0.08934169278996865,0.4114072024822235,0.08725182863113898,0.3336261510848999,0.07262277951933124,0.17167846858501434,0.035527690700104496,0.25466132164001465,0.055381400208986416,0.5003393888473511,0.109717868338558,0.46835631132125854,0.10397074190177638,0.18135055899620056,0.040229885057471264,0.1425524204969406,,,pancreatic ductal epithelium,ductal/tumor epithelial,kept
normal_nondiseased_v1,epithelial_pca_kmeans_24,5,4006,0.047108905535237604,xenium_graphclust,4:0.58; 3:0.40; 7:0.01; 1:0.01,4:0.58; 3:0.40; 7:0.01; 1:0.01,pancreatic ductal epithelium:0.98; pancreatic acinar epithelium:0.02; Islets:0.00,ductal/tumor epithelial:0.98; acinar epithelial:0.02; endocrine/islet:0.00,pancreatic ductal epithelium,ductal/tumor epithelial,1.3480104040181216,0.02763396536370701,-0.06452664612196629,-0.09023878979810672,0.027369071725037424,-0.017405488922341346,0.08032706575479431,5.35683012008667,0.9715426859710434,0.05101953446865082,0.011982026959560658,7.075348854064941,0.9995007488766849,5.77062463760376,0.9867698452321517,2.0910696983337402,0.4420868696954568,4.531782627105713,0.8771842236645032,4.1856913566589355,0.8354967548676985,0.04210929945111275,0.009735396904643036,0.3634939193725586,0.08337493759360959,0.08434181660413742,0.019470793809286072,0.10246150195598602,0.023464802795806292,0.161127969622612,0.03719420868696954,7.4856038093566895,1.0,5.598287105560303,0.9707938092860708,6.996553897857666,1.0,5.237975597381592,0.9510733899151274,1.1469624042510986,0.25961058412381427,0.31604674458503723,0.07014478282576136,0.30709028244018555,0.0691462805791313,0.19797299802303314,0.04518222666000998,0.0952652171254158,0.022216674987518722,0.1342785507440567,0.0309535696455317,0.21584118902683258,0.049675486769845234,0.3268216848373413,0.07488766849725412,0.18121519684791565,0.04118821767348976,0.08434181660413742,,,pancreatic ductal epithelium,ductal/tumor epithelial,kept
normal_nondiseased_v1,epithelial_pca_kmeans_24,6,7379,0.08677399249738349,xenium_graphclust,2:0.77; 7:0.18; 1:0.04; 17:0.01,2:0.77; 7:0.18; 1:0.04; 17:0.01,pancreatic acinar epithelium:0.99; Islets:0.01; pancreatic ductal epithelium:0.01,acinar epithelial:0.99; endocrine/islet:0.01; ductal/tumor epithelial:0.01,pancreatic acinar epithelium,acinar epithelial,-0.1867961940960939,-0.13097846662204288,0.665743395406184,-0.11043116534113925,-0.22006241876508298,-0.14575834738961846,-0.3387029857960011,4.8819098472595215,0.9184171296923702,0.03449397534132004,0.0075891042146632335,4.1460795402526855,0.7793738989022903,2.206590175628662,0.4493833852825586,0.36171603202819824,0.07846591679089307,1.703232765197754,0.35912725301531373,2.301038980484009,0.48272123593982924,0.02134309895336628,0.004743190134164521,0.113210029900074,0.024800108415774496,0.043899793177843094,0.009892939422686,0.022848054766654968,0.005014229570402494,0.03889109194278717,0.008673261959615123,7.6177544593811035,0.9994579211275241,6.7675323486328125,0.9993224014094051,7.6863555908203125,1.0,6.335762977600098,0.9963409676107874,2.3024094104766846,0.4824501965035913,0.3737771809101105,0.0800921534083209,0.3128078877925873,0.06599810272394634,0.14115281403064728,0.030762976013009893,0.07252516597509384,0.015584767583683426,0.08040940761566162,0.01761756335546822,0.11819356679916382,0.026290825315083345,0.08500734716653824,0.01870172110042011,0.07058170437812805,0.015584767583683426,0.043899793177843094,,,pancreatic acinar epithelium,acinar epithelial,kept
normal_nondiseased_v1,epithelial_pca_kmeans_24,7,1172,0.013782235967872808,xenium_graphclust,15:0.95; 17:0.04; 3:0.00,15:0.95; 17:0.04; 3:0.00,Islets:1.00; pancreatic ductal epithelium:0.00,endocrine/islet:1.00; ductal/tumor epithelial:0.00,Islets,endocrine/islet,-0.3306078413978904,-0.09124617151747046,-2.6553088314743287,6.064337607200145,0.022917419542949003,0.21933372743878782,-0.2111562216061991,4.463526725769043,0.8216723549488054,0.019761309027671814,0.004266211604095563,1.1613636016845703,0.2431740614334471,3.3570773601531982,0.6552901023890785,2.2724883556365967,0.43686006825938567,2.4267818927764893,0.5008532423208191,1.2075802087783813,0.25853242320819114,0.04201316088438034,0.00938566552901024,0.1351182907819748,0.029863481228668942,0.079576775431633,0.017918088737201365,0.32866171002388,0.07252559726962457,0.06951133906841278,0.016211604095563138,6.205782413482666,0.976962457337884,1.2017873525619507,0.23976109215017063,2.7472853660583496,0.5170648464163823,1.085932731628418,0.22098976109215018,0.1666061133146286,0.03839590443686007,7.583117961883545,0.9837883959044369,4.8396196365356445,0.7517064846416383,3.7661657333374023,0.6228668941979523,0.8658187985420227,0.15443686006825938,5.326015949249268,0.9155290102389079,0.1808512657880783,0.040955631399317405,0.17274971306324005,0.03924914675767918,0.08424060046672821,0.01962457337883959,0.079576775431633,,,Islets,endocrine/islet,kept
normal_nondiseased_v1,epithelial_pca_kmeans_24,8,1358,0.015969519150487436,xenium_graphclust,11:0.98; 3:0.02; 15:0.00,11:0.98; 3:0.02; 15:0.00,pancreatic ductal epithelium:1.00; Islets:0.00,mucin/PanIN-like ductal epithelial:0.98; ductal/tumor epithelial:0.02; endocrine/islet:0.00,pancreatic ductal epithelium,mucin/PanIN-like ductal epithelial,1.7484061327950833,-0.0366323086114904,-2.133389715620818,-0.007985874074777456,2.2205521644959294,0.3456123609936422,-0.06443773724925608,4.917111396789551,0.8475699558173785,4.063188076019287,0.727540500736377,5.476675987243652,0.8961708394698086,4.697720050811768,0.8181148748159057,6.471930503845215,0.9617083946980854,1.1859517097473145,0.23343151693667158,3.080544948577881,0.5839469808541974,0.4207870662212372,0.08321060382916053,3.1119465827941895,0.5868924889543446,0.09600748121738434,0.020618556701030927,0.4303463399410248,0.08836524300441827,0.11160026490688324,0.023564064801178203,5.193670749664307,0.8615611192930781,0.5064103603363037,0.10382916053019146,4.581284999847412,0.8085419734904271,3.8589823246002197,0.6995581737849779,0.3005123734474182,0.0625920471281296,0.32869261503219604,0.06480117820324006,0.4078741669654846,0.07879234167893961,0.27860626578330994,0.054491899852724596,0.16823473572731018,0.03166421207658321,0.15231220424175262,0.03166421207658321,0.24822998046875,0.05154639175257732,0.22006337344646454,0.047128129602356406,0.1481829583644867,0.030927835051546393,0.09600748121738434,,,pancreatic ductal epithelium,mucin/PanIN-like ductal epithelial,kept
normal_nondiseased_v1,epithelial_pca_kmeans_24,9,8854,0.10411938332725755,xenium_graphclust,2:0.70; 7:0.14; 1:0.13; 4:0.02,2:0.70; 7:0.14; 1:0.13; 4:0.02,pancreatic acinar epithelium:0.97; pancreatic ductal epithelium:0.02; Islets:0.01,acinar epithelial:0.97; ductal/tumor epithelial:0.02; endocrine/islet:0.01,pancreatic acinar epithelium,acinar epithelial,-0.7754110519821713,-0.11582434721132154,0.45251119242707427,-0.22994186711293732,-0.24537555704322542,-0.15118908763989447,-0.3472538512947141,3.406359910964966,0.6226564264739101,0.019793538376688957,0.003840072283713576,3.104283094406128,0.5524056923424441,1.3066672086715698,0.246555229274904,0.22079677879810333,0.043709058052857463,0.9466890096664429,0.18409758301332732,1.148284912109375,0.22295007906031172,0.01529321912676096,0.003049469166478428,0.0843280777335167,0.016828552066862436,0.04190152883529663,0.0084707476846623,0.01976665109395981,0.00395301558617574,0.050569821149110794,0.010051953919132595,7.781463623046875,0.999322340185227,6.60148286819458,0.9845267675626835,7.696970462799072,1.0,6.079650402069092,0.9576462615766885,1.3109121322631836,0.2546871470521798,0.21596573293209076,0.04167607860853852,0.16918164491653442,0.03252767110910323,0.09677819907665253,0.018861531511181386,0.043212179094552994,0.0084707476846623,0.04134318605065346,0.008018974474813643,0.12874165177345276,0.025864016263835554,0.07938826829195023,0.016037948949627286,0.037869643419981,0.007567201264964987,0.04190152883529663,,,pancreatic acinar epithelium,acinar epithelial,kept
