cell_id,epithelial_refinement_cluster,original_Tier_A,original_Tier_B,refined_Tier_A,refined_Tier_B
aaaadnje-1,22,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaacalai-1,9,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaacjgil-1,22,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaacpcil-1,2,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaadhocp-1,20,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaadpbhl-1,20,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaafbala-1,13,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaagajoe-1,13,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaagannb-1,20,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaaghjid-1,20,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaagnfhj-1,22,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaahdphb-1,13,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaaigaaa-1,22,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaaigail-1,2,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaaijojf-1,2,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaajglaf-1,9,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaajojgl-1,2,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaakcgne-1,23,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaakgela-1,20,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaaknnbd-1,20,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaakomle-1,22,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaalgfdk-1,13,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaalkmin-1,20,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaalpghn-1,20,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaambdeb-1,13,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaamdinc-1,8,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaamgldb-1,23,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaamgmip-1,23,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaamoijl-1,22,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaandnkj-1,2,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaanepob-1,23,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaanglln-1,4,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaanhblm-1,2,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaanjcjo-1,22,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaanjdmk-1,2,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaanmnke-1,2,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaaoahad-1,17,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaaoahpb-1,23,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaaofdbk-1,2,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaapbfma-1,23,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial
aaaponmo-1,2,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
