annotation_version,sample_id,cluster_key,leiden,n_cells,fraction,top_marker_genes,suggested_Tier_A,suggested_Tier_B,annotation_score,annotation_note,final_Tier_A,final_Tier_B,notes
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,normal_nondiseased_v1,xenium_graphclust,1,19688,0.18949901342701767,"STC2, FKBP11, MYC, AQP8, ANPEP, TENT5C, NTN4, KLK11",pancreatic acinar epithelium,acinar epithelial,2.2,best marker program: top_marker_rule_2_hits,pancreatic acinar epithelium,acinar epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,normal_nondiseased_v1,xenium_graphclust,10,1811,0.017431060205014677,"CD163, MS4A6A, MRC1, MS4A4A, FGL2, MPEG1, C1orf162, VSIG4",Myeloid cells,myeloid/macrophage,3.0361417690099275,ambiguous: top_marker_rule_2_hits close to second-best,Myeloid cells,myeloid/macrophage,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,normal_nondiseased_v1,xenium_graphclust,11,1445,0.013908272775398238,"TM4SF4, APCDD1, KRT7, SMIM24, CFB, AGR3, CXCL2, TCIM",pancreatic ductal epithelium,mucin/PanIN-like ductal epithelial,1.7155872867969129,best marker program: ductal_epithelial_score_z,pancreatic ductal epithelium,mucin/PanIN-like ductal epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,normal_nondiseased_v1,xenium_graphclust,12,1245,0.011983252322055922,"CCL5, CXCR4, CD8A, CD2, PTPRC, CD3E, TRAC, IL7R",T cells,Tregs,4.445085940872746,ambiguous: top_marker_rule_6_hits close to second-best,T cells,Tregs,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,normal_nondiseased_v1,xenium_graphclust,13,1192,0.011473121901920208,"PDGFRB, EDNRB, STEAP4, ACE2, APOLD1, ADAMTS1, MYLK, ASPN",Fibroblasts,activated fibroblast/stellate,0.7835496894741244,best marker program: fibroblast_stellate_score_z,Fibroblasts,activated fibroblast/stellate,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,normal_nondiseased_v1,xenium_graphclust,14,1125,0.010828240050050533,"PECAM1, CAVIN2, APOLD1, STC1, VWF, CD34, AQP8, FKBP11",Endothelial cells,endothelial,2.5,best marker program: top_marker_rule_3_hits,Endothelial cells,endothelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,normal_nondiseased_v1,xenium_graphclust,15,1124,0.010818614947783821,"INS, CHGA, PCSK2, GCG, RGS16, SCGN, SST, HEPACAM2",Islets,endocrine/islet,6.091354321322046,ambiguous: top_marker_rule_5_hits close to second-best,Islets,endocrine/islet,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,normal_nondiseased_v1,xenium_graphclust,16,955,0.009191972664709563,"CD163, MS4A6A, MS4A4A, MRC1, AIF1, FKBP11, VSIG4, MPEG1",Myeloid cells,myeloid/macrophage,2.4,best marker program: top_marker_rule_3_hits,Myeloid cells,myeloid/macrophage,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,normal_nondiseased_v1,xenium_graphclust,17,668,0.006429568314163338,"INS, GCG, SST, CHGA, SCGN, PCSK2, RGS16, PPY",Islets,endocrine/islet,3.5219127911415695,ambiguous: top_marker_rule_6_hits close to second-best,Islets,endocrine/islet,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,normal_nondiseased_v1,xenium_graphclust,18,593,0.005707685644159969,"LILRB2, FCGR1A, CAVIN2, IGF1, CYP2A7, PPARG, KCNMA1, CYP2F1",Myeloid cells,myeloid/macrophage,1.72638638830501,best marker program: myeloid_score_z,Myeloid cells,myeloid/macrophage,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,normal_nondiseased_v1,xenium_graphclust,19,521,0.005014678280956735,"MYH11, ACTA2, MYLK, RERGL, CAVIN1, ADAMTS1, PDGFRB, PECAM1",Fibroblasts,activated fibroblast/stellate,1.5215393481789121,best marker program: fibroblast_stellate_score_z,Fibroblasts,activated fibroblast/stellate,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,normal_nondiseased_v1,xenium_graphclust,2,19432,0.1870349872467395,"STC2, FKBP11, AQP8, TENT5C, ANPEP, MYC, SCGN, KLK11",pancreatic acinar epithelium,acinar epithelial,2.2,best marker program: top_marker_rule_2_hits,pancreatic acinar epithelium,acinar epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,normal_nondiseased_v1,xenium_graphclust,3,15360,0.14784157081668992,"FXYD2, CFTR, PPP1R1B, PROX1, EHF, TM4SF4, MCF2L, TM4SF18",pancreatic ductal epithelium,ductal/tumor epithelial,1.3020123565447723,best marker program: ductal_epithelial_score_z,pancreatic ductal epithelium,ductal/tumor epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,normal_nondiseased_v1,xenium_graphclust,4,11702,0.11263294672505895,"FXYD2, CFTR, PROX1, PPP1R1B, EHF, TM4SF4, EPCAM, TM4SF18",pancreatic ductal epithelium,ductal/tumor epithelial,0.9615742638754425,best marker program: ductal_epithelial_score_z,pancreatic ductal epithelium,ductal/tumor epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,normal_nondiseased_v1,xenium_graphclust,5,11570,0.11136243322585303,"MYC, MTRNR2L11, KCNMA1, LILRB2, FCGR1A, STC2, NTN4, CYP2A7",pancreatic acinar epithelium,acinar epithelial,0.25030487153277536,ambiguous: acinar_epithelial_score_z close to second-best; vetoed unsupported myeloid_score_z,pancreatic acinar epithelium,acinar epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,normal_nondiseased_v1,xenium_graphclust,6,4329,0.041667067712594444,"PECAM1, CAVIN2, APOLD1, STC1, VWF, CD34, BTNL9, ADGRL4",Endothelial cells,endothelial,3.094585317738414,ambiguous: top_marker_rule_3_hits close to second-best,Endothelial cells,endothelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,normal_nondiseased_v1,xenium_graphclust,7,4048,0.038962413975648494,"CFTR, FXYD2, AQP8, TENT5C, ANPEP, STC2, PROX1, GATM",pancreatic acinar epithelium,acinar epithelial,2.2,best marker program: top_marker_rule_2_hits,pancreatic acinar epithelium,acinar epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,normal_nondiseased_v1,xenium_graphclust,8,3693,0.03554550267096588,"C7, FBLN1, DPT, PTGDS, FKBP11, CRISPLD2, PDGFRA, AQP8",Fibroblasts,activated fibroblast/stellate,0.604528631353898,best marker program: fibroblast_stellate_score_z,Fibroblasts,activated fibroblast/stellate,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,normal_nondiseased_v1,xenium_graphclust,9,3394,0.03266759709321911,"C7, FBLN1, DPT, CRISPLD2, PTGDS, PDGFRA, SRPX, ADAMTS1",Fibroblasts,activated fibroblast/stellate,2.3236185282332027,best marker program: fibroblast_stellate_score_z,Fibroblasts,activated fibroblast/stellate,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,1,19578,0.1025697445972495,"AMY2A, GATM, ANPEP, RNASE1, AQP8, SERPINB1, SSR4, EEF1D",pancreatic acinar epithelium,acinar epithelial,2.2,best marker program: top_marker_rule_3_hits,pancreatic acinar epithelium,acinar epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,10,11541,0.0604636542239685,"CFTR, AMY2A, SERPING1, CXCL6, PROX1, EPCAM, FXYD2, GATM",pancreatic acinar epithelium,acinar epithelial,2.2,best marker program: top_marker_rule_2_hits,pancreatic acinar epithelium,acinar epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,11,10070,0.0527570399476096,"PDGFRB, C1R, FBLN1, FBN1, PDGFRA, C7, SPON2, LTBP2",Fibroblasts,activated fibroblast/stellate,2.0,best marker program: top_marker_rule_2_hits,Fibroblasts,activated fibroblast/stellate,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,12,8193,0.0429233791748526,"CFTR, CXCL6, FSTL3, CFB, EPCAM, BIRC3, SERPING1, CXCL2",pancreatic ductal epithelium,ductal/tumor epithelial,1.6066095119252766,best marker program: ductal_epithelial_score_z,pancreatic ductal epithelium,ductal/tumor epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,13,7247,0.0379672560576293,"LAPTM5, MS4A6A, ALOX5AP, ASAH1, C1orf162, PTPRC, NPC2, CFB",Myeloid cells,myeloid/macrophage,0.5667500579200015,best marker program: myeloid_score_z,Myeloid cells,myeloid/macrophage,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,14,6637,0.0347714472822527,"PPY, GCG, SCGN, PCSK2, TM4SF4, SCGB2A1, CHGA, INS",Islets,endocrine/islet,2.649575956844907,ambiguous: top_marker_rule_5_hits close to second-best,Islets,endocrine/islet,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,15,3174,0.0166286836935167,"GCG, PPY, INS, SCGN, CHGA, PCSK2, SCGB2A1, TM4SF4",Islets,endocrine/islet,4.467094265480897,ambiguous: top_marker_rule_5_hits close to second-best,Islets,endocrine/islet,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,16,2632,0.0137891290111329,"TM4SF4, APCDD1, CFTR, GPX2, EPCAM, CFB, SERPING1, FXYD2",pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1.9285264835762044,best marker program: ductal_epithelial_score_z,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,17,1775,0.0092992796332678,"MS4A1, CD79A, CXCR4, TENT5C, PTPRC, BANK1, LAPTM5, MZB1",B lineage,B cells,5.964836558254526,ambiguous: top_marker_rule_4_hits close to second-best,B lineage,B cells,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,18,1413,0.0074027504911591,"CPA3, KIT, IL1RL1, MS4A2, SLC18A2, LAPTM5, GATA2, CTSG",Mast cells,mast cell,5.711572778728793,ambiguous: top_marker_rule_5_hits close to second-best,Mast cells,mast cell,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,19,1337,0.0070045841519318,"TM4SF4, GPX2, APCDD1, CAPN8, MALL, TCIM, CFTR, DUSP1",pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,2.2255293992928493,best marker program: ductal_epithelial_score_z,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,2,17836,0.0934433529796987,"FSTL3, CFB, BIRC3, CXCL2, CXCL6, CFTR, NTN4, DSP",pancreatic ductal epithelium,ductal/tumor epithelial,0.7629025088396433,best marker program: ductal_epithelial_score_z,pancreatic ductal epithelium,ductal/tumor epithelial,
