cell_id,dapi_n_pixels,dapi_area_um2,dapi_total_intensity,dapi_mean,dapi_std,dapi_min,dapi_p10,dapi_p50,dapi_p90,dapi_max,dapi_iqr,dapi_nonzero_fraction,dapi_intensity_centroid_x,dapi_intensity_centroid_y,dapi_centroid_shift_um,dapi_polarity_score,dapi_inertia,dapi_entropy,dapi_lacunarity,xenium_dapi_image_kind,xenium_dapi_image_path,xenium_dapi_channel_index,xenium_pixel_size_um
aaaebmfe-1,705,31.835156249999997,919728.0,1304.5787234042552,308.3660942093744,452.0,811.6,1374.0,1634.6,1834.0,441.0,1.0,838.6441077416366,671.152075980616,0.15872556632860485,0.02493092160626749,92890843.37611446,6.319974775595805,0.3121835485565111,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
aaajdhec-1,236,10.656875,352416.0,1493.2881355932204,481.1012984297188,508.0,842.0,1477.0,2125.5,2351.0,859.75,1.0,3600.1603897808272,16.23471334303777,0.4315640719713819,0.11715890041387395,13656928.209942227,4.773688900384543,0.36823179621705066,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
aaakgccc-1,212,9.573125,297234.0,1402.0471698113208,250.43584204852962,639.0,1000.3000000000001,1468.5,1664.7,1780.0,303.5,1.0,3603.3448477882744,13.20596911860689,0.10137119255966234,0.029035722126023986,12641784.900990464,4.668629429382714,0.2466196912019392,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
aaakpllk-1,195,8.80546875,334400.0,1714.871794871795,202.5281720811256,1204.0,1434.4,1735.0,1985.8,2214.0,300.0,1.0,3603.1997722787078,16.33056399521531,0.2723659064973915,0.08134323576650791,10962377.930287082,5.015919997514348,0.1279947979208516,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
aaannlbf-1,425,19.191406249999996,455594.0,1071.9858823529412,235.86965450930543,477.0,713.4,1130.0,1340.6,1439.0,348.0,1.0,3618.2234732294546,24.403361490713223,0.6616729625019768,0.13385510220199626,31461583.50427135,5.435208697327816,0.3315683802628559,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
aaaogeff-1,127,5.73484375,78096.0,614.9291338582677,66.64303557453232,423.0,535.6,607.0,710.0,748.0,89.5,1.0,3619.991430418971,19.329094799989754,0.3491780668389582,0.12922040625234882,1512568.6961560133,4.256630238902923,0.15227150955424773,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
aaaoineb-1,255,11.514843749999999,341848.0,1340.5803921568627,572.6120272341295,463.0,646.4,1300.0,2274.7999999999997,2622.0,908.0,1.0,3625.7990364504103,12.533493650686854,0.1915028034152381,0.050013938078973114,12904386.554696824,5.18010797992936,0.4044613123397151,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
aabfemko-1,412,18.604374999999997,558079.0,1354.5606796116506,304.16330199277786,871.0,1009.1,1285.0,1790.6000000000004,2042.0,519.75,1.0,3706.48063170716,12.181238588085199,0.6868497856410789,0.14112344361422027,41918341.32741064,5.618695885859869,0.3040293006160726,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
aabfhiaa-1,346,15.624062499999999,575382.0,1662.9537572254335,366.75793808020404,761.0,1128.0,1687.5,2111.0,2325.0,568.25,1.0,3711.528155468888,12.434298735448797,0.22175182525253642,0.04971817287798719,29414532.19347147,5.714738792545146,0.27416713723221137,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
aabgibkj-1,472,21.31375,458459.0,971.3114406779661,220.55104917646548,572.0,751.1,920.5,1250.0000000000005,1833.0,234.75,1.0,3715.2985662294777,15.733579093223167,0.22827563059745237,0.04382022045754218,47186669.39898224,4.553710569534832,0.6174924083884124,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
aabgkddn-1,205,9.257031249999999,248474.0,1212.0682926829268,319.05029073648603,632.0,808.2,1206.0,1625.8,2118.0,524.0,1.0,3715.803243649235,21.53466092025725,0.3567664655286774,0.10391855558363325,7836859.7953669205,4.857944237258772,0.26033251476745767,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
aabhfaoh-1,509,22.984531249999996,769277.0,1511.3497053045187,515.2837808035929,522.0,757.8,1646.0,2085.0,2319.0,960.0,1.0,3717.510470025751,25.54696824095872,0.29363076603323335,0.05427860447547048,54822106.31244662,5.646908531682103,0.47620355946196696,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
aabhncfb-1,476,21.494374999999998,412040.0,865.6302521008404,192.25658474790413,437.0,589.0,880.0,1091.0,1255.0,309.25,1.0,3725.5834263056986,20.737176396709057,0.6782929907025658,0.12965816148533332,32408544.591503255,5.858334563565866,0.2307062215490437,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
aabillhn-1,113,5.102656249999999,82024.0,725.8761061946902,143.46576988327604,431.0,509.2,734.0,917.6,1010.0,226.0,1.0,3741.6877174668384,11.210647036233297,0.14349875526756206,0.05629825301271469,1936148.0303082024,4.1003782821915795,0.16070754943622584,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
aabnpbgg-1,625,28.222656249999996,1116943.0,1787.1088,638.307161923286,566.0,921.4,1822.0,2645.0,2976.0,1118.0,1.0,3789.63520018479,22.19658075658292,1.0734171996695656,0.17906658345247406,137316221.3906081,5.0844630434087055,0.7857507226155399,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
