cell_id,dapi_n_pixels,dapi_area_um2,dapi_total_intensity,dapi_mean,dapi_std,dapi_min,dapi_p10,dapi_p50,dapi_p90,dapi_max,dapi_iqr,dapi_nonzero_fraction,dapi_intensity_centroid_x,dapi_intensity_centroid_y,dapi_centroid_shift_um,dapi_polarity_score,dapi_inertia,dapi_entropy,dapi_lacunarity,xenium_dapi_image_kind,xenium_dapi_image_path,xenium_dapi_channel_index,xenium_pixel_size_um
abdnmell-1,555,25.061718749999997,1135793.0,2046.4738738738738,588.7566780037422,743.0,1272.2,2092.0,2755.8,3347.0,957.5,1.0,3295.4943964591257,166.96667570587243,0.4749173601797605,0.08407319651075945,138223514.38084227,4.4549032447864505,0.9615390454545747,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
abjolfki-1,591,26.687343749999997,1118293.0,1892.2047377326564,480.64225261927874,998.0,1345.0,1818.0,2575.0,3462.0,602.5,1.0,6670.851266349695,866.8153999443795,0.0828106095918053,0.014206210563646664,112018739.53952676,5.835532103907131,0.35736408945177467,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
abmoaenb-1,531,23.97796875,1025627.0,1931.5009416195858,349.0255435305246,893.0,1412.0,1996.0,2338.0,2566.0,483.5,1.0,6630.7342622366605,867.2445438497621,0.5080695678169056,0.0919521584628544,79815777.45276207,5.885661561842955,0.3087783719464983,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
acjnoefm-1,703,31.744843749999998,725032.0,1031.339971550498,372.84014274727906,450.0,590.2,965.0,1608.0000000000007,1907.0,579.5,1.0,7335.519111846098,862.0710528983548,0.2185985268316233,0.03438393480083065,69856373.19674167,6.140068731061386,0.4886128199014527,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
adgahbef-1,189,8.534531249999999,150968.0,798.7724867724868,128.57446356946528,410.0,591.6,822.0,934.4000000000001,1050.0,140.0,1.0,847.3134588124635,1163.3967504702982,0.14559512585935339,0.0441674107777403,4289142.869455779,4.768373151758873,0.16625544443157483,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
aedehale-1,1463,66.06359375,1603888.0,1096.3007518796992,386.89304474478286,380.0,661.0,1058.0,1591.8,2368.0,603.0,1.0,3306.340518080128,1270.6196405624955,0.9132626056019207,0.0995771102155714,522935811.3600638,4.978726672498028,1.1617578890565454,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
aediiecj-1,905,40.86640625,1656543.0,1830.4342541436465,514.8743067534351,776.0,1057.4,1955.0,2406.6,2899.0,935.0,1.0,3310.435920709574,1310.7261067400605,1.030249905000109,0.1428250220707962,245790817.56847364,5.970450354220949,0.5346047423149634,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
aefohcoo-1,602,27.184062499999996,1489055.0,2473.513289036545,641.6225052101682,1048.0,1515.0,2500.5,3299.2999999999997,3758.0,942.5,1.0,3300.6851965256487,1264.5898030210435,0.23795149227754167,0.040446057359236544,135962148.54035342,6.508528565161532,0.26837796091393123,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
afbcifke-1,491,22.171718749999997,916983.0,1867.582484725051,283.85616179562754,1013.0,1454.0,1911.0,2201.0,2567.0,386.0,1.0,6619.507423324641,1690.1423222949606,0.23275540655394994,0.043807153851594276,92380172.82259323,5.142266577472778,0.43619093997292446,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
afdmhenh-1,616,27.816249999999997,695856.0,1129.6363636363637,419.5278587437329,409.0,601.0,1109.0,1718.5,1991.0,749.75,1.0,6601.702651949541,1287.3082160497288,0.32776863847548837,0.05507608319926181,86303724.35001926,6.2783001925240525,0.365857909786493,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_focus.ome.tif,0,0.2125
