cell_id,dapi_n_pixels,dapi_area_um2,dapi_total_intensity,dapi_mean,dapi_std,dapi_min,dapi_p10,dapi_p50,dapi_p90,dapi_max,dapi_iqr,dapi_nonzero_fraction,dapi_intensity_centroid_x,dapi_intensity_centroid_y,dapi_centroid_shift_um,dapi_polarity_score,dapi_inertia,dapi_entropy,dapi_lacunarity,xenium_dapi_image_kind,xenium_dapi_image_path,xenium_dapi_channel_index,xenium_pixel_size_um
aabnffhk-1,864,39.01499999999999,1198605.0,1387.2743055555557,267.79353916323913,602.0,1020.3,1406.0,1726.1000000000001,2078.0,287.25,1.0,2481.1427350336435,682.8728899741783,0.6459166526449377,0.09164433337136348,169215731.35165465,6.056874014921777,0.36848935222656387,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_Cancer_Add_on_FFPE_outs/morphology_focus.ome.tif,0,0.2125
aabpebkp-1,1226,55.36156249999999,969148.0,790.4959216965742,223.17348989120322,290.0,436.0,820.0,1033.0,1475.0,264.5,1.0,2473.579931651306,685.207606591047,0.7069188743878717,0.08419966206649189,201864464.66059983,5.7869655749839,0.575665775364451,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_Cancer_Add_on_FFPE_outs/morphology_focus.ome.tif,0,0.2125
aaccdkah-1,1279,57.75484374999999,1143561.0,894.1055512118843,187.3613300103774,450.0,616.0,919.0,1123.0,1276.0,285.5,1.0,2467.6414089628797,695.9805893935697,0.4518305788785615,0.05268977617596329,218892062.40233094,6.84115190126284,0.28849428363569984,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_Cancer_Add_on_FFPE_outs/morphology_focus.ome.tif,0,0.2125
aaccemhg-1,889,40.14390624999999,914923.0,1029.1597300337457,347.40478835539324,402.0,564.2,998.0,1476.0,1716.0,659.0,1.0,2484.6238684293653,696.1990565599509,0.34735722299590593,0.048586035135467734,115835567.78698535,6.357176158608563,0.46755325563118344,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_Cancer_Add_on_FFPE_outs/morphology_focus.ome.tif,0,0.2125
aaccjiab-1,551,24.881093749999998,290601.0,527.4065335753176,94.0493840281704,278.0,415.0,518.0,659.0,813.0,138.0,1.0,2490.6138011827215,697.7861354141934,0.17708755877397317,0.03146286435491923,25562584.1035578,5.280435080276636,0.33190426100461934,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_Cancer_Add_on_FFPE_outs/morphology_focus.ome.tif,0,0.2125
aacckgmk-1,618,27.906562499999996,364956.0,590.5436893203884,141.60441800325086,313.0,415.4,582.0,775.3000000000001,1065.0,168.25,1.0,2480.981428754425,703.219704327371,0.5643122581696771,0.09466975496033816,41069236.49872862,5.842989674196388,0.2566099050243695,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_Cancer_Add_on_FFPE_outs/morphology_focus.ome.tif,0,0.2125
aacdabep-1,1213,54.774531249999995,1369554.0,1129.0634789777412,271.14755083093553,446.0,751.2,1167.0,1467.6,1602.0,465.0,1.0,2488.06713757727,705.1189898773615,0.14867472981537475,0.017802982453285855,245034815.93107098,6.2962378191227675,0.472013315502005,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_Cancer_Add_on_FFPE_outs/morphology_focus.ome.tif,0,0.2125
aacednki-1,1336,60.32874999999999,942731.0,705.6369760479042,155.1536010545583,373.0,502.5,713.0,917.0,1124.0,216.5,1.0,2468.6602646062347,706.154597043059,0.30429216958805433,0.034719507332727544,210681560.25077993,6.013230495084663,0.44872553665962567,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_Cancer_Add_on_FFPE_outs/morphology_focus.ome.tif,0,0.2125
aacfaodo-1,1469,66.33453125,1156364.0,787.1776718856365,127.43501561444862,403.0,608.0,810.0,933.0,1095.0,185.0,1.0,2475.21264583427,710.8886218029098,0.17420824827886106,0.018955874389703045,271415808.1841409,6.268180940126832,0.3488137524458376,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_Cancer_Add_on_FFPE_outs/morphology_focus.ome.tif,0,0.2125
aacilknm-1,1674,75.5915625,1310709.0,782.9802867383513,184.5442258537913,337.0,566.0,760.0,1038.0,1435.0,233.75,1.0,2467.5338125300887,754.5622098040069,0.4799313244795347,0.04892010450808591,382365597.2663696,6.019336445730393,0.5270027215822553,verified_focus_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_Cancer_Add_on_FFPE_outs/morphology_focus.ome.tif,0,0.2125
