cell_id,dapi_n_pixels,dapi_area_um2,dapi_total_intensity,dapi_mean,dapi_std,dapi_min,dapi_p10,dapi_p50,dapi_p90,dapi_max,dapi_iqr,dapi_nonzero_fraction,dapi_intensity_centroid_x,dapi_intensity_centroid_y,dapi_centroid_shift_um,dapi_polarity_score,dapi_inertia,dapi_entropy,dapi_lacunarity,xenium_dapi_image_kind,xenium_dapi_image_path,xenium_dapi_channel_index,xenium_pixel_size_um
abohdblk-1,873,39.42140625,1189117.0,1362.1042382588773,195.6306321406512,901.0,1099.2,1359.0,1608.8000000000002,2090.0,254.0,1.0,6369.966112628109,2058.3095057824416,0.9002542447962573,0.12707030204505923,167258899.11543104,6.287321613061877,0.2746960627867566,verified_focus_dir0_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_Human_Ductal_Adenocarcinoma_FFPE_outs/morphology_focus/morphology_focus_0000.ome.tif,0,0.2125
aenjoldd-1,1620,73.15312499999999,1600416.0,987.9111111111112,250.44716699693393,427.0,664.0,977.5,1322.1000000000001,1763.0,344.5,1.0,6638.679478648051,2507.2075834579887,0.4312729302675313,0.04468694842478014,426777862.87592167,6.819805702040905,0.3655111809864487,verified_focus_dir0_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_Human_Ductal_Adenocarcinoma_FFPE_outs/morphology_focus/morphology_focus_0000.ome.tif,0,0.2125
afgngnan-1,634,28.629062499999996,1107308.0,1746.5425867507886,267.6455037811304,823.0,1423.6,1755.0,2070.4,2366.0,336.75,1.0,6592.67302190312,1929.9614427286715,0.31305924921983164,0.05185228706820537,115187811.83962457,6.225125909440411,0.2229613224140507,verified_focus_dir0_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_Human_Ductal_Adenocarcinoma_FFPE_outs/morphology_focus/morphology_focus_0000.ome.tif,0,0.2125
aheeoiol-1,251,11.334218749999998,141827.0,565.0478087649402,118.95684420011771,316.0,413.0,551.0,737.0,832.0,176.0,1.0,6741.408733527466,1584.6584589852425,0.2641094365991841,0.06952373000680867,5273523.293223435,4.918979725852573,0.2712423825028592,verified_focus_dir0_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_Human_Ductal_Adenocarcinoma_FFPE_outs/morphology_focus/morphology_focus_0000.ome.tif,0,0.2125
ajeaoebh-1,645,29.125781249999996,974010.0,1510.093023255814,275.25835762006784,941.0,1174.0,1499.0,1851.6,2515.0,341.0,1.0,5698.039029476083,2587.480353191959,0.05122166927731453,0.008411237127823266,121968581.66294904,5.249025666552696,0.46760085495068027,verified_focus_dir0_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_Human_Ductal_Adenocarcinoma_FFPE_outs/morphology_focus/morphology_focus_0000.ome.tif,0,0.2125
ajogcphf-1,569,25.693906249999998,688273.0,1209.6186291739893,177.7899880866473,725.0,966.2,1224.0,1431.0,1725.0,243.0,1.0,5765.847733657284,2862.8159737851115,0.4222050712946044,0.07381647778137687,62319770.8634074,5.814312514594147,0.29042579849172345,verified_focus_dir0_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_Human_Ductal_Adenocarcinoma_FFPE_outs/morphology_focus/morphology_focus_0000.ome.tif,0,0.2125
ajokbonc-1,740,33.415625,989007.0,1336.495945945946,251.0987288004188,703.0,1023.6,1327.5,1681.4,2059.0,340.0,1.0,5805.709634170941,2873.434287838711,0.34488924541163957,0.05287492915893824,121889137.77726144,6.440902208290862,0.22541831907312057,verified_focus_dir0_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_Human_Ductal_Adenocarcinoma_FFPE_outs/morphology_focus/morphology_focus_0000.ome.tif,0,0.2125
akbnjgpd-1,694,31.338437499999998,378317.0,545.1253602305476,97.54310429484711,314.0,420.0,546.0,669.7,812.0,154.5,1.0,5880.731093864404,2683.183978581454,0.23291198563544213,0.03687212003549283,41634107.8790538,5.821646823494639,0.25605282897425224,verified_focus_dir0_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_Human_Ductal_Adenocarcinoma_FFPE_outs/morphology_focus/morphology_focus_0000.ome.tif,0,0.2125
akgfdicc-1,557,25.152031249999997,392170.0,704.0754039497307,145.77989873226005,381.0,529.0,684.0,905.2,1193.0,205.0,1.0,5912.694542640947,2801.2605331871378,0.32969476396067204,0.05825999709956962,34989483.28185481,6.066827439311179,0.20653206169406557,verified_focus_dir0_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_Human_Ductal_Adenocarcinoma_FFPE_outs/morphology_focus/morphology_focus_0000.ome.tif,0,0.2125
akgpbnfj-1,216,9.753749999999998,130249.0,603.0046296296297,142.57202525732015,320.0,400.0,602.5,799.0,921.0,220.75,1.0,5821.401240124685,2711.621534618308,0.1875039399567965,0.053207092622492576,5182281.039762301,4.065378146502799,0.47621747098640066,verified_focus_dir0_dapi,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_Human_Ductal_Adenocarcinoma_FFPE_outs/morphology_focus/morphology_focus_0000.ome.tif,0,0.2125
