cell_id,dapi_n_pixels,dapi_area_um2,dapi_total_intensity,dapi_mean,dapi_std,dapi_min,dapi_p10,dapi_p50,dapi_p90,dapi_max,dapi_iqr,dapi_nonzero_fraction,dapi_intensity_centroid_x,dapi_intensity_centroid_y,dapi_centroid_shift_um,dapi_polarity_score,dapi_inertia,dapi_entropy,dapi_lacunarity,xenium_dapi_image_kind,xenium_dapi_image_path,xenium_pixel_size_um
akfmiomf-1,575,25.964843749999996,1713223.0,2979.5182608695654,414.71292440258077,1556.0,2434.0,2984.0,3499.6000000000004,3947.0,456.0,1.0,4953.513853341042,1522.082233252764,0.22539740390991236,0.03920134731243056,182574861.39528245,5.393239108394654,0.4745745258642206,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
aoplajoe-1,588,26.551874999999995,1540173.0,2619.341836734694,457.99416323334304,1303.0,2041.8,2589.0,3196.9,4118.0,487.5,1.0,1913.2611235799484,1696.9113597628318,0.3625545470209166,0.062354916143520164,143837406.59780687,5.900299634224163,0.326857012159098,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
apobkkhk-1,502,22.668437499999996,1281510.0,2552.808764940239,316.0640084746384,1768.0,2087.0,2579.5,2906.9,3644.0,385.75,1.0,5758.773853871605,1032.8196065969053,0.6379809677705301,0.1187522565138038,135816355.17533222,5.16855467016967,0.48007942198841574,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
bbmkkfjl-1,407,18.378593749999997,595525.0,1463.2063882063883,187.91310046211302,988.0,1219.0,1450.0,1719.4,1976.0,241.0,1.0,6570.90105719743,860.888304101423,0.37780132766729685,0.07810022435689827,40216726.59455103,6.120026886379549,0.11556661273785088,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
bdpkldmp-1,435,19.642968749999998,571134.0,1312.951724137931,179.7582411341634,656.0,1056.4,1341.0,1477.6,2018.0,191.0,1.0,4071.6761606076684,795.5490662874212,0.4559501537514216,0.09117142531113936,39362758.874073334,5.356546696492453,0.28646402100497137,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
belpchld-1,683,30.84171875,713888.0,1045.2240117130307,197.9557633052906,481.0,775.2,1082.0,1268.4,1539.0,268.0,1.0,3828.2810548538428,94.76061976808687,0.29192305079614334,0.04658477942816147,77150322.85038969,6.111881350101796,0.29188730477026403,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
bfgddedl-1,511,23.074843749999996,633429.0,1239.587084148728,134.99291765690973,749.0,1051.0,1268.0,1383.0,1556.0,183.0,1.0,3633.7547338967747,823.1532719531313,0.7697626839550737,0.1420144087563063,51177144.41779584,5.699589998565997,0.2154512754915795,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
bfoapbdl-1,539,24.339218749999997,1559381.0,2893.100185528757,643.4322025196576,1396.0,2010.8,2917.0,3717.0,4313.0,990.0,1.0,3630.622547448314,164.56698116111457,0.27093654425501396,0.048669760695229984,124974104.81926355,6.267009102293103,0.2763234836349501,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
bgjikldb-1,591,26.687343749999997,741792.0,1255.1472081218274,223.89927860359552,730.0,933.0,1257.0,1552.0,1683.0,337.0,1.0,3507.2970487515363,823.1959217341249,0.6981631504337424,0.1197703141147043,65767995.17673284,5.615342563595619,0.38450079856656244,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
boahoebp-1,154,6.954062499999999,92085.0,597.9545454545455,102.04317528475868,450.0,484.9,566.5,761.0000000000002,878.0,127.5,1.0,7148.241448525819,474.27813039583,0.355535767760649,0.119483777438721,2257698.9460824234,4.3857655361896395,0.14141184883043828,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
