cell_id,dapi_n_pixels,dapi_area_um2,dapi_total_intensity,dapi_mean,dapi_std,dapi_min,dapi_p10,dapi_p50,dapi_p90,dapi_max,dapi_iqr,dapi_nonzero_fraction,dapi_intensity_centroid_x,dapi_intensity_centroid_y,dapi_centroid_shift_um,dapi_polarity_score,dapi_inertia,dapi_entropy,dapi_lacunarity,xenium_dapi_image_kind,xenium_dapi_image_path,xenium_pixel_size_um
bfilhhpd-1,679,30.661093749999996,884764.0,1303.039764359352,260.30530371736705,628.0,947.2,1314.0,1625.4,2110.0,385.5,1.0,6317.42530672021,940.2796067934501,0.24382888277713546,0.03902440299914586,94999513.12402403,6.281365694856974,0.24883010580524506,zstack,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_human_Pancreas_FFPE_outs/morphology.ome.tif,0.2125
bgfclkpk-1,503,22.713593749999998,510554.0,1015.0178926441351,175.9869688321836,668.0,800.8,992.0,1261.4,1683.0,236.0,1.0,6845.092157538674,1827.5167326570743,0.6499589785286332,0.12086149479863594,43826496.051497,5.469293144105598,0.3274046458816171,zstack,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_human_Pancreas_FFPE_outs/morphology.ome.tif,0.2125
bhjkjkfb-1,702,31.699687499999996,701064.0,998.6666666666666,162.20900309095265,631.0,818.0,977.0,1200.6999999999998,1823.0,198.25,1.0,6814.85192600105,2256.2588403305544,0.21952553008546477,0.034554330654094634,95899473.40006477,5.934613187771525,0.2475630798077186,zstack,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_human_Pancreas_FFPE_outs/morphology.ome.tif,0.2125
cadpkjfg-1,635,28.674218749999998,1006823.0,1585.548031496063,236.24639241519827,893.0,1269.8,1578.0,1881.0,2341.0,317.5,1.0,4864.879254769706,1448.3187611303078,0.2570414444673649,0.0425404712682485,106659397.4076953,5.787030088978818,0.33310789168879296,zstack,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_human_Pancreas_FFPE_outs/morphology.ome.tif,0.2125
dcnocnec-1,963,43.485468749999995,1159726.0,1204.2845275181724,260.10163769362055,653.0,798.2,1260.0,1514.8000000000002,1839.0,416.5,1.0,5946.6027398820925,913.0226676710706,1.244575463435217,0.1672607721831049,334837923.239836,5.254480642149198,0.6654983205780203,zstack,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_human_Pancreas_FFPE_outs/morphology.ome.tif,0.2125
giiempei-1,291,13.140468749999998,748925.0,2573.6254295532644,455.00991330849916,1130.0,1993.0,2628.0,3102.0,3521.0,512.5,1.0,2911.824704643322,1225.827033815135,0.44843527062354527,0.10963248935875061,33699550.330756746,5.409655625053124,0.1847150577479132,zstack,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_human_Pancreas_FFPE_outs/morphology.ome.tif,0.2125
gjnheedf-1,308,13.908124999999998,148885.0,483.39285714285717,131.30164369607596,264.0,335.0,457.0,667.5,906.0,174.0,1.0,4214.917198424959,1893.9505333814689,0.10691684483707575,0.025407198585855925,12544092.647936327,4.900522613471549,0.2660041263909693,zstack,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_human_Pancreas_FFPE_outs/morphology.ome.tif,0.2125
gmidcidd-1,778,35.131562499999994,837329.0,1076.258354755784,241.33185258658165,760.0,848.0,1034.5,1297.6000000000001,2106.0,238.75,1.0,4350.643969574683,2483.7478368568386,0.1801879794494369,0.02694151558310537,115386020.46903904,5.177479333554005,0.554494037491356,zstack,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_human_Pancreas_FFPE_outs/morphology.ome.tif,0.2125
hkkmajfl-1,186,8.3990625,97719.0,525.3709677419355,74.14195202178797,339.0,424.0,535.0,616.5,667.0,114.5,1.0,3435.061791079524,50.473839657589615,0.35354454745974384,0.10811194432089288,4541878.604345111,3.1257846427914684,0.8127693188085848,zstack,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_human_Pancreas_FFPE_outs/morphology.ome.tif,0.2125
hnkikffm-1,168,7.586249999999999,244574.0,1455.797619047619,481.6733426731753,584.0,741.8,1503.5,2029.9,2268.0,815.5,1.0,3500.7751756625808,359.0177056330599,0.786970650942746,0.2532152756144374,7261510.854506203,4.407650873722837,0.3245987985314273,zstack,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_human_Pancreas_FFPE_outs/morphology.ome.tif,0.2125
jkhpjoij-1,668,30.164374999999996,1635884.0,2448.9281437125746,635.5950069035673,923.0,1533.4,2499.5,3196.5000000000005,3799.0,942.75,1.0,2332.6581747620858,598.8828530705722,1.4037175201011298,0.2265048446885937,381019663.82584465,3.7258529957860747,1.4784872533755369,zstack,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_human_Pancreas_FFPE_outs/morphology.ome.tif,0.2125
kecfljli-1,328,14.811249999999998,127988.0,390.2073170731707,129.2694282048608,152.0,198.7,406.5,542.3,701.0,202.75,1.0,2019.6109115698346,1385.0801204019126,0.201818584217263,0.046474019904549635,7636840.225146107,4.9095559783598075,0.47910881702195873,zstack,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_human_Pancreas_FFPE_outs/morphology.ome.tif,0.2125
kikficnk-1,463,20.90734375,672784.0,1453.097192224622,359.7987397174531,517.0,971.8,1488.0,1867.6,2381.0,563.5,1.0,2722.7630922220205,756.6148316918951,0.034737494248617114,0.0067327734106080155,47188846.52948197,5.379430818236396,0.43089343548354014,zstack,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_human_Pancreas_FFPE_outs/morphology.ome.tif,0.2125
kmoomele-1,438,19.7784375,578471.0,1320.7100456621004,237.22995306174613,783.0,987.0,1369.5,1617.0,1919.0,369.5,1.0,889.5355502263725,761.1297629656456,0.4890161867243115,0.09744783297517462,52736557.97836711,5.221930098664848,0.37747973103481797,zstack,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_human_Pancreas_FFPE_outs/morphology.ome.tif,0.2125
