cell_id,group
aaaaahbl-1,T cells
aaaaiebg-1,pancreatic acinar epithelium
aaacbkcf-1,pancreatic acinar epithelium
aaacdloi-1,pancreatic acinar epithelium
aaacfkpn-1,pancreatic acinar epithelium
aaaebmfe-1,pancreatic ductal epithelium
aaaedfid-1,pancreatic acinar epithelium
aaafcdcl-1,pancreatic acinar epithelium
aaafjopn-1,pancreatic acinar epithelium
aaahbdnc-1,pancreatic acinar epithelium
aaahbkof-1,pancreatic acinar epithelium
aaahmegg-1,pancreatic acinar epithelium
aaaiacdg-1,pancreatic acinar epithelium
aaaikgag-1,pancreatic acinar epithelium
aaajdhec-1,pancreatic ductal epithelium
aaakgccc-1,pancreatic ductal epithelium
aaakkhbb-1,pancreatic acinar epithelium
aaakpllk-1,pancreatic ductal epithelium
aaanliod-1,pancreatic acinar epithelium
aaannfhp-1,pancreatic acinar epithelium
aaannlbf-1,pancreatic ductal epithelium
aaaoelan-1,pancreatic acinar epithelium
aaaogeff-1,pancreatic ductal epithelium
aaaoineb-1,pancreatic ductal epithelium
aaapafeo-1,pancreatic acinar epithelium
aaapjjij-1,pancreatic acinar epithelium
aaapmfga-1,pancreatic acinar epithelium
aabahapb-1,pancreatic acinar epithelium
aabbpabc-1,pancreatic acinar epithelium
aabcacod-1,pancreatic acinar epithelium
aabcbfgo-1,Fibroblasts
aabcbidk-1,pancreatic acinar epithelium
aabdfhkg-1,pancreatic acinar epithelium
aabdgjeo-1,pancreatic acinar epithelium
aabedfbf-1,pancreatic acinar epithelium
aabelkjp-1,pancreatic acinar epithelium
aabepili-1,pancreatic acinar epithelium
aabfemko-1,pancreatic ductal epithelium
aabffgha-1,pancreatic acinar epithelium
aabffnmd-1,pancreatic acinar epithelium
aabfhiaa-1,pancreatic ductal epithelium
aabgibkj-1,pancreatic ductal epithelium
aabgkddn-1,pancreatic ductal epithelium
aabhfaoh-1,pancreatic ductal epithelium
aabhncfb-1,pancreatic ductal epithelium
aabicamc-1,pancreatic acinar epithelium
aabiffea-1,pancreatic acinar epithelium
aabigfoj-1,pancreatic acinar epithelium
aabillhn-1,pancreatic ductal epithelium
aabjckdp-1,Fibroblasts
aabjmnjn-1,pancreatic acinar epithelium
aablclgo-1,pancreatic acinar epithelium
aablohho-1,pancreatic acinar epithelium
aabmdaah-1,pancreatic acinar epithelium
aabmjapn-1,pancreatic acinar epithelium
aabnaceo-1,pancreatic acinar epithelium
aabnfgko-1,pancreatic acinar epithelium
aabnpbgg-1,pancreatic ductal epithelium
aaboklpl-1,pancreatic ductal epithelium
aabphoec-1,Endothelial cells
aabppaci-1,pancreatic acinar epithelium
aacaenel-1,pancreatic acinar epithelium
aacajbck-1,pancreatic acinar epithelium
aacbdjgc-1,Endothelial cells
aaccjpjf-1,pancreatic acinar epithelium
aacdboen-1,pancreatic ductal epithelium
aacdjidg-1,pancreatic ductal epithelium
aacdjjim-1,Endothelial cells
aaceccao-1,pancreatic ductal epithelium
aacefkpc-1,pancreatic ductal epithelium
aacepioa-1,pancreatic ductal epithelium
aacfdhem-1,pancreatic acinar epithelium
aacfepna-1,pancreatic acinar epithelium
aacffjfg-1,pancreatic acinar epithelium
aacfpddf-1,pancreatic acinar epithelium
aacgjoca-1,pancreatic ductal epithelium
aacgkbok-1,pancreatic acinar epithelium
aachdbge-1,pancreatic acinar epithelium
