cell_id,group
aaaaahbl-1,Tregs
aaaaiebg-1,acinar epithelial
aaacbkcf-1,acinar epithelial
aaacdloi-1,acinar epithelial
aaacfkpn-1,acinar epithelial
aaaebmfe-1,proliferative ductal/tumor epithelial
aaaedfid-1,acinar epithelial
aaafcdcl-1,acinar epithelial
aaafjopn-1,acinar epithelial
aaahbdnc-1,acinar epithelial
aaahbkof-1,acinar epithelial
aaahmegg-1,acinar epithelial
aaaiacdg-1,acinar epithelial
aaaikgag-1,acinar epithelial
aaajdhec-1,ductal/tumor epithelial
aaakgccc-1,ductal/tumor epithelial
aaakkhbb-1,acinar epithelial
aaakpllk-1,ductal/tumor epithelial
aaanliod-1,acinar epithelial
aaannfhp-1,acinar epithelial
aaannlbf-1,ductal/tumor epithelial
aaaoelan-1,acinar epithelial
aaaogeff-1,ductal/tumor epithelial
aaaoineb-1,ductal/tumor epithelial
aaapafeo-1,acinar epithelial
aaapjjij-1,acinar epithelial
aaapmfga-1,acinar epithelial
aabahapb-1,acinar epithelial
aabbpabc-1,acinar epithelial
aabcacod-1,acinar epithelial
aabcbfgo-1,activated fibroblast/stellate
aabcbidk-1,acinar epithelial
aabdfhkg-1,acinar epithelial
aabdgjeo-1,acinar epithelial
aabedfbf-1,acinar epithelial
aabelkjp-1,acinar epithelial
aabepili-1,acinar epithelial
aabfemko-1,ductal/tumor epithelial
aabffgha-1,acinar epithelial
aabffnmd-1,acinar epithelial
aabfhiaa-1,ductal/tumor epithelial
aabgibkj-1,ductal/tumor epithelial
aabgkddn-1,ductal/tumor epithelial
aabhfaoh-1,ductal/tumor epithelial
aabhncfb-1,ductal/tumor epithelial
aabicamc-1,acinar epithelial
aabiffea-1,acinar epithelial
aabigfoj-1,acinar epithelial
aabillhn-1,ductal/tumor epithelial
aabjckdp-1,activated fibroblast/stellate
aabjmnjn-1,acinar epithelial
aablclgo-1,acinar epithelial
aablohho-1,acinar epithelial
aabmdaah-1,acinar epithelial
aabmjapn-1,acinar epithelial
aabnaceo-1,acinar epithelial
aabnfgko-1,acinar epithelial
aabnpbgg-1,ductal/tumor epithelial
aaboklpl-1,ductal/tumor epithelial
aabphoec-1,endothelial
aabppaci-1,acinar epithelial
aacaenel-1,acinar epithelial
aacajbck-1,acinar epithelial
aacbdjgc-1,endothelial
aaccjpjf-1,acinar epithelial
aacdboen-1,ductal/tumor epithelial
aacdjidg-1,ductal/tumor epithelial
aacdjjim-1,endothelial
aaceccao-1,ductal/tumor epithelial
aacefkpc-1,ductal/tumor epithelial
aacepioa-1,proliferative ductal/tumor epithelial
aacfdhem-1,acinar epithelial
aacfepna-1,acinar epithelial
aacffjfg-1,acinar epithelial
aacfpddf-1,acinar epithelial
aacgjoca-1,ductal/tumor epithelial
aacgkbok-1,acinar epithelial
aachdbge-1,acinar epithelial
aacheoll-1,acinar epithelial
aachhheb-1,proliferative ductal/tumor epithelial
aacicagp-1,myeloid/macrophage
aaciemio-1,proliferative ductal/tumor epithelial
aacifjab-1,acinar epithelial
aackdcpl-1,endothelial
aackjbkd-1,proliferative ductal/tumor epithelial
aaclhkga-1,ductal/tumor epithelial
aacljphb-1,ductal/tumor epithelial
aacloldb-1,endothelial
aacnocdo-1,acinar epithelial
aacogodc-1,proliferative ductal/tumor epithelial
aacolopk-1,ductal/tumor epithelial
aacpbgjp-1,acinar epithelial
aacphmcb-1,acinar epithelial
aacpickd-1,acinar epithelial
aadahkmi-1,ductal/tumor epithelial
aadbmidj-1,ductal/tumor epithelial
aadboomp-1,acinar epithelial
aadccgdm-1,acinar epithelial
aadclnpo-1,ductal/tumor epithelial
aaddejoc-1,acinar epithelial
aaddnmlf-1,acinar epithelial
aadeihie-1,ductal/tumor epithelial
aadfabhj-1,ductal/tumor epithelial
aadfnldp-1,ductal/tumor epithelial
aadfohci-1,acinar epithelial
aadggdjj-1,acinar epithelial
aadgmlcn-1,acinar epithelial
