cell_id,group
aaaanbjb-1,Fibroblasts
aaabbnlb-1,Fibroblasts
aaabdean-1,B lineage
aaabkppc-1,Unknown
aaablfle-1,T cells
aaacbebp-1,Mast cells
aaacjhoh-1,T cells
aaacjpei-1,Myeloid cells
aaaclnja-1,Myeloid cells
aaacmppf-1,Myeloid cells
aaacojdd-1,Fibroblasts
aaadjkgh-1,Fibroblasts
aaadnocp-1,Fibroblasts
aaaedgpn-1,Fibroblasts
aaaffjph-1,Fibroblasts
aaaffnge-1,Myeloid cells
aaafmebj-1,Myeloid cells
aaafongp-1,Myeloid cells
aaagapbb-1,T cells
aaagbane-1,Unknown
aaagkdae-1,Fibroblasts
aaahdaij-1,Fibroblasts
aaahelod-1,Fibroblasts
aaahihap-1,Fibroblasts
aaahldhe-1,Fibroblasts
aaaihgia-1,Fibroblasts
aaaiocjc-1,Fibroblasts
aaajeafb-1,Fibroblasts
aaajijkl-1,Unknown
aaajkhla-1,Fibroblasts
aaajknif-1,Unknown
aaajljea-1,T cells
aaakbeap-1,T cells
aaakglba-1,Fibroblasts
aaakgnpo-1,Fibroblasts
aaakjada-1,T cells
aaalobcg-1,Myeloid cells
aaalpkae-1,Fibroblasts
aaamogfj-1,Myeloid cells
aaaneiah-1,Fibroblasts
aaanibcb-1,T cells
aaanpdnb-1,T cells
aaapabne-1,T cells
aaapanoi-1,Endothelial cells
aaapbgpb-1,Fibroblasts
aaapeiij-1,Endothelial cells
aaapfdfb-1,Fibroblasts
aaapibpb-1,T cells
aaapoblm-1,Fibroblasts
aabaacpm-1,Fibroblasts
aababoph-1,Fibroblasts
aabaifhi-1,T cells
aabajppm-1,T cells
aabakkap-1,T cells
aabancod-1,Fibroblasts
aabbncba-1,Myeloid cells
aabbnhao-1,T cells
aabcceep-1,B lineage
aabcefnp-1,B lineage
aabchkdi-1,Myeloid cells
aabcmnll-1,Myeloid cells
aabdjenf-1,T cells
aabdkjja-1,Fibroblasts
aabeeipi-1,Myeloid cells
aabekdbh-1,Fibroblasts
aabelbik-1,T cells
aabeodhe-1,T cells
aabfbgco-1,T cells
aabfbidc-1,Endothelial cells
aabfcnij-1,Fibroblasts
aabfilpn-1,Fibroblasts
aabfmpmi-1,Fibroblasts
aabfplfb-1,Fibroblasts
aabgnien-1,Myeloid cells
aabgnoel-1,Fibroblasts
aabiaijo-1,Fibroblasts
aabibjmc-1,T cells
aabjbhpk-1,Fibroblasts
aabjfjph-1,T cells
aabjmonl-1,B lineage
aabjpmhh-1,Unknown
aabkaboi-1,Myeloid cells
aabkciol-1,Fibroblasts
aabkonhc-1,Fibroblasts
aablkbna-1,Fibroblasts
aabloboo-1,Fibroblasts
aabmbjop-1,Myeloid cells
aabmcebj-1,Myeloid cells
aabmednk-1,Fibroblasts
aabmgpfc-1,Fibroblasts
aabmlfao-1,Endothelial cells
aabmlkej-1,Myeloid cells
aabnffhk-1,pancreatic ductal epithelium
aabolbag-1,Myeloid cells
aabpebkp-1,pancreatic ductal epithelium
aacaccna-1,Myeloid cells
aacakpkn-1,pancreatic acinar epithelium
aacbcimn-1,pancreatic acinar epithelium
aaccdkah-1,pancreatic ductal epithelium
aaccemhg-1,pancreatic ductal epithelium
aaccjiab-1,pancreatic ductal epithelium
aacckgmk-1,pancreatic ductal epithelium
aacdabep-1,pancreatic ductal epithelium
aacednki-1,pancreatic ductal epithelium
aacekeap-1,Myeloid cells
aacfaodo-1,pancreatic ductal epithelium
aacfcamb-1,Myeloid cells
aacfchag-1,Myeloid cells
aacfeabf-1,pancreatic acinar epithelium
aacfflik-1,Fibroblasts
aacfhkbi-1,Endothelial cells
aacfpdeb-1,Fibroblasts
aacgacac-1,Islets
aacgdiki-1,Fibroblasts
aacggcaj-1,pancreatic acinar epithelium
aacieadl-1,Islets
aacifjmj-1,Myeloid cells
aacilknm-1,pancreatic ductal epithelium
aacilohd-1,pancreatic ductal epithelium
aacjgmep-1,Myeloid cells
aackdiec-1,pancreatic ductal epithelium
