cell_id,group
aaaanbjb-1,activated fibroblast/stellate
aaabbnlb-1,activated fibroblast/stellate
aaabdean-1,B cells
aaabkppc-1,Unknown
aaablfle-1,Tregs
aaacbebp-1,mast cell
aaacjhoh-1,Tregs
aaacjpei-1,myeloid/macrophage
aaaclnja-1,myeloid/macrophage
aaacmppf-1,myeloid/macrophage
aaacojdd-1,activated fibroblast/stellate
aaadjkgh-1,activated fibroblast/stellate
aaadnocp-1,activated fibroblast/stellate
aaaedgpn-1,activated fibroblast/stellate
aaaffjph-1,activated fibroblast/stellate
aaaffnge-1,myeloid/macrophage
aaafmebj-1,myeloid/macrophage
aaafongp-1,myeloid/macrophage
aaagapbb-1,Tregs
aaagbane-1,Unknown
aaagkdae-1,activated fibroblast/stellate
aaahdaij-1,activated fibroblast/stellate
aaahelod-1,activated fibroblast/stellate
aaahihap-1,activated fibroblast/stellate
aaahldhe-1,activated fibroblast/stellate
aaaihgia-1,activated fibroblast/stellate
aaaiocjc-1,activated fibroblast/stellate
aaajeafb-1,activated fibroblast/stellate
aaajijkl-1,Unknown
aaajkhla-1,activated fibroblast/stellate
aaajknif-1,Unknown
aaajljea-1,Tregs
aaakbeap-1,Tregs
aaakglba-1,activated fibroblast/stellate
aaakgnpo-1,activated fibroblast/stellate
aaakjada-1,Tregs
aaalobcg-1,myeloid/macrophage
aaalpkae-1,activated fibroblast/stellate
aaamogfj-1,myeloid/macrophage
aaaneiah-1,activated fibroblast/stellate
aaanibcb-1,Tregs
aaanpdnb-1,Tregs
aaapabne-1,Tregs
aaapanoi-1,endothelial
aaapbgpb-1,activated fibroblast/stellate
aaapeiij-1,endothelial
aaapfdfb-1,activated fibroblast/stellate
aaapibpb-1,Tregs
aaapoblm-1,activated fibroblast/stellate
aabaacpm-1,activated fibroblast/stellate
aababoph-1,activated fibroblast/stellate
aabaifhi-1,Tregs
aabajppm-1,Tregs
aabakkap-1,Tregs
aabancod-1,activated fibroblast/stellate
aabbncba-1,myeloid/macrophage
aabbnhao-1,Tregs
aabcceep-1,B cells
aabcefnp-1,B cells
aabchkdi-1,myeloid/macrophage
aabcmnll-1,myeloid/macrophage
aabdjenf-1,Tregs
aabdkjja-1,activated fibroblast/stellate
aabeeipi-1,myeloid/macrophage
aabekdbh-1,activated fibroblast/stellate
aabelbik-1,Tregs
aabeodhe-1,Tregs
aabfbgco-1,Tregs
aabfbidc-1,endothelial
aabfcnij-1,activated fibroblast/stellate
aabfilpn-1,activated fibroblast/stellate
aabfmpmi-1,activated fibroblast/stellate
aabfplfb-1,activated fibroblast/stellate
aabgnien-1,myeloid/macrophage
aabgnoel-1,activated fibroblast/stellate
aabiaijo-1,activated fibroblast/stellate
aabibjmc-1,Tregs
aabjbhpk-1,activated fibroblast/stellate
aabjfjph-1,Tregs
aabjmonl-1,B cells
aabjpmhh-1,Unknown
aabkaboi-1,myeloid/macrophage
aabkciol-1,activated fibroblast/stellate
aabkonhc-1,activated fibroblast/stellate
aablkbna-1,activated fibroblast/stellate
aabloboo-1,activated fibroblast/stellate
aabmbjop-1,myeloid/macrophage
aabmcebj-1,myeloid/macrophage
aabmednk-1,activated fibroblast/stellate
aabmgpfc-1,activated fibroblast/stellate
aabmlfao-1,endothelial
aabmlkej-1,myeloid/macrophage
aabnffhk-1,ductal/tumor epithelial
aabolbag-1,myeloid/macrophage
aabpebkp-1,ductal/tumor epithelial
aacaccna-1,myeloid/macrophage
aacakpkn-1,acinar epithelial
aacbcimn-1,acinar epithelial
aaccdkah-1,ductal/tumor epithelial
aaccemhg-1,ductal/tumor epithelial
aaccjiab-1,ductal/tumor epithelial
aacckgmk-1,ductal/tumor epithelial
aacdabep-1,ductal/tumor epithelial
aacednki-1,ductal/tumor epithelial
aacekeap-1,myeloid/macrophage
aacfaodo-1,ductal/tumor epithelial
aacfcamb-1,myeloid/macrophage
aacfchag-1,myeloid/macrophage
aacfeabf-1,acinar epithelial
aacfflik-1,activated fibroblast/stellate
aacfhkbi-1,endothelial
aacfpdeb-1,activated fibroblast/stellate
aacgacac-1,endocrine/islet
aacgdiki-1,activated fibroblast/stellate
aacggcaj-1,acinar epithelial
aacieadl-1,endocrine/islet
aacifjmj-1,myeloid/macrophage
aacilknm-1,ductal/tumor epithelial
aacilohd-1,ductal/tumor epithelial
aacjgmep-1,myeloid/macrophage
aackdiec-1,ductal/tumor epithelial
aackkgop-1,ductal/tumor epithelial
aackkjfd-1,endothelial
aacklahl-1,Unknown
aackojhb-1,myeloid/macrophage
aacllegm-1,Unknown
aaclllil-1,ductal/tumor epithelial
aaclobbp-1,ductal/tumor epithelial
aaclodbl-1,myeloid/macrophage
aacmhbbo-1,myeloid/macrophage
aacmmmeo-1,ductal/tumor epithelial
aacnemkf-1,endothelial
aacnkljo-1,activated fibroblast/stellate
aacnllbe-1,endothelial
aacpbfjh-1,endothelial
aacpkhep-1,endothelial
aadaapjg-1,activated fibroblast/stellate
aadaejgl-1,Tregs
aadalodc-1,activated fibroblast/stellate
aadalohk-1,Tregs
aadalpfb-1,activated fibroblast/stellate
aadbhmon-1,activated fibroblast/stellate
aadbkddc-1,ductal/tumor epithelial
aadbmiaj-1,ductal/tumor epithelial
aadbnfab-1,ductal/tumor epithelial
aadbokai-1,activated fibroblast/stellate
aadcaedi-1,Unknown
aadcjpgl-1,ductal/tumor epithelial
aaddaphh-1,activated fibroblast/stellate
aaddoign-1,ductal/tumor epithelial
aadedkdf-1,ductal/tumor epithelial
aadegdah-1,ductal/tumor epithelial
aadejidf-1,ductal/tumor epithelial
aademiap-1,ductal/tumor epithelial
aadfkfcn-1,ductal/tumor epithelial
aadfnhoh-1,ductal/tumor epithelial
aadggkkc-1,ductal/tumor epithelial
aadhacnk-1,ductal/tumor epithelial
aadhdaij-1,ductal/tumor epithelial
aadhgcil-1,ductal/tumor epithelial
aadhhpcl-1,ductal/tumor epithelial
aadihmpo-1,ductal/tumor epithelial
aadjapml-1,ductal/tumor epithelial
aadjedik-1,ductal/tumor epithelial
aadjgjki-1,myeloid/macrophage
aadjmfdo-1,acinar epithelial
aadkemoc-1,acinar epithelial
aadkidce-1,ductal/tumor epithelial
aadkmbgd-1,myeloid/macrophage
aadkmeep-1,acinar epithelial
aadldpmm-1,ductal/tumor epithelial
aadlgfab-1,acinar epithelial
aadljlnk-1,acinar epithelial
aadmaifh-1,acinar epithelial
aadmbfgg-1,acinar epithelial
aadmccmp-1,ductal/tumor epithelial
aadmhpfd-1,acinar epithelial
aadmjigm-1,endothelial
aadmjohl-1,acinar epithelial
aadmolkd-1,acinar epithelial
aadmpcka-1,myeloid/macrophage
aadnbolh-1,acinar epithelial
aadnhogd-1,myeloid/macrophage
aadnnhgo-1,activated fibroblast/stellate
aadpbcfg-1,Tregs
aadpcaio-1,activated fibroblast/stellate
aadpokeh-1,activated fibroblast/stellate
aaeabpom-1,activated fibroblast/stellate
aaeccdje-1,myeloid/macrophage
aaecijnc-1,myeloid/macrophage
aaedalbo-1,activated fibroblast/stellate
aaedalmd-1,activated fibroblast/stellate
aaedfamb-1,Unknown
aaedinck-1,activated fibroblast/stellate
aaedlhah-1,activated fibroblast/stellate
aaeebhhf-1,endothelial
aaeebjfd-1,activated fibroblast/stellate
aaeefaol-1,acinar epithelial
aaeepeea-1,myeloid/macrophage
aaefehpg-1,acinar epithelial
aaefmefg-1,acinar epithelial
aaefpmep-1,ductal/tumor epithelial
aaegfbmh-1,acinar epithelial
aaegiflh-1,ductal/tumor epithelial
aaegoalo-1,ductal/tumor epithelial
aaeheapc-1,ductal/tumor epithelial
aaehpkjm-1,ductal/tumor epithelial
aaeideep-1,ductal/tumor epithelial
aaeijcoc-1,acinar epithelial
aaeikpob-1,ductal/tumor epithelial
aaeinelj-1,acinar epithelial
aaeipcog-1,endothelial
aaekhokk-1,Unknown
aaelfndd-1,endothelial
aaelglna-1,ductal/tumor epithelial
aaelmfdk-1,acinar epithelial
aaemlhpe-1,activated fibroblast/stellate
aaenidam-1,activated fibroblast/stellate
aaenjfeb-1,activated fibroblast/stellate
aaeogjfa-1,Unknown
aaeokjmg-1,Unknown
aaepboib-1,ductal/tumor epithelial
aaepifon-1,ductal/tumor epithelial
aaepokio-1,ductal/tumor epithelial
aaepomjm-1,ductal/tumor epithelial
aafabclj-1,ductal/tumor epithelial
aafacokc-1,myeloid/macrophage
aafafdca-1,Tregs
aafbbbfa-1,activated fibroblast/stellate
