cell_id,group
aaaabjea-1,Mucosa gland
aaaagkdm-1,Mucosa gland
aaaamcdi-1,Mucosa gland
aaaaoidb-1,Mucosa gland
aaabdlfj-1,Mucosa gland
aaabklbj-1,Mucosa gland
aaabklfb-1,Mucosa gland
aaablgjd-1,Mucosa gland
aaacemdi-1,Mucosa gland
aaacpcca-1,Mucosa gland
aaadmbfh-1,Mucosa gland
aaadmkbk-1,Mucosa gland
aaadplig-1,Mucosa gland
aaaeagim-1,Mucosa gland
aaaeaicg-1,Mucosa gland
aaaebaij-1,Mucosa gland
aaafbkol-1,Mucosa gland
aaafnndj-1,Mucosa gland
aaafogne-1,Mucosa gland
aaagekej-1,Mucosa gland
aaaglilh-1,Endothelial cells
aaaimnnf-1,Myeloid cells
aaajgggd-1,T cells
aaajgggh-1,Mucosa gland
aaajjkje-1,Mucosa gland
aaajmelh-1,Mucosa gland
aaajooof-1,Mucosa gland
aaajpgjj-1,Mucosa gland
aaakaipb-1,Endothelial cells
aaakakik-1,B lineage
aaakfemp-1,Myeloid cells
aaakldjp-1,Myeloid cells
aaakmekg-1,B lineage
aaallocg-1,B lineage
aaamafnc-1,B lineage
aaamjhpf-1,Myeloid cells
aaamkhab-1,B lineage
aaampgbm-1,B lineage
aaanihlj-1,B lineage
aaanmcdk-1,B lineage
aaanoile-1,B lineage
aaanpahg-1,B lineage
aaaocdfj-1,Myeloid cells
aaapfikh-1,T cells
aaapjnfm-1,B lineage
aaapmggd-1,B lineage
aaapngin-1,B lineage
aabacmcp-1,Myeloid cells
aabafdep-1,Myeloid cells
aabafigg-1,Myeloid cells
aabafmmc-1,Endothelial cells
aabapage-1,Myeloid cells
aabbofdp-1,Myeloid cells
aabbpmpl-1,B lineage
aabcgnce-1,B lineage
aabchidg-1,B lineage
aabcjolo-1,Myeloid cells
aabcojhk-1,Endothelial cells
aabdcgpf-1,Mucosa gland
aabdkfde-1,Mucosa gland
aabdlnne-1,Mucosa gland
aabebcec-1,Mucosa gland
aabebgpp-1,Mucosa gland
aabefhgp-1,Mucosa gland
aabefngm-1,Mucosa gland
aabegfco-1,Mucosa gland
aabfcnpb-1,Mucosa gland
aabfhnmk-1,Mucosa gland
aabgglpg-1,Mucosa gland
aabhiikn-1,Mucosa gland
aabhjmho-1,Mucosa gland
aabhjngb-1,Mucosa gland
aabhlcoc-1,Endothelial cells
aabhnlnh-1,Myeloid cells
aabifbfa-1,Endothelial cells
aabiknge-1,T cells
aabjingi-1,B lineage
aabjmgji-1,B lineage
aablamji-1,B lineage
aablbiom-1,Mucosa gland
aabldgjf-1,Mucosa gland
aabldgon-1,Mucosa gland
aablfjkb-1,Mucosa gland
aablkcdd-1,Mucosa gland
aablkcpg-1,Mucosa gland
aabmahgi-1,Mucosa gland
aabmelpd-1,Mucosa gland
aabmfkno-1,B lineage
aabmkeco-1,B lineage
aabmmpjc-1,B lineage
