cell_id,group
aaaabjea-1,mucosa gland
aaaagkdm-1,mucosa gland
aaaamcdi-1,mucosa gland
aaaaoidb-1,mucosa gland
aaabdlfj-1,mucosa gland
aaabklbj-1,mucosa gland
aaabklfb-1,mucosa gland
aaablgjd-1,mucosa gland
aaacemdi-1,mucosa gland
aaacpcca-1,mucosa gland
aaadmbfh-1,mucosa gland
aaadmkbk-1,mucosa gland
aaadplig-1,mucosa gland
aaaeagim-1,mucosa gland
aaaeaicg-1,mucosa gland
aaaebaij-1,mucosa gland
aaafbkol-1,mucosa gland
aaafnndj-1,mucosa gland
aaafogne-1,mucosa gland
aaagekej-1,mucosa gland
aaaglilh-1,endothelial/perivascular
aaaimnnf-1,inflammatory myeloid
aaajgggd-1,Tregs
aaajgggh-1,mucosa gland
aaajjkje-1,mucosa gland
aaajmelh-1,mucosa gland
aaajooof-1,mucosa gland
aaajpgjj-1,mucosa gland
aaakaipb-1,endothelial/perivascular
aaakakik-1,plasma-like B lineage
aaakfemp-1,myeloid/macrophage
aaakldjp-1,myeloid/macrophage
aaakmekg-1,plasma-like B lineage
aaallocg-1,plasma-like B lineage
aaamafnc-1,plasma-like B lineage
aaamjhpf-1,myeloid/macrophage
aaamkhab-1,plasma-like B lineage
aaampgbm-1,plasma-like B lineage
aaanihlj-1,plasma-like B lineage
aaanmcdk-1,plasma-like B lineage
aaanoile-1,plasma-like B lineage
aaanpahg-1,plasma-like B lineage
aaaocdfj-1,myeloid/macrophage
aaapfikh-1,Tregs
aaapjnfm-1,plasma-like B lineage
aaapmggd-1,plasma-like B lineage
aaapngin-1,plasma-like B lineage
aabacmcp-1,myeloid/macrophage
aabafdep-1,inflammatory myeloid
aabafigg-1,myeloid/macrophage
aabafmmc-1,endothelial/perivascular
aabapage-1,myeloid/macrophage
aabbofdp-1,inflammatory myeloid
aabbpmpl-1,plasma-like B lineage
aabcgnce-1,plasma-like B lineage
aabchidg-1,plasma-like B lineage
aabcjolo-1,myeloid/macrophage
aabcojhk-1,endothelial/perivascular
aabdcgpf-1,mucosa gland
aabdkfde-1,mucosa gland
aabdlnne-1,mucosa gland
aabebcec-1,mucosa gland
aabebgpp-1,mucosa gland
aabefhgp-1,mucosa gland
aabefngm-1,mucosa gland
aabegfco-1,mucosa gland
aabfcnpb-1,mucosa gland
aabfhnmk-1,mucosa gland
aabgglpg-1,mucosa gland
aabhiikn-1,mucosa gland
aabhjmho-1,mucosa gland
aabhjngb-1,mucosa gland
aabhlcoc-1,endothelial/perivascular
aabhnlnh-1,myeloid/macrophage
aabifbfa-1,endothelial/perivascular
aabiknge-1,Tregs
aabjingi-1,plasma-like B lineage
aabjmgji-1,plasma-like B lineage
aablamji-1,plasma-like B lineage
aablbiom-1,mucosa gland
aabldgjf-1,mucosa gland
aabldgon-1,mucosa gland
aablfjkb-1,mucosa gland
aablkcdd-1,mucosa gland
aablkcpg-1,mucosa gland
