cell_id,group
aaaadnje-1,pancreatic ductal epithelium
aaacalai-1,pancreatic ductal epithelium
aaacjgil-1,pancreatic ductal epithelium
aaacpcil-1,pancreatic ductal epithelium
aaadhocp-1,pancreatic ductal epithelium
aaadpbhl-1,pancreatic ductal epithelium
aaafbala-1,pancreatic ductal epithelium
aaagajoe-1,pancreatic ductal epithelium
aaagannb-1,pancreatic ductal epithelium
aaaghjid-1,pancreatic ductal epithelium
aaagnfhj-1,pancreatic ductal epithelium
aaahdphb-1,pancreatic ductal epithelium
aaaigaaa-1,pancreatic ductal epithelium
aaaigail-1,pancreatic ductal epithelium
aaaijojf-1,pancreatic ductal epithelium
aaajglaf-1,pancreatic ductal epithelium
aaajojgl-1,pancreatic ductal epithelium
aaakcgne-1,pancreatic ductal epithelium
aaakgela-1,pancreatic ductal epithelium
aaaknnbd-1,pancreatic ductal epithelium
aaakomle-1,pancreatic ductal epithelium
aaalgfdk-1,pancreatic ductal epithelium
aaalkmin-1,pancreatic ductal epithelium
aaalpghn-1,pancreatic ductal epithelium
aaambdeb-1,pancreatic ductal epithelium
aaamdinc-1,pancreatic ductal epithelium
aaamgldb-1,pancreatic ductal epithelium
aaamgmip-1,pancreatic ductal epithelium
aaamoijl-1,pancreatic ductal epithelium
aaandnkj-1,pancreatic ductal epithelium
aaanepob-1,pancreatic ductal epithelium
aaanglln-1,pancreatic ductal epithelium
aaanhblm-1,pancreatic ductal epithelium
aaanjcjo-1,pancreatic ductal epithelium
aaanjdmk-1,pancreatic ductal epithelium
aaanmnke-1,pancreatic ductal epithelium
aaanpdfn-1,Myeloid cells
aaaoahad-1,pancreatic ductal epithelium
aaaoahpb-1,pancreatic ductal epithelium
aaaofdbk-1,pancreatic ductal epithelium
aaapbfma-1,pancreatic ductal epithelium
aaaponmo-1,pancreatic ductal epithelium
aababhfo-1,pancreatic ductal epithelium
aabakiao-1,pancreatic ductal epithelium
aabakidm-1,pancreatic ductal epithelium
aabbhjaf-1,pancreatic ductal epithelium
aabbibmc-1,pancreatic ductal epithelium
aabblffc-1,pancreatic ductal epithelium
aabcbmib-1,pancreatic ductal epithelium
aabcfhhf-1,pancreatic ductal epithelium
aabebmgl-1,pancreatic ductal epithelium
aabeeffc-1,pancreatic ductal epithelium
aabekach-1,pancreatic ductal epithelium
aabelaln-1,pancreatic ductal epithelium
aabengco-1,pancreatic ductal epithelium
aabepinc-1,pancreatic ductal epithelium
aabfbjcp-1,pancreatic ductal epithelium
aabfkaif-1,pancreatic ductal epithelium
aabggglh-1,pancreatic ductal epithelium
aabgmfdj-1,pancreatic ductal epithelium
aabgnpmc-1,pancreatic ductal epithelium
aabhgljn-1,pancreatic ductal epithelium
aabhknfb-1,pancreatic ductal epithelium
aabhobch-1,pancreatic ductal epithelium
aabinnlo-1,pancreatic ductal epithelium
aabjjghe-1,pancreatic ductal epithelium
aabjlago-1,Myeloid cells
aabjnabg-1,T cells
aabjpanm-1,pancreatic ductal epithelium
aabkbkjf-1,pancreatic ductal epithelium
aabkmjpa-1,pancreatic ductal epithelium
aablcjki-1,pancreatic ductal epithelium
aablfhkk-1,pancreatic ductal epithelium
aabligmc-1,pancreatic ductal epithelium
aabmkacn-1,pancreatic ductal epithelium
aabneael-1,pancreatic ductal epithelium
aabohcnn-1,pancreatic ductal epithelium
aabohjco-1,pancreatic ductal epithelium
aabomiia-1,pancreatic ductal epithelium
aaboobho-1,pancreatic ductal epithelium
aabpjgoc-1,pancreatic ductal epithelium
aabpljdc-1,pancreatic ductal epithelium
aacabfco-1,pancreatic ductal epithelium
aacadagn-1,pancreatic ductal epithelium
aacagfcc-1,pancreatic ductal epithelium
aacamkoa-1,pancreatic ductal epithelium
aacbamfm-1,pancreatic ductal epithelium
aacbdapd-1,pancreatic ductal epithelium
aacbeccb-1,pancreatic ductal epithelium
aacbfibe-1,pancreatic ductal epithelium
aacbjhck-1,pancreatic ductal epithelium
aacbkffk-1,pancreatic ductal epithelium
aacbpdoc-1,pancreatic ductal epithelium
aaccfobk-1,pancreatic ductal epithelium
aacckjdg-1,T cells
aacfeplh-1,T cells
aacghmbg-1,T cells
aacgjcoh-1,pancreatic ductal epithelium
aacidjbe-1,pancreatic ductal epithelium
aacjaefd-1,pancreatic ductal epithelium
aacjenjg-1,Endothelial cells
aacjmeeb-1,pancreatic ductal epithelium
aacjnoji-1,pancreatic ductal epithelium
aackkdld-1,pancreatic ductal epithelium
aaclmdbb-1,pancreatic ductal epithelium
aaclnbfm-1,pancreatic ductal epithelium
aacmghbm-1,pancreatic ductal epithelium
aacmjggf-1,pancreatic ductal epithelium
aacnapcf-1,pancreatic ductal epithelium
aacnijkb-1,pancreatic ductal epithelium
aacnmhab-1,pancreatic ductal epithelium
aacoeilp-1,pancreatic ductal epithelium
aacphhja-1,pancreatic ductal epithelium
aacpickj-1,pancreatic ductal epithelium
aacplbem-1,pancreatic ductal epithelium
aacplgod-1,pancreatic ductal epithelium
aadacfhb-1,pancreatic ductal epithelium
aadafkha-1,Fibroblasts
aadakoik-1,pancreatic ductal epithelium
aadchabb-1,pancreatic ductal epithelium
aadclnkd-1,pancreatic ductal epithelium
aadcpfmg-1,pancreatic ductal epithelium
aaddbaej-1,pancreatic ductal epithelium
aaddkalk-1,pancreatic ductal epithelium
aaddnhjp-1,pancreatic ductal epithelium
aaddojjn-1,pancreatic ductal epithelium
aadebibb-1,pancreatic ductal epithelium
aadeokma-1,pancreatic ductal epithelium
aadepmng-1,pancreatic ductal epithelium
aadfichm-1,pancreatic ductal epithelium
aadgapme-1,Mast cells
aadgkbll-1,pancreatic ductal epithelium
aadgpdeb-1,pancreatic ductal epithelium
aadhaeba-1,T cells
aadhbchi-1,pancreatic ductal epithelium
aadhhjff-1,pancreatic ductal epithelium
aadhhpac-1,pancreatic ductal epithelium
aadijlgc-1,pancreatic ductal epithelium
aadjajjl-1,pancreatic ductal epithelium
aadjdmhl-1,pancreatic ductal epithelium
aadjhgko-1,pancreatic ductal epithelium
aadkbdfd-1,pancreatic ductal epithelium
aadkldko-1,pancreatic ductal epithelium
aadlelbf-1,pancreatic ductal epithelium
aadmaakc-1,pancreatic ductal epithelium
aadmiaam-1,pancreatic ductal epithelium
aadnaepe-1,pancreatic ductal epithelium
aadnfajg-1,pancreatic ductal epithelium
aadohklo-1,pancreatic ductal epithelium
aadplaeg-1,pancreatic ductal epithelium
aaeadnda-1,pancreatic ductal epithelium
aaeakhag-1,pancreatic ductal epithelium
aaebbchp-1,pancreatic ductal epithelium
aaebcapf-1,pancreatic ductal epithelium
aaecbnoi-1,pancreatic ductal epithelium
aaecgdlp-1,pancreatic ductal epithelium
aaecppmk-1,pancreatic ductal epithelium
aaednajd-1,pancreatic ductal epithelium
aaeeejnh-1,pancreatic ductal epithelium
aaeefccn-1,pancreatic ductal epithelium
aaeeicce-1,pancreatic ductal epithelium
aaeekdad-1,pancreatic ductal epithelium
aaefedcp-1,pancreatic ductal epithelium
aaefnakn-1,pancreatic ductal epithelium
aaefohhl-1,pancreatic ductal epithelium
aaegibmi-1,pancreatic ductal epithelium
aaegobab-1,pancreatic ductal epithelium
aaegojpj-1,pancreatic ductal epithelium
aaehmejm-1,pancreatic ductal epithelium
