cell_id,group
aaaadnje-1,intestinal-like/PanIN-like ductal epithelial
aaacalai-1,intestinal-like/PanIN-like ductal epithelial
aaacjgil-1,intestinal-like/PanIN-like ductal epithelial
aaacpcil-1,ductal/tumor epithelial
aaadhocp-1,intestinal-like/PanIN-like ductal epithelial
aaadpbhl-1,intestinal-like/PanIN-like ductal epithelial
aaafbala-1,intestinal-like/PanIN-like ductal epithelial
aaagajoe-1,intestinal-like/PanIN-like ductal epithelial
aaagannb-1,intestinal-like/PanIN-like ductal epithelial
aaaghjid-1,intestinal-like/PanIN-like ductal epithelial
aaagnfhj-1,intestinal-like/PanIN-like ductal epithelial
aaahdphb-1,intestinal-like/PanIN-like ductal epithelial
aaaigaaa-1,intestinal-like/PanIN-like ductal epithelial
aaaigail-1,ductal/tumor epithelial
aaaijojf-1,ductal/tumor epithelial
aaajglaf-1,intestinal-like/PanIN-like ductal epithelial
aaajojgl-1,ductal/tumor epithelial
aaakcgne-1,intestinal-like/PanIN-like ductal epithelial
aaakgela-1,intestinal-like/PanIN-like ductal epithelial
aaaknnbd-1,intestinal-like/PanIN-like ductal epithelial
aaakomle-1,intestinal-like/PanIN-like ductal epithelial
aaalgfdk-1,intestinal-like/PanIN-like ductal epithelial
aaalkmin-1,intestinal-like/PanIN-like ductal epithelial
aaalpghn-1,intestinal-like/PanIN-like ductal epithelial
aaambdeb-1,intestinal-like/PanIN-like ductal epithelial
aaamdinc-1,intestinal-like/PanIN-like ductal epithelial
aaamgldb-1,intestinal-like/PanIN-like ductal epithelial
aaamgmip-1,intestinal-like/PanIN-like ductal epithelial
aaamoijl-1,intestinal-like/PanIN-like ductal epithelial
aaandnkj-1,ductal/tumor epithelial
aaanepob-1,intestinal-like/PanIN-like ductal epithelial
aaanglln-1,ductal/tumor epithelial
aaanhblm-1,ductal/tumor epithelial
aaanjcjo-1,intestinal-like/PanIN-like ductal epithelial
aaanjdmk-1,ductal/tumor epithelial
aaanmnke-1,ductal/tumor epithelial
aaanpdfn-1,myeloid/macrophage
aaaoahad-1,ductal/tumor epithelial
aaaoahpb-1,intestinal-like/PanIN-like ductal epithelial
aaaofdbk-1,ductal/tumor epithelial
aaapbfma-1,intestinal-like/PanIN-like ductal epithelial
aaaponmo-1,ductal/tumor epithelial
aababhfo-1,intestinal-like/PanIN-like ductal epithelial
aabakiao-1,ductal/tumor epithelial
aabakidm-1,ductal/tumor epithelial
aabbhjaf-1,ductal/tumor epithelial
aabbibmc-1,ductal/tumor epithelial
aabblffc-1,ductal/tumor epithelial
aabcbmib-1,intestinal-like/PanIN-like ductal epithelial
aabcfhhf-1,intestinal-like/PanIN-like ductal epithelial
aabebmgl-1,ductal/tumor epithelial
aabeeffc-1,ductal/tumor epithelial
aabekach-1,ductal/tumor epithelial
aabelaln-1,ductal/tumor epithelial
aabengco-1,intestinal-like/PanIN-like ductal epithelial
aabepinc-1,intestinal-like/PanIN-like ductal epithelial
aabfbjcp-1,intestinal-like/PanIN-like ductal epithelial
aabfkaif-1,intestinal-like/PanIN-like ductal epithelial
aabggglh-1,intestinal-like/PanIN-like ductal epithelial
aabgmfdj-1,intestinal-like/PanIN-like ductal epithelial
aabgnpmc-1,intestinal-like/PanIN-like ductal epithelial
aabhgljn-1,intestinal-like/PanIN-like ductal epithelial
aabhknfb-1,intestinal-like/PanIN-like ductal epithelial
aabhobch-1,intestinal-like/PanIN-like ductal epithelial
aabinnlo-1,intestinal-like/PanIN-like ductal epithelial
aabjjghe-1,intestinal-like/PanIN-like ductal epithelial
aabjlago-1,myeloid/macrophage
aabjnabg-1,Tregs
aabjpanm-1,intestinal-like/PanIN-like ductal epithelial
aabkbkjf-1,ductal/tumor epithelial
aabkmjpa-1,ductal/tumor epithelial
aablcjki-1,ductal/tumor epithelial
aablfhkk-1,intestinal-like/PanIN-like ductal epithelial
aabligmc-1,intestinal-like/PanIN-like ductal epithelial
aabmkacn-1,ductal/tumor epithelial
aabneael-1,ductal/tumor epithelial
aabohcnn-1,ductal/tumor epithelial
aabohjco-1,ductal/tumor epithelial
aabomiia-1,intestinal-like/PanIN-like ductal epithelial
aaboobho-1,ductal/tumor epithelial
aabpjgoc-1,ductal/tumor epithelial
aabpljdc-1,intestinal-like/PanIN-like ductal epithelial
aacabfco-1,ductal/tumor epithelial
aacadagn-1,intestinal-like/PanIN-like ductal epithelial
aacagfcc-1,intestinal-like/PanIN-like ductal epithelial
