sample_id,disease_group,gene,present
pdac_pancreas_v1,PDAC,EPCAM,True
pdac_pancreas_v1,PDAC,KRT7,True
pdac_pancreas_v1,PDAC,KRT8,False
pdac_pancreas_v1,PDAC,KRT18,False
pdac_pancreas_v1,PDAC,KRT19,False
pdac_pancreas_v1,PDAC,SOX9,False
pdac_pancreas_v1,PDAC,MUC1,False
pdac_pancreas_v1,PDAC,MUC5AC,False
pdac_pancreas_v1,PDAC,TFF1,False
pdac_pancreas_v1,PDAC,TFF2,True
pdac_pancreas_v1,PDAC,TFF3,False
pdac_pancreas_v1,PDAC,CEACAM5,False
pdac_pancreas_v1,PDAC,CEACAM6,False
pdac_pancreas_v1,PDAC,AGR2,False
pdac_pancreas_v1,PDAC,AGR3,True
pdac_pancreas_v1,PDAC,S100P,False
pdac_pancreas_v1,PDAC,MKI67,True
pdac_pancreas_v1,PDAC,UBE2C,True
pdac_pancreas_v1,PDAC,TOP2A,True
pdac_pancreas_v1,PDAC,CENPF,True
pdac_pancreas_v1,PDAC,CDK1,True
pdac_pancreas_v1,PDAC,ACTA2,True
pdac_pancreas_v1,PDAC,PDGFRA,True
pdac_pancreas_v1,PDAC,FAP,False
pdac_pancreas_v1,PDAC,THY1,True
pdac_pancreas_v1,PDAC,PDPN,True
pdac_pancreas_v1,PDAC,DCN,False
pdac_pancreas_v1,PDAC,LUM,False
pdac_pancreas_v1,PDAC,VIM,False
pdac_pancreas_v1,PDAC,PECAM1,True
pdac_pancreas_v1,PDAC,VWF,True
pdac_pancreas_v1,PDAC,KDR,False
pdac_pancreas_v1,PDAC,CDH5,False
pdac_pancreas_v1,PDAC,PTPRC,True
pdac_pancreas_v1,PDAC,CD3D,True
pdac_pancreas_v1,PDAC,CD3E,True
pdac_pancreas_v1,PDAC,CD4,True
pdac_pancreas_v1,PDAC,CD8A,True
pdac_pancreas_v1,PDAC,FOXP3,True
pdac_pancreas_v1,PDAC,GZMB,True
pdac_pancreas_v1,PDAC,NKG7,True
pdac_pancreas_v1,PDAC,CD19,True
pdac_pancreas_v1,PDAC,MS4A1,True
pdac_pancreas_v1,PDAC,CD79A,True
pdac_pancreas_v1,PDAC,MZB1,True
pdac_pancreas_v1,PDAC,JCHAIN,False
pdac_pancreas_v1,PDAC,SDC1,False
pdac_pancreas_v1,PDAC,LST1,False
pdac_pancreas_v1,PDAC,LYZ,False
pdac_pancreas_v1,PDAC,CD68,True
pdac_pancreas_v1,PDAC,C1QA,False
pdac_pancreas_v1,PDAC,C1QB,False
pdac_pancreas_v1,PDAC,C1QC,False
pdac_pancreas_v1,PDAC,AMY2A,True
pdac_pancreas_v1,PDAC,PRSS1,False
pdac_pancreas_v1,PDAC,PRSS2,False
pdac_pancreas_v1,PDAC,CPA1,False
pdac_pancreas_v1,PDAC,CTRB1,False
pdac_pancreas_v1,PDAC,REG1A,False
pdac_pancreas_v1,PDAC,INS,True
