stage,module,name,kind,purpose,tutorial
ECM-cell analysis,spatioev.tl.ecm,assign_niches_to_fibers,function,Map per-image fiber-graph community labels back onto ``fiber_df``.,05
ECM-cell analysis,spatioev.tl.ecm,build_ecm_bipartite_graph_per_image,function,Build bipartite graphs per image.,05
ECM-cell analysis,spatioev.tl.ecm,compute_invasion_score,function,"Summarize each ECM niche by tumor density, alignment, and a simple invasion score.",05
ECM-cell analysis,spatioev.tl.ecm,detect_ecm_niches_per_image,function,Detect ECM niches separately per image.,05
ECM-cell analysis,spatioev.tl.ecm,project_fiber_graph_per_image,function,Project each bipartite graph onto a fiber-only graph.,05
ECM-cell analysis,spatioev.tl.ecm,build_cell_fiber_links,function,Build bidirectional adjacency table linking cells and fibers.,05
ECM-cell analysis,spatioev.tl.ecm,build_nearest_cell_fiber_map,function,Compute nearest fiber for every cell.,05
ECM-cell analysis,spatioev.tl.ecm,add_neighborhoods_to_obs,function,Copy neighborhood labels/features back into ``adata.obs`` by cell id.,05
ECM-cell analysis,spatioev.tl.ecm,build_ecm_cell_neighborhood_features,function,Build radius-based ECM-cell neighborhood features around each cell.,05
ECM-cell analysis,spatioev.tl.ecm,cluster_ecm_cell_neighborhoods,function,Cluster ECM-cell neighborhood features with K-means.,05
ECM-cell analysis,spatioev.tl.ecm,default_ecm_cell_neighborhood_feature_columns,function,Select sensible default features for K-means neighborhood clustering.,05
ECM-cell analysis,spatioev.tl.ecm,detect_tissue_regions_dbscan,function,Identify large tissue pieces from cell coordinates using DBSCAN.,05
ECM-cell analysis,spatioev.tl.ecm,filter_ecm_cell_inputs_by_tissue,function,"Filter cells, fibers, and links to retained tissue components.",05
ECM-cell analysis,spatioev.tl.ecm,score_col6_dark_neighborhoods,function,Mark K-means neighborhoods that look COL6A1/CHP-poor inside tissue.,05
ECM-cell analysis,spatioev.tl.ecm,summarize_ecm_cell_neighborhoods,function,"Summarize K-means neighborhoods by size, phenotype composition, and features.",05
ECM-cell analysis,spatioev.tl.ecm,cell_fiber_alignment,function,Compute alignment between cell orientation and ECM fiber orientation.,05
ECM-cell analysis,spatioev.tl.ecm,cell_to_fiber_distance,function,Compute distance from cells to nearest ECM fiber.,05
ECM-cell analysis,spatioev.tl.ecm,compute_convex_hull_area,function,Compute area of convex hull.,05
ECM-cell analysis,spatioev.tl.ecm,cross_morans_i_ecm_cells,function,Cross Moran's I between ECM features and nearby cell features.,05
ECM-cell analysis,spatioev.tl.ecm,cross_morans_i_ecm_cells_permutation_test,function,Permutation test for global cross Moran's I between ECM and cell features.,05
ECM-cell analysis,spatioev.tl.ecm,cross_ripleys_k,function,Cross Ripley's K statistic between cells and ECM fibers.,05
ECM-cell analysis,spatioev.tl.ecm,cross_ripleys_k_permutation_envelope,function,Permutation envelope for cell-ECM cross Ripley's K.,05
ECM-cell analysis,spatioev.tl.ecm,fiber_density_near_cells,function,Count ECM fibers within radius of each cell.,05
ECM-cell analysis,spatioev.tl.ecm,fiber_vectors,function,Convert ECM fiber orientation into vector field representation.,05
ECM-cell analysis,spatioev.tl.ecm,local_cross_morans_i_ecm_cells,function,Local cross Moran's I.,05
ECM-cell analysis,spatioev.tl.ecm,local_morans_i_fibers,function,Local Moran's I spatial autocorrelation for ECM features.,05
ECM-cell analysis,spatioev.tl.ecm,map_cells_to_fibers,function,Map nearby cell features onto ECM fiber locations.,05
ECM-cell analysis,spatioev.tl.ecm,map_cells_to_fibers_kernel,function,Map cell influence onto ECM fibers using Gaussian kernel density.,05
ECM-cell analysis,spatioev.tl.ecm,morans_i_fibers,function,Spatial autocorrelation of ECM features.,05
ECM-cell analysis,spatioev.tl.ecm,spatial_enrichment_score,function,Spatial enrichment score.,05
