sample_id,disease,target_phenotype,n_source_features,n_target_features,source_features,target_features
29624_1,IgG4AIP,Fibroblasts,10,5,"area, nc_ratio, major_minor_axis_ratio, convex_hull_resid, centroid_dif, num_concavities, CK19_expr, NaKATPase_expr, Ki67_expr, Vimentin_expr","FAP_expr, aSMA_expr, PDPN_expr, Thy1_expr, Vimentin_expr"
29624_1,IgG4AIP,T cells,10,6,"area, nc_ratio, major_minor_axis_ratio, convex_hull_resid, centroid_dif, num_concavities, CK19_expr, NaKATPase_expr, Ki67_expr, Vimentin_expr","CD3_expr, CD4_expr, CD8_expr, FOXP3_expr, GZMB_expr, Ki67_expr"
29624_1,IgG4AIP,B lineage,10,7,"area, nc_ratio, major_minor_axis_ratio, convex_hull_resid, centroid_dif, num_concavities, CK19_expr, NaKATPase_expr, Ki67_expr, Vimentin_expr","CD19_expr, CD20_expr, CD27_expr, CD38_expr, IgA_expr, IgM_expr, PDL1_expr"
45041_1,IgG4AIP,Fibroblasts,10,5,"area, nc_ratio, major_minor_axis_ratio, convex_hull_resid, centroid_dif, num_concavities, CK19_expr, NaKATPase_expr, Ki67_expr, Vimentin_expr","FAP_expr, aSMA_expr, PDPN_expr, Thy1_expr, Vimentin_expr"
45041_1,IgG4AIP,T cells,10,6,"area, nc_ratio, major_minor_axis_ratio, convex_hull_resid, centroid_dif, num_concavities, CK19_expr, NaKATPase_expr, Ki67_expr, Vimentin_expr","CD3_expr, CD4_expr, CD8_expr, FOXP3_expr, GZMB_expr, Ki67_expr"
45041_1,IgG4AIP,B lineage,10,5,"area, nc_ratio, major_minor_axis_ratio, convex_hull_resid, centroid_dif, num_concavities, CK19_expr, NaKATPase_expr, Ki67_expr, Vimentin_expr","CD20_expr, CD27_expr, CD38_expr, IgA_expr, PDL1_expr"
8053_1,IgG4AIP,Fibroblasts,10,5,"area, nc_ratio, major_minor_axis_ratio, convex_hull_resid, centroid_dif, num_concavities, CK19_expr, NaKATPase_expr, Ki67_expr, Vimentin_expr","FAP_expr, aSMA_expr, PDPN_expr, Thy1_expr, Vimentin_expr"
8053_1,IgG4AIP,T cells,10,6,"area, nc_ratio, major_minor_axis_ratio, convex_hull_resid, centroid_dif, num_concavities, CK19_expr, NaKATPase_expr, Ki67_expr, Vimentin_expr","CD3_expr, CD4_expr, CD8_expr, FOXP3_expr, GZMB_expr, Ki67_expr"
8053_1,IgG4AIP,B lineage,10,7,"area, nc_ratio, major_minor_axis_ratio, convex_hull_resid, centroid_dif, num_concavities, CK19_expr, NaKATPase_expr, Ki67_expr, Vimentin_expr","CD19_expr, CD20_expr, CD27_expr, CD38_expr, IgA_expr, IgM_expr, PDL1_expr"
33694_1,PDAC,Fibroblasts,10,5,"area, nc_ratio, major_minor_axis_ratio, convex_hull_resid, centroid_dif, num_concavities, CK19_expr, NaKATPase_expr, Ki67_expr, Vimentin_expr","FAP_expr, aSMA_expr, PDPN_expr, Thy1_expr, Vimentin_expr"
33694_1,PDAC,T cells,10,6,"area, nc_ratio, major_minor_axis_ratio, convex_hull_resid, centroid_dif, num_concavities, CK19_expr, NaKATPase_expr, Ki67_expr, Vimentin_expr","CD3_expr, CD4_expr, CD8_expr, FOXP3_expr, GZMB_expr, Ki67_expr"
33694_1,PDAC,B lineage,10,6,"area, nc_ratio, major_minor_axis_ratio, convex_hull_resid, centroid_dif, num_concavities, CK19_expr, NaKATPase_expr, Ki67_expr, Vimentin_expr","CD19_expr, CD20_expr, CD27_expr, CD38_expr, IgA_expr, PDL1_expr"
34434_1,PDAC,Fibroblasts,10,5,"area, nc_ratio, major_minor_axis_ratio, convex_hull_resid, centroid_dif, num_concavities, CK19_expr, NaKATPase_expr, Ki67_expr, Vimentin_expr","FAP_expr, aSMA_expr, PDPN_expr, Thy1_expr, Vimentin_expr"
34434_1,PDAC,T cells,10,6,"area, nc_ratio, major_minor_axis_ratio, convex_hull_resid, centroid_dif, num_concavities, CK19_expr, NaKATPase_expr, Ki67_expr, Vimentin_expr","CD3_expr, CD4_expr, CD8_expr, FOXP3_expr, GZMB_expr, Ki67_expr"
34434_1,PDAC,B lineage,10,7,"area, nc_ratio, major_minor_axis_ratio, convex_hull_resid, centroid_dif, num_concavities, CK19_expr, NaKATPase_expr, Ki67_expr, Vimentin_expr","CD19_expr, CD20_expr, CD27_expr, CD38_expr, IgA_expr, IgM_expr, PDL1_expr"
35559_1,PDAC,Fibroblasts,9,5,"area, nc_ratio, major_minor_axis_ratio, convex_hull_resid, centroid_dif, num_concavities, CK19_expr, NaKATPase_expr, Vimentin_expr","FAP_expr, aSMA_expr, PDPN_expr, Thy1_expr, Vimentin_expr"
35559_1,PDAC,T cells,9,5,"area, nc_ratio, major_minor_axis_ratio, convex_hull_resid, centroid_dif, num_concavities, CK19_expr, NaKATPase_expr, Vimentin_expr","CD3_expr, CD4_expr, CD8_expr, FOXP3_expr, GZMB_expr"
35559_1,PDAC,B lineage,9,7,"area, nc_ratio, major_minor_axis_ratio, convex_hull_resid, centroid_dif, num_concavities, CK19_expr, NaKATPase_expr, Vimentin_expr","CD19_expr, CD20_expr, CD27_expr, CD38_expr, IgA_expr, IgM_expr, PDL1_expr"
