fiber_type,n_fibers,n_with_cells,mean_signal,median_signal,imageid,pathology,phenotype
CHP,2727,2530,9.631655795304468,6.872459006295275,JRP112,RA,CD4 T cells
COL1A1bis,6085,5478,9.96678091351638,5.992841206422044,JRP112,RA,CD4 T cells
COL4A1,1313,1263,9.338517512034684,6.700659729508942,JRP112,RA,CD4 T cells
COL6A1,8053,7155,9.966493605724633,6.30467715513489,JRP112,RA,CD4 T cells
FN,7843,7305,10.866578351418477,7.289410016772543,JRP112,RA,CD4 T cells
MFAP5,3717,3059,6.504719208904665,3.840827672587846,JRP112,RA,CD4 T cells
CHP,2727,2025,3.3856475688102003,2.3159306241657216,JRP112,RA,CD8 T cells
COL1A1bis,6085,4058,3.412130600602671,2.092371014319775,JRP112,RA,CD8 T cells
COL4A1,1313,1005,3.32090015085671,2.0728861427503045,JRP112,RA,CD8 T cells
COL6A1,8053,5436,3.285251312985367,2.099402776230668,JRP112,RA,CD8 T cells
FN,7843,6043,3.653146517645169,2.4635562863986746,JRP112,RA,CD8 T cells
MFAP5,3717,1854,2.0545645999146407,1.2871915138351513,JRP112,RA,CD8 T cells
CHP,2727,982,3.882676836750305,1.935419763042474,JRP112,RA,T cells
COL1A1bis,6085,2323,4.552801622160256,2.695853472383303,JRP112,RA,T cells
COL4A1,1313,435,5.341610052499687,2.6872163156488886,JRP112,RA,T cells
COL6A1,8053,3023,4.661286446689859,2.58771031015647,JRP112,RA,T cells
FN,7843,3065,4.8111193853967436,2.614177608596526,JRP112,RA,T cells
MFAP5,3717,1085,3.95793680802813,2.140560166356144,JRP112,RA,T cells
CHP,2727,701,1.8635488363399435,0.9506237541105557,JRP112,RA,B cells
COL1A1bis,6085,1287,1.3437709314556345,0.789579542512991,JRP112,RA,B cells
COL4A1,1313,327,1.328103166490294,0.80093272431269,JRP112,RA,B cells
COL6A1,8053,1833,1.5172987750564315,0.8328623909142684,JRP112,RA,B cells
FN,7843,2195,1.4899372266857742,0.8797764793010734,JRP112,RA,B cells
MFAP5,3717,364,1.4422485835699612,0.7499867671950462,JRP112,RA,B cells
CHP,2727,941,2.1960213854766044,0.9427915238548232,JRP112,RA,Plasma cells
COL1A1bis,6085,1708,1.6360322742963669,0.8547934398891837,JRP112,RA,Plasma cells
COL4A1,1313,524,2.0907645631266147,1.05400125199061,JRP112,RA,Plasma cells
