imageid,pathology,phenotype,fiber_type,feature_fiber,cell_feature,cross_morans_i
JRP112,RA,CD4 T cells,CHP,major_axis_length,is_CD4_T_cells,-0.028692327912162686
JRP112,RA,CD4 T cells,CHP,minor_axis_length,is_CD4_T_cells,-0.015512045856653903
JRP112,RA,CD4 T cells,CHP,area,is_CD4_T_cells,-0.00873918821635567
JRP112,RA,CD4 T cells,CHP,eccentricity,is_CD4_T_cells,-0.022396258812297284
JRP112,RA,CD4 T cells,CHP,alignment_score,is_CD4_T_cells,0.10536266622253697
JRP112,RA,CD4 T cells,COL1A1bis,major_axis_length,is_CD4_T_cells,0.030828622627253475
JRP112,RA,CD4 T cells,COL1A1bis,minor_axis_length,is_CD4_T_cells,0.045300848887680024
JRP112,RA,CD4 T cells,COL1A1bis,area,is_CD4_T_cells,0.06147734079948515
JRP112,RA,CD4 T cells,COL1A1bis,eccentricity,is_CD4_T_cells,-0.014857417473633413
JRP112,RA,CD4 T cells,COL1A1bis,alignment_score,is_CD4_T_cells,0.07091115862851145
JRP112,RA,CD4 T cells,COL4A1,major_axis_length,is_CD4_T_cells,-0.03228166111476051
JRP112,RA,CD4 T cells,COL4A1,minor_axis_length,is_CD4_T_cells,-0.01055995171581095
JRP112,RA,CD4 T cells,COL4A1,area,is_CD4_T_cells,-0.03189622239674741
JRP112,RA,CD4 T cells,COL4A1,eccentricity,is_CD4_T_cells,0.012957650174366338
JRP112,RA,CD4 T cells,COL4A1,alignment_score,is_CD4_T_cells,0.05117379462645929
JRP112,RA,CD4 T cells,COL6A1,major_axis_length,is_CD4_T_cells,-0.01744112218538154
JRP112,RA,CD4 T cells,COL6A1,minor_axis_length,is_CD4_T_cells,-0.01968278636481896
JRP112,RA,CD4 T cells,COL6A1,area,is_CD4_T_cells,-0.012166093309505455
JRP112,RA,CD4 T cells,COL6A1,eccentricity,is_CD4_T_cells,0.017159878670370103
JRP112,RA,CD4 T cells,COL6A1,alignment_score,is_CD4_T_cells,0.024422103317862126
JRP112,RA,CD4 T cells,FN,major_axis_length,is_CD4_T_cells,-0.02414654730555242
JRP112,RA,CD4 T cells,FN,minor_axis_length,is_CD4_T_cells,-0.012303338205347257
JRP112,RA,CD4 T cells,FN,area,is_CD4_T_cells,-0.01713105956340443
JRP112,RA,CD4 T cells,FN,eccentricity,is_CD4_T_cells,-0.029123040696062506
JRP112,RA,CD4 T cells,FN,alignment_score,is_CD4_T_cells,0.03622554013108263
JRP112,RA,CD4 T cells,MFAP5,major_axis_length,is_CD4_T_cells,0.005134530378385952
JRP112,RA,CD4 T cells,MFAP5,minor_axis_length,is_CD4_T_cells,0.011999117452372329
JRP112,RA,CD4 T cells,MFAP5,area,is_CD4_T_cells,0.0002826631931766809
JRP112,RA,CD4 T cells,MFAP5,eccentricity,is_CD4_T_cells,0.033987120101477
JRP112,RA,CD4 T cells,MFAP5,alignment_score,is_CD4_T_cells,-0.033586209467678436
JRP112,RA,CD8 T cells,CHP,major_axis_length,is_CD8_T_cells,-0.019468786538048188
JRP112,RA,CD8 T cells,CHP,minor_axis_length,is_CD8_T_cells,-0.02532216781958814
JRP112,RA,CD8 T cells,CHP,area,is_CD8_T_cells,-0.01621810428817548
JRP112,RA,CD8 T cells,CHP,eccentricity,is_CD8_T_cells,0.02407233484029629
JRP112,RA,CD8 T cells,CHP,alignment_score,is_CD8_T_cells,0.03999479341379954
JRP112,RA,CD8 T cells,COL1A1bis,major_axis_length,is_CD8_T_cells,0.014314245959715957
JRP112,RA,CD8 T cells,COL1A1bis,minor_axis_length,is_CD8_T_cells,0.047519093343543414
JRP112,RA,CD8 T cells,COL1A1bis,area,is_CD8_T_cells,0.038228442361446124
JRP112,RA,CD8 T cells,COL1A1bis,eccentricity,is_CD8_T_cells,-0.030041720984637234
JRP112,RA,CD8 T cells,COL1A1bis,alignment_score,is_CD8_T_cells,0.08366383006904816
JRP112,RA,CD8 T cells,COL4A1,major_axis_length,is_CD8_T_cells,-0.056085441611669444
JRP112,RA,CD8 T cells,COL4A1,minor_axis_length,is_CD8_T_cells,-0.012619080854247452
JRP112,RA,CD8 T cells,COL4A1,area,is_CD8_T_cells,-0.04706187164056947
JRP112,RA,CD8 T cells,COL4A1,eccentricity,is_CD8_T_cells,-0.009242805224847982
JRP112,RA,CD8 T cells,COL4A1,alignment_score,is_CD8_T_cells,0.11219728817687831
JRP112,RA,CD8 T cells,COL6A1,major_axis_length,is_CD8_T_cells,-0.0027008009459448938
JRP112,RA,CD8 T cells,COL6A1,minor_axis_length,is_CD8_T_cells,0.017068923678970737
JRP112,RA,CD8 T cells,COL6A1,area,is_CD8_T_cells,0.01678677645987246
JRP112,RA,CD8 T cells,COL6A1,eccentricity,is_CD8_T_cells,-0.027767422075946915
JRP112,RA,CD8 T cells,COL6A1,alignment_score,is_CD8_T_cells,0.05991042675581001
JRP112,RA,CD8 T cells,FN,major_axis_length,is_CD8_T_cells,-0.05390501681496686
JRP112,RA,CD8 T cells,FN,minor_axis_length,is_CD8_T_cells,-0.049111899537723665
JRP112,RA,CD8 T cells,FN,area,is_CD8_T_cells,-0.04596779830866132
