phenotype,n_cells,n_with_fiber,median_density,mean_density,imageid,pathology,fiber_type
B cells,433,403,0.0006366197723675814,0.0007380366194792407,JRP112,RA,CHP
CD4 T cells,11858,10891,0.0003819718634205488,0.0005209865675473124,JRP112,RA,CHP
CD8 T cells,2895,2704,0.0005092958178940651,0.0005928757066479451,JRP112,RA,CHP
Dendritic cells,567,483,0.0006366197723675814,0.0006561269620798799,JRP112,RA,CHP
MERTK+ Macrophages,2664,2539,0.0007639437268410976,0.0007493508671515375,JRP112,RA,CHP
Macrophages,4539,4091,0.0005092958178940651,0.0005286542876282443,JRP112,RA,CHP
Monocytes,7964,7374,0.0005092958178940651,0.0005588164446136264,JRP112,RA,CHP
Myeloid cells,850,798,0.0005092958178940651,0.0006382153106441918,JRP112,RA,CHP
Neutrophils,2405,2311,0.0006366197723675814,0.0007319887750476577,JRP112,RA,CHP
Non-immune cells,7078,5578,0.0003819718634205488,0.00045736645317064284,JRP112,RA,CHP
Other Immune cells,4790,4394,0.0003819718634205488,0.0005010084599105818,JRP112,RA,CHP
Plasma cells,822,804,0.0005092958178940651,0.00058895247100374,JRP112,RA,CHP
T cells,2516,2143,0.0003819718634205488,0.0004204126466890346,JRP112,RA,CHP
Vascular cells,4603,4270,0.0003819718634205488,0.0004872899447321319,JRP112,RA,CHP
B cells,433,421,0.0008912676813146139,0.0009744365351868633,JRP112,RA,COL1A1bis
CD4 T cells,11858,11700,0.0010185916357881302,0.0010911989370058482,JRP112,RA,COL1A1bis
CD8 T cells,2895,2874,0.0011459155902616464,0.0011336439356377202,JRP112,RA,COL1A1bis
Dendritic cells,567,543,0.0011459155902616464,0.0010755708640331843,JRP112,RA,COL1A1bis
MERTK+ Macrophages,2664,2623,0.0008912676813146139,0.0009792246029714997,JRP112,RA,COL1A1bis
Macrophages,4539,4379,0.0008912676813146139,0.0009319450533877927,JRP112,RA,COL1A1bis
Monocytes,7964,7785,0.0010185916357881302,0.0010079935725255949,JRP112,RA,COL1A1bis
Myeloid cells,850,826,0.0011459155902616464,0.0011795192489483615,JRP112,RA,COL1A1bis
Neutrophils,2405,2386,0.0010185916357881302,0.0010581335680030822,JRP112,RA,COL1A1bis
Non-immune cells,7078,6252,0.0010185916357881302,0.0010905830271931013,JRP112,RA,COL1A1bis
Other Immune cells,4790,4773,0.0011459155902616464,0.0011557856642518414,JRP112,RA,COL1A1bis
Plasma cells,822,812,0.0007639437268410976,0.0008106709909212797,JRP112,RA,COL1A1bis
T cells,2516,2422,0.0010185916357881302,0.0010193801821618308,JRP112,RA,COL1A1bis
Vascular cells,4603,4565,0.0010185916357881302,0.0010801757084009504,JRP112,RA,COL1A1bis
B cells,433,334,0.00025464790894703254,0.0003160226295166018,JRP112,RA,COL4A1
CD4 T cells,11858,7535,0.00025464790894703254,0.000368352340221391,JRP112,RA,COL4A1
CD8 T cells,2895,2178,0.0003819718634205488,0.0003592312673277124,JRP112,RA,COL4A1
Dendritic cells,567,341,0.00025464790894703254,0.0003289513310591432,JRP112,RA,COL4A1
MERTK+ Macrophages,2664,1686,0.00025464790894703254,0.00034753549139212447,JRP112,RA,COL4A1
Macrophages,4539,2028,0.0003819718634205488,0.00039666308893672377,JRP112,RA,COL4A1
Monocytes,7964,6049,0.0003819718634205488,0.00037159482431401163,JRP112,RA,COL4A1
Myeloid cells,850,576,0.0003819718634205488,0.00038816122231856697,JRP112,RA,COL4A1
Neutrophils,2405,1568,0.00025464790894703254,0.0003179038786759032,JRP112,RA,COL4A1
Non-immune cells,7078,3303,0.00025464790894703254,0.00028136165416354684,JRP112,RA,COL4A1
Other Immune cells,4790,4014,0.0005092958178940651,0.0004920718748748525,JRP112,RA,COL4A1
Plasma cells,822,705,0.0003819718634205488,0.0003772762282201071,JRP112,RA,COL4A1
T cells,2516,1650,0.00025464790894703254,0.00030056169859051267,JRP112,RA,COL4A1
Vascular cells,4603,4340,0.0003819718634205488,0.00041210128767038784,JRP112,RA,COL4A1
B cells,433,430,0.0015278874536821952,0.001514562853795432,JRP112,RA,COL6A1
CD4 T cells,11858,11786,0.001400563499208679,0.0014144453320186626,JRP112,RA,COL6A1
CD8 T cells,2895,2889,0.001400563499208679,0.001449483398642948,JRP112,RA,COL6A1
Dendritic cells,567,541,0.001400563499208679,0.0014412789227279364,JRP112,RA,COL6A1
MERTK+ Macrophages,2664,2645,0.001400563499208679,0.0014085543409639166,JRP112,RA,COL6A1
Macrophages,4539,4528,0.0012732395447351628,0.0012859775640320936,JRP112,RA,COL6A1
Monocytes,7964,7948,0.001400563499208679,0.0013499895530243696,JRP112,RA,COL6A1
Myeloid cells,850,833,0.0015278874536821952,0.0015156594628564072,JRP112,RA,COL6A1
Neutrophils,2405,2400,0.0015278874536821952,0.0015167466076657626,JRP112,RA,COL6A1
Non-immune cells,7078,6592,0.001400563499208679,0.0013103821364300308,JRP112,RA,COL6A1
Other Immune cells,4790,4756,0.001400563499208679,0.0013972438670903618,JRP112,RA,COL6A1
Plasma cells,822,821,0.001400563499208679,0.0013934296357424405,JRP112,RA,COL6A1
T cells,2516,2508,0.001400563499208679,0.0013175592465913748,JRP112,RA,COL6A1
Vascular cells,4603,4603,0.001400563499208679,0.001389333100443472,JRP112,RA,COL6A1
B cells,433,430,0.0017825353626292279,0.0017908262247809917,JRP112,RA,FN
CD4 T cells,11858,11784,0.0016552114081557115,0.0015745642598028328,JRP112,RA,FN
CD8 T cells,2895,2891,0.0017825353626292279,0.001774916184447312,JRP112,RA,FN
Dendritic cells,567,551,0.0017825353626292279,0.0016644545264477997,JRP112,RA,FN
MERTK+ Macrophages,2664,2662,0.0017825353626292279,0.001711603197158069,JRP112,RA,FN
Macrophages,4539,4501,0.0012732395447351628,0.001317934467656326,JRP112,RA,FN
Monocytes,7964,7889,0.0015278874536821952,0.0014607635689496113,JRP112,RA,FN
Myeloid cells,850,831,0.0016552114081557115,0.001719716083045423,JRP112,RA,FN
Neutrophils,2405,2400,0.0017825353626292279,0.0017534630596911082,JRP112,RA,FN
Non-immune cells,7078,6564,0.0010185916357881302,0.0010584725087920226,JRP112,RA,FN
Other Immune cells,4790,4770,0.0017825353626292279,0.0016912197969575506,JRP112,RA,FN
Plasma cells,822,821,0.0015278874536821952,0.0015375026609627776,JRP112,RA,FN
T cells,2516,2495,0.0012732395447351628,0.0013721388728993608,JRP112,RA,FN
Vascular cells,4603,4585,0.0015278874536821952,0.0014481329504656328,JRP112,RA,FN
B cells,433,278,0.0003819718634205488,0.0004460918404935426,JRP112,RA,MFAP5
CD4 T cells,11858,7421,0.0005092958178940651,0.0006302029607555216,JRP112,RA,MFAP5
CD8 T cells,2895,1774,0.0003819718634205488,0.0005115925295869357,JRP112,RA,MFAP5
Dendritic cells,567,282,0.0003819718634205488,0.0004939447028156979,JRP112,RA,MFAP5
