phenotype,fiber_type,feature_fiber,n_RA,n_OA,mean_RA,mean_OA,RA_minus_OA,p_value_mannwhitney
T cells,COL4A1,minor_axis_length,3,3,0.04361485502703245,-0.02399106048452168,0.06760591551155412,0.2
T cells,COL6A1,alignment_score,3,3,0.0593509955804912,0.006735114848346147,0.05261588073214506,1.0
T cells,COL4A1,area,3,3,0.031526918456235946,-0.020841227238409737,0.05236814569464568,0.1
Neutrophils,COL4A1,alignment_score,3,3,0.03766560620962724,-0.000171400007471215,0.03783700621709846,0.7
T cells,MFAP5,alignment_score,3,3,0.05321692986367255,0.01693139009916585,0.0362855397645067,1.0
Monocytes,FN,alignment_score,3,3,0.05398183893356806,0.01780687254791135,0.03617496638565671,0.2
MERTK+ Macrophages,MFAP5,eccentricity,3,3,0.027579887089039915,-0.0062793581753756095,0.03385924526441553,0.1
Macrophages,CHP,alignment_score,3,3,0.010219793576352124,-0.022700430859586822,0.03292022443593895,1.0
CD8 T cells,COL1A1bis,minor_axis_length,3,3,0.043538403397146215,0.010679001692116606,0.03285940170502961,0.1
Monocytes,CHP,major_axis_length,3,3,0.017513437700948514,-0.013548971685055559,0.031062409386004075,0.2
Macrophages,FN,alignment_score,3,3,0.0016742478338272876,-0.028348650646869172,0.03002289848069646,0.2
CD4 T cells,COL4A1,minor_axis_length,3,3,0.03333521604820923,0.0038739314460369593,0.02946128460217227,1.0
T cells,MFAP5,area,3,3,0.024902308364897905,-0.0038931168084079654,0.02879542517330587,0.4
CD4 T cells,COL1A1bis,eccentricity,3,3,0.02212002695137763,-0.006407136683651088,0.02852716363502872,0.7
CD8 T cells,COL1A1bis,area,3,3,0.043313073142176854,0.015267425416006874,0.028045647726169978,0.1
T cells,COL4A1,major_axis_length,3,3,0.017837237180294608,-0.010204970851396045,0.028042208031690653,0.1
Vascular cells,FN,area,3,3,0.01861014736563602,-0.009006973722902682,0.0276171210885387,0.1
CD8 T cells,COL1A1bis,major_axis_length,3,3,0.04134630406495166,0.013942578414165038,0.027403725650786623,0.2
Macrophages,MFAP5,eccentricity,3,3,0.010386669517379628,-0.01616409850628826,0.02655076802366789,0.7
B cells,COL1A1bis,eccentricity,3,3,0.030110188222036764,0.003582028226387993,0.02652815999564877,0.7
CD4 T cells,COL4A1,major_axis_length,3,3,0.023876120292402547,-0.002441121397102433,0.02631724168950498,0.7
B cells,COL4A1,eccentricity,3,3,0.014144489996122346,-0.011731072413066257,0.025875562409188604,0.2
T cells,MFAP5,major_axis_length,3,3,0.019694328011233123,-0.005897010092462206,0.02559133810369533,0.2
Vascular cells,FN,minor_axis_length,3,3,0.008012710429754877,-0.017192177391075873,0.02520488782083075,0.7
Vascular cells,MFAP5,major_axis_length,3,3,0.03027515141030901,0.005195216445216807,0.025079934965092202,0.7
T cells,CHP,alignment_score,3,3,0.03828883103802657,0.013252308360110798,0.02503652267791577,0.7
T cells,COL1A1bis,alignment_score,3,3,0.029306685358595753,0.004613693717612387,0.024692991640983365,0.7
