phenotype,fiber_type,n_RA,n_OA,mean_RA,mean_OA,RA_minus_OA,p_value_mannwhitney
B cells,FN,3,3,0.0012131339845372247,0.00079083413591656,0.00042229984862066463,0.4
Neutrophils,COL6A1,3,3,0.0012561211603260732,0.0008366090993814273,0.00041951206094464585,0.1
Non-immune cells,COL1A1bis,3,3,0.0008638627143114065,0.00044921537814806553,0.000414647336163341,0.1
Macrophages,COL1A1bis,3,3,0.0006902943648670252,0.0002827476553285159,0.0004075467095385093,0.1
Monocytes,COL1A1bis,3,3,0.0008743954803247959,0.000500958739611957,0.00037343674071283893,0.2
Neutrophils,FN,3,3,0.0012773815259651854,0.0009242571108507404,0.000353124415114445,0.2
Neutrophils,COL1A1bis,3,3,0.0008719873165124463,0.0005359095181417581,0.0003360777983706882,0.1
Vascular cells,COL1A1bis,3,3,0.0009356223597594687,0.0006091299431762047,0.00032649241658326404,0.1
Myeloid cells,COL1A1bis,3,3,0.0007794611997585592,0.0004552418448691524,0.00032421935488940676,0.1
Macrophages,FN,3,3,0.0011323103157690423,0.0008169489728655547,0.0003153613429034876,0.2
Monocytes,COL6A1,3,3,0.0013459303825395213,0.001031691773685003,0.00031423860885451834,0.1
Dendritic cells,FN,3,3,0.001210567299861455,0.0009028315293237015,0.00030773577053775346,1.0
CD8 T cells,FN,3,3,0.001305370509622418,0.0010020302950105114,0.0003033402146119066,0.7
Other Immune cells,COL1A1bis,3,3,0.0008944592320522642,0.0006023447128154859,0.00029211451923677836,0.4
T cells,FN,3,3,0.001054582289286003,0.0007654008197333583,0.0002891814695526447,0.4
CD4 T cells,FN,3,3,0.0011980396290365832,0.0009104352521433322,0.000287604376893251,0.7
Myeloid cells,COL6A1,3,3,0.0012225988482907103,0.0009352302872833107,0.0002873685610073996,0.4
T cells,COL1A1bis,3,3,0.0007949903206256353,0.0005106378362621483,0.000284352484363487,0.2
MERTK+ Macrophages,FN,3,3,0.0010969514233951376,0.0008135120236523298,0.0002834393997428078,0.7
B cells,COL6A1,3,3,0.0011928159327963723,0.0009173679846866582,0.00027544794810971417,0.7
MERTK+ Macrophages,COL1A1bis,3,3,0.0006843558759730086,0.0004141837356634213,0.00027017214030958735,0.7
Macrophages,COL6A1,3,3,0.0011326902847071671,0.0008683534168024559,0.0002643368679047112,0.1
T cells,COL6A1,3,3,0.0011336797853596604,0.0008776514763642177,0.00025602830899544267,0.2
CD4 T cells,COL1A1bis,3,3,0.0008951237323262536,0.0006449984988082674,0.0002501252335179862,0.4
MERTK+ Macrophages,COL6A1,3,3,0.0010756077630782073,0.000826938089612623,0.00024866967346558427,0.7
Dendritic cells,COL1A1bis,3,3,0.0008176753714772923,0.0005715358058268398,0.0002461395656504525,0.4
Monocytes,FN,3,3,0.0013239757552620923,0.0010806514216818027,0.00024332433358028953,0.2
CD8 T cells,COL1A1bis,3,3,0.0009239845036427162,0.0006921978574170552,0.00023178664622566097,0.4
Vascular cells,COL6A1,3,3,0.0012817045700000427,0.0010520408534912653,0.0002296637165087774,0.2
Plasma cells,COL1A1bis,3,3,0.000826636624414975,0.0006009871995100633,0.00022564942490491168,0.1
B cells,COL1A1bis,3,3,0.000753486493373166,0.0005434610825157791,0.00021002541085738693,0.4
Vascular cells,FN,3,3,0.0011825837906184018,0.0009819272872970978,0.00020065650332130392,0.7
Myeloid cells,FN,3,3,0.0011694252546510249,0.0009787496905112679,0.000190675564139757,1.0
Other Immune cells,FN,3,3,0.0011682885923275557,0.000982578069660195,0.00018571052266736074,1.0
Plasma cells,FN,3,3,0.0012609683423183522,0.001083601973547208,0.00017736636877114425,1.0
Plasma cells,COL6A1,3,3,0.0013799455800409452,0.0012088570066990528,0.00017108857334189242,0.1
Macrophages,MFAP5,3,3,0.0007465547883305653,0.0005969456108208274,0.0001496091775097379,0.2
Non-immune cells,COL6A1,3,3,0.001204634303819351,0.0010598262417640658,0.00014480806205528513,0.2
CD8 T cells,COL6A1,3,3,0.0013195541256908977,0.0011936521492778092,0.0001259019764130885,0.4
CD4 T cells,COL6A1,3,3,0.0012535187841200045,0.001146577410610772,0.0001069413735092326,0.7
Non-immune cells,FN,3,3,0.0010957892395295921,0.0009994682945912586,9.632094493833353e-05,1.0
Non-immune cells,MFAP5,3,3,0.0009146067018230095,0.0008229392434904982,9.16674583325113e-05,0.7
B cells,CHP,3,3,0.0009988877187744186,0.0009111766958617024,8.771102291271619e-05,0.7
Monocytes,MFAP5,3,3,0.0008702279052710404,0.0008007705367088329,6.945736856220754e-05,0.7
Macrophages,COL4A1,3,3,0.00026449629502266436,0.00020302151254976563,6.147478247289873e-05,0.7
Plasma cells,MFAP5,3,3,0.0009179334241968283,0.0008581520931970596,5.978133099976868e-05,0.4
Other Immune cells,COL4A1,3,3,0.0003258868950826227,0.000267346551281959,5.854034380066371e-05,0.7
