phenotype,fiber_type,n_RA,n_OA,mean_RA,mean_OA,RA_minus_OA,p_value_mannwhitney
MERTK+ Macrophages,COL4A1,3,3,34.29346151708279,25.132064592127307,9.161396924955483,0.4
Neutrophils,COL4A1,3,3,26.440817769239633,19.28469439018598,7.156123379053653,0.1
B cells,MFAP5,3,3,23.30670861446637,17.218967954101583,6.087740660364787,0.4
CD4 T cells,MFAP5,3,3,20.566945291081794,14.647985337621671,5.9189599534601225,0.1
Dendritic cells,MFAP5,3,3,20.47438486888733,14.609102080327338,5.865282788559993,0.1
Other Immune cells,MFAP5,3,3,20.216438021605068,14.644100108894952,5.5723379127101165,0.1
CD8 T cells,MFAP5,3,3,19.803675722421442,14.371549223479745,5.432126498941697,0.1
Non-immune cells,CHP,3,3,19.245046076510636,14.464368222381644,4.780677854128992,0.1
Other Immune cells,CHP,3,3,17.90875944390042,13.686408094912677,4.222351348987742,0.1
T cells,CHP,3,3,20.64459271874159,16.823278276284043,3.8213144424575454,0.2
Vascular cells,CHP,3,3,18.88560942302226,15.384094678519029,3.501514744503231,0.2
Myeloid cells,COL4A1,3,3,27.90620264685643,24.49568973199612,3.410512914860309,0.7
Neutrophils,MFAP5,3,3,20.496322659139448,17.129702450011496,3.3666202091279516,0.4
T cells,MFAP5,3,3,18.328876515518846,15.435327602648357,2.8935489128704894,0.7
Vascular cells,MFAP5,3,3,19.850309580296493,17.02218268751163,2.828126892784862,0.7
CD4 T cells,COL4A1,3,3,26.98737100001148,24.17928157835732,2.8080894216541594,0.7
Myeloid cells,CHP,3,3,18.791217948072255,16.215525827012932,2.5756921210593227,0.7
CD8 T cells,CHP,3,3,16.11973514206699,13.710841938763975,2.4088932033030144,0.2
Dendritic cells,CHP,3,3,16.471890874782655,14.175664624391702,2.296226250390953,0.1
Monocytes,CHP,3,3,16.474853810610117,14.89910277789859,1.575751032711528,0.4
Dendritic cells,COL4A1,3,3,28.53565028463774,27.06638361089611,1.469266673741629,0.4
CD4 T cells,CHP,3,3,15.901693697553872,14.62955161378332,1.272142083770552,1.0
Plasma cells,COL4A1,3,3,29.704116112386924,28.43983408767487,1.2642820247120525,1.0
Other Immune cells,COL6A1,3,3,13.943963466272578,12.91131814757596,1.032645318696618,1.0
Plasma cells,CHP,3,3,14.377947915759604,13.370279655280157,1.0076682604794467,1.0
