phenotype,n_cells,n_with_fiber,median_distance_px,mean_distance_px,imageid,pathology,fiber_type,median_distance_um,mean_distance_um
B cells,433,430,31.880805835197556,35.45936753799961,JRP112,RA,COL6A1,10.361261896439206,11.524294449849874
CD4 T cells,11858,11786,34.83581940926642,38.67669544519561,JRP112,RA,COL6A1,11.321641308011587,12.569926019688575
CD8 T cells,2895,2889,34.4292855981609,37.70065561475036,JRP112,RA,COL6A1,11.189517819402294,12.252713074793867
Dendritic cells,567,541,34.47010047415642,37.20027250488935,JRP112,RA,COL6A1,11.202782654100837,12.090088564089038
MERTK+ Macrophages,2664,2645,35.27432001550975,38.711163816869124,JRP112,RA,COL6A1,11.464154005040669,12.581128240482466
Macrophages,4539,4528,35.750621163263546,39.843499422578276,JRP112,RA,COL6A1,11.618951878060653,12.94913731233794
Monocytes,7964,7948,35.117600274414066,38.64521753550115,JRP112,RA,COL6A1,11.413220089184572,12.559695699037876
Neutrophils,2405,2400,35.30450910920422,38.230288087628914,JRP112,RA,COL6A1,11.473965460491371,12.424843628479397
Plasma cells,822,821,32.70808001257602,35.57687210847131,JRP112,RA,COL6A1,10.630126004087206,11.562483435253178
T cells,2516,2508,35.11037106357655,40.0677636160854,JRP112,RA,COL6A1,11.410870595662379,13.022023175227755
Vascular cells,4603,4603,36.40209954542535,38.761850225348084,JRP112,RA,COL6A1,11.83068235226324,12.597601323238127
B cells,433,334,83.05444808788138,85.15257691963566,JRP112,RA,COL4A1,26.99269562856145,27.674587498881593
CD4 T cells,11858,7535,74.68035787631453,77.87673131381086,JRP112,RA,COL4A1,24.271116309802224,25.309937676988532
CD8 T cells,2895,2178,73.20142251728191,78.24159465946715,JRP112,RA,COL4A1,23.79046231811662,25.428518264326826
Dendritic cells,567,341,91.81765578064812,89.80158688423207,JRP112,RA,COL4A1,29.84073812871064,29.18551573737542
MERTK+ Macrophages,2664,1686,85.12608757739352,87.35333945150698,JRP112,RA,COL4A1,27.665978462652895,28.38983532173977
Macrophages,4539,2028,78.66210941036758,81.54139373251226,JRP112,RA,COL4A1,25.565185558369464,26.500952963066485
Monocytes,7964,6049,77.77292982088653,80.42943518157327,JRP112,RA,COL4A1,25.276202191788123,26.139566434011314
Neutrophils,2405,1568,89.70611603292039,88.4568388576652,JRP112,RA,COL4A1,29.15448771069913,28.748472628741194
Plasma cells,822,705,79.52022156789937,80.89839236479321,JRP112,RA,COL4A1,25.844072009567295,26.291977518557793
T cells,2516,1650,60.50610202265997,67.52626934974936,JRP112,RA,COL4A1,19.66448315736449,21.94603753866854
Vascular cells,4603,4340,42.76695398808822,51.52740652552344,JRP112,RA,COL4A1,13.89926004612867,16.74640712079512
B cells,433,403,48.6668109801945,56.18502188456357,JRP112,RA,CHP,15.816713568563213,18.26013211248316
CD4 T cells,11858,10891,62.43190145423695,68.07474934767419,JRP112,RA,CHP,20.29036797262701,22.12429353799411
CD8 T cells,2895,2704,59.92117473900913,66.12481060394742,JRP112,RA,CHP,19.47438179017797,21.490563446282913
Dendritic cells,567,483,56.12274633680589,62.06897365983061,JRP112,RA,CHP,18.239892559461914,20.172416439444948
MERTK+ Macrophages,2664,2539,50.175157264588066,56.486442922293236,JRP112,RA,CHP,16.30692611099112,18.358093949745303
Macrophages,4539,4091,60.18028239929599,65.57123266136458,JRP112,RA,CHP,19.5585917797712,21.310650614943487
Monocytes,7964,7374,56.632588294071326,62.728352556073034,JRP112,RA,CHP,18.40559119557318,20.386714580723737
Neutrophils,2405,2311,52.453107941325335,58.27072023072869,JRP112,RA,CHP,17.047260080930734,18.937984074986826
Plasma cells,822,804,53.23293004244722,59.262349881260164,JRP112,RA,CHP,17.300702263795348,19.260263711409554
T cells,2516,2143,70.57734277715421,74.30459373368585,JRP112,RA,CHP,22.93763640257512,24.148992963447903
Vascular cells,4603,4270,68.96236344193497,71.67298432415221,JRP112,RA,CHP,22.412768118628865,23.29371990534947
B cells,433,430,30.445966945648145,31.68214263325995,JRP112,RA,FN,9.894939257335647,10.296696355809484
CD4 T cells,11858,11784,32.07610560826029,36.153735223566706,JRP112,RA,FN,10.424734322684595,11.74996394765918
CD8 T cells,2895,2891,28.89756580848806,31.51872215913969,JRP112,RA,FN,9.39170888775862,10.2435847017204
Dendritic cells,567,551,31.309989532276784,33.69069914736594,JRP112,RA,FN,10.175746597989955,10.94947722289393
MERTK+ Macrophages,2664,2662,31.92702656678327,34.647815010036425,JRP112,RA,FN,10.376283634204563,11.260539878261838
Macrophages,4539,4501,37.162970023360785,43.536767617218324,JRP112,RA,FN,12.077965257592256,14.149449475595956
Monocytes,7964,7889,34.35357811220183,40.26392824409946,JRP112,RA,FN,11.164912886465595,13.085776679332325
Neutrophils,2405,2400,27.075230305136174,30.11393485323913,JRP112,RA,FN,8.799449849169257,9.787028827302718
Plasma cells,822,821,31.99112923720905,36.22498735390329,JRP112,RA,FN,10.397117002092942,11.77312089001857
T cells,2516,2495,34.03502034996778,39.89906599908339,JRP112,RA,FN,11.06138161373953,12.967196449702103
Vascular cells,4603,4585,34.18665986391752,39.29708532314159,JRP112,RA,FN,11.110664455773195,12.771552730021016
B cells,433,421,48.31725174609923,53.07192459790535,JRP112,RA,COL1A1bis,15.70310681748225,17.24837549431924
CD4 T cells,11858,11700,41.400318963408736,46.31080944369759,JRP112,RA,COL1A1bis,13.45510366310784,15.051013069201717
CD8 T cells,2895,2874,41.58692817689816,45.912149878105744,JRP112,RA,COL1A1bis,13.515751657491903,14.921448710384368
Dendritic cells,567,543,40.49045137340988,44.739867380589956,JRP112,RA,COL1A1bis,13.159396696358213,14.540456898691737
MERTK+ Macrophages,2664,2623,46.40327464286583,52.04805865698913,JRP112,RA,COL1A1bis,15.081064258931395,16.91561906352147
Macrophages,4539,4379,47.91975239494404,53.6460218050809,JRP112,RA,COL1A1bis,15.573919528356814,17.43495708665129
Monocytes,7964,7785,45.12467792138095,50.3289242968371,JRP112,RA,COL1A1bis,14.66552032444881,16.35690039647206
Neutrophils,2405,2386,42.756929747685234,49.3658168512219,JRP112,RA,COL1A1bis,13.896002167997702,16.043890476647118
Plasma cells,822,812,51.65163388685677,56.813558908160125,JRP112,RA,COL1A1bis,16.786781013228453,18.464406645152042
T cells,2516,2422,41.12819971862861,47.523658098231806,JRP112,RA,COL1A1bis,13.366664908554299,15.445188881925338
Vascular cells,4603,4565,36.13410256130069,40.5681057626023,JRP112,RA,COL1A1bis,11.743583332422725,13.184634372845748
B cells,433,278,69.73820171065486,73.65758013505264,JRP112,RA,MFAP5,22.664915555962832,23.93871354389211
CD4 T cells,11858,7421,59.40387143753252,66.862976104877,JRP112,RA,MFAP5,19.30625821719807,21.73046723408503
CD8 T cells,2895,1774,69.29584252132622,73.88434112144233,JRP112,RA,MFAP5,22.521148819431023,24.01241086446876
Dendritic cells,567,282,71.64491290260199,76.26025933804596,JRP112,RA,MFAP5,23.284596693345648,24.784584284864938
MERTK+ Macrophages,2664,1538,69.7336607547984,74.26909782030972,JRP112,RA,MFAP5,22.66343974530948,24.137456791600663
Macrophages,4539,2412,58.98702912696726,65.84836623808437,JRP112,RA,MFAP5,19.170784466264358,21.40071902737742
Monocytes,7964,6401,51.31754730428321,59.60601706051572,JRP112,RA,MFAP5,16.678202873892044,19.37195554466761
Neutrophils,2405,1565,74.65588874092774,78.58955791902031,JRP112,RA,MFAP5,24.263163840801514,25.541606323681602
Plasma cells,822,743,45.29485119086445,50.36171918454257,JRP112,RA,MFAP5,14.720826637030946,16.36755873497634
T cells,2516,1876,67.74184798027099,72.2297218918051,JRP112,RA,MFAP5,22.01610059358807,23.474659614836657
Vascular cells,4603,4336,51.194125511206735,56.47132055163672,JRP112,RA,MFAP5,16.63809079114219,18.353179179281934
