phenotype,n_cells,n_with_fiber,median_density,mean_density,imageid,pathology,fiber_type
B cells,433,430,0.00016138311229518188,0.00015997570143214248,JRP112,RA,COL6A1
CD4 T cells,11858,11786,0.00014793451960391673,0.00014940078819447128,JRP112,RA,COL6A1
CD8 T cells,2895,2889,0.00014793451960391673,0.0001531016839816614,JRP112,RA,COL6A1
Dendritic cells,567,541,0.00014793451960391673,0.00015223508621313832,JRP112,RA,COL6A1
MERTK+ Macrophages,2664,2645,0.00014793451960391673,0.0001487785522643137,JRP112,RA,COL6A1
Macrophages,4539,4528,0.00013448592691265158,0.0001358313802008899,JRP112,RA,COL6A1
Monocytes,7964,7948,0.00014793451960391673,0.00014259264653819904,JRP112,RA,COL6A1
Neutrophils,2405,2400,0.00016138311229518188,0.0001602063604346962,JRP112,RA,COL6A1
Plasma cells,822,821,0.00014793451960391673,0.00014718100527529528,JRP112,RA,COL6A1
T cells,2516,2508,0.00014793451960391673,0.00013916719542121398,JRP112,RA,COL6A1
Vascular cells,4603,4603,0.00014793451960391673,0.00014674830873434176,JRP112,RA,COL6A1
B cells,433,334,2.6897185382530314e-05,3.337989024269106e-05,JRP112,RA,COL4A1
CD4 T cells,11858,7535,2.6897185382530314e-05,3.890721593588443e-05,JRP112,RA,COL4A1
CD8 T cells,2895,2178,4.034577807379547e-05,3.794380261148962e-05,JRP112,RA,COL4A1
Dendritic cells,567,341,2.6897185382530314e-05,3.4745484343122006e-05,JRP112,RA,COL4A1
MERTK+ Macrophages,2664,1686,2.6897185382530314e-05,3.670843627829315e-05,JRP112,RA,COL4A1
Macrophages,4539,2028,4.034577807379547e-05,4.189753876894146e-05,JRP112,RA,COL4A1
Monocytes,7964,6049,4.034577807379547e-05,3.924970331816748e-05,JRP112,RA,COL4A1
Neutrophils,2405,1568,2.6897185382530314e-05,3.3578597185142275e-05,JRP112,RA,COL4A1
Plasma cells,822,705,4.034577807379547e-05,3.984980160574881e-05,JRP112,RA,COL4A1
T cells,2516,1650,2.6897185382530314e-05,3.1746829413622904e-05,JRP112,RA,COL4A1
Vascular cells,4603,4340,4.034577807379547e-05,4.352819851018472e-05,JRP112,RA,COL4A1
B cells,433,403,6.724296345632579e-05,7.795511793249482e-05,JRP112,RA,CHP
CD4 T cells,11858,10891,4.034577807379547e-05,5.5029206197184874e-05,JRP112,RA,CHP
CD8 T cells,2895,2704,5.379437076506063e-05,6.262249651468921e-05,JRP112,RA,CHP
Dendritic cells,567,483,6.724296345632579e-05,6.930341036968733e-05,JRP112,RA,CHP
MERTK+ Macrophages,2664,2539,8.069155614759094e-05,7.915018534288115e-05,JRP112,RA,CHP
Macrophages,4539,4091,5.379437076506063e-05,5.583910913073331e-05,JRP112,RA,CHP
Monocytes,7964,7374,5.379437076506063e-05,5.902498696231429e-05,JRP112,RA,CHP
Neutrophils,2405,2311,6.724296345632579e-05,7.731631436440886e-05,JRP112,RA,CHP
Plasma cells,822,804,5.379437076506063e-05,6.220810474977005e-05,JRP112,RA,CHP
T cells,2516,2143,4.034577807379547e-05,4.440608580652928e-05,JRP112,RA,CHP
Vascular cells,4603,4270,4.034577807379547e-05,5.147000041233143e-05,JRP112,RA,CHP
B cells,433,430,0.0001882802976777122,0.00018915601999249226,JRP112,RA,FN
CD4 T cells,11858,11784,0.00017483170498644703,0.0001663133499416742,JRP112,RA,FN
CD8 T cells,2895,2891,0.0001882802976777122,0.00018747552198224737,JRP112,RA,FN
Dendritic cells,567,551,0.0001882802976777122,0.00017580800935604888,JRP112,RA,FN
MERTK+ Macrophages,2664,2662,0.0001882802976777122,0.00018078808769982107,JRP112,RA,FN
Macrophages,4539,4501,0.00013448592691265158,0.00013920682814619944,JRP112,RA,FN
Monocytes,7964,7889,0.00016138311229518188,0.0001542931519703027,JRP112,RA,FN
Neutrophils,2405,2400,0.0001882802976777122,0.00018520953567987332,JRP112,RA,FN
Plasma cells,822,821,0.00016138311229518188,0.00016239871856419338,JRP112,RA,FN
T cells,2516,2495,0.00013448592691265158,0.00014493216844999502,JRP112,RA,FN
Vascular cells,4603,4585,0.00016138311229518188,0.0001529590428929325,JRP112,RA,FN
B cells,433,421,9.41401488388561e-05,0.00010292485902911244,JRP112,RA,COL1A1bis
CD4 T cells,11858,11700,0.00010758874153012126,0.00011525788772124273,JRP112,RA,COL1A1bis
CD8 T cells,2895,2874,0.00012103733422138642,0.00011974114070173422,JRP112,RA,COL1A1bis
Dendritic cells,567,543,0.00012103733422138642,0.00011360717251350511,JRP112,RA,COL1A1bis
MERTK+ Macrophages,2664,2623,9.41401488388561e-05,0.00010343059868886466,JRP112,RA,COL1A1bis
Macrophages,4539,4379,9.41401488388561e-05,9.84366962640856e-05,JRP112,RA,COL1A1bis
Monocytes,7964,7785,0.00010758874153012126,0.00010646932109801595,JRP112,RA,COL1A1bis
Neutrophils,2405,2386,0.00010758874153012126,0.00011176535812032556,JRP112,RA,COL1A1bis
Plasma cells,822,812,8.069155614759094e-05,8.562712341606018e-05,JRP112,RA,COL1A1bis
T cells,2516,2422,0.00010758874153012126,0.00010767203174084337,JRP112,RA,COL1A1bis
Vascular cells,4603,4565,0.00010758874153012126,0.00011409355919985039,JRP112,RA,COL1A1bis
B cells,433,278,4.034577807379547e-05,4.711845065213044e-05,JRP112,RA,MFAP5
CD4 T cells,11858,7421,5.379437076506063e-05,6.656518772980198e-05,JRP112,RA,MFAP5
CD8 T cells,2895,1774,4.034577807379547e-05,5.4036960937620094e-05,JRP112,RA,MFAP5
Dendritic cells,567,282,4.034577807379547e-05,5.2172909234908096e-05,JRP112,RA,MFAP5
MERTK+ Macrophages,2664,1538,4.034577807379547e-05,4.784830897698501e-05,JRP112,RA,MFAP5
Macrophages,4539,2412,5.379437076506063e-05,6.776707942356415e-05,JRP112,RA,MFAP5
Monocytes,7964,6401,6.724296345632579e-05,7.72837109132163e-05,JRP112,RA,MFAP5
Neutrophils,2405,1565,4.034577807379547e-05,4.696265754489718e-05,JRP112,RA,MFAP5
Plasma cells,822,743,9.41401488388561e-05,9.564248153518856e-05,JRP112,RA,MFAP5
T cells,2516,1876,5.379437076506063e-05,5.771568217344124e-05,JRP112,RA,MFAP5
Vascular cells,4603,4336,9.41401488388561e-05,9.833663082946537e-05,JRP112,RA,MFAP5
B cells,3256,3198,0.00010758874153012126,0.00010739109179388315,JRP122,RA,COL6A1
CD4 T cells,3216,3191,0.00010758874153012126,0.00011300863817724347,JRP122,RA,COL6A1
CD8 T cells,1424,1418,0.00012103733422138642,0.00012433783510753613,JRP122,RA,COL6A1
Dendritic cells,953,876,0.00010758874153012126,0.00011096624197769928,JRP122,RA,COL6A1
MERTK+ Macrophages,451,441,6.724296345632579e-05,7.361655953903421e-05,JRP122,RA,COL6A1
Macrophages,4757,4676,9.41401488388561e-05,0.00010172727191831665,JRP122,RA,COL6A1
Monocytes,10119,10086,0.00012103733422138642,0.00012366144986846253,JRP122,RA,COL6A1
Neutrophils,384,360,0.00012103733422138642,0.00011823554407737283,JRP122,RA,COL6A1
Plasma cells,5695,5686,0.00013448592691265158,0.00013640411345373774,JRP122,RA,COL6A1
T cells,302,271,0.00012103733422138642,0.00011562812166290707,JRP122,RA,COL6A1
Vascular cells,4936,4935,0.00010758874153012126,0.00011601761634148563,JRP122,RA,COL6A1
B cells,3256,2058,2.6897185382530314e-05,2.4623079329779936e-05,JRP122,RA,COL4A1
CD4 T cells,3216,2165,2.6897185382530314e-05,2.4629870679383993e-05,JRP122,RA,COL4A1
CD8 T cells,1424,861,2.6897185382530314e-05,2.6178677526783282e-05,JRP122,RA,COL4A1
Dendritic cells,953,419,2.6897185382530314e-05,2.6255247783901905e-05,JRP122,RA,COL4A1
MERTK+ Macrophages,451,28,1.3448592691265157e-05,1.6810740864081445e-05,JRP122,RA,COL4A1
Macrophages,4757,915,1.3448592691265157e-05,2.0224331741181263e-05,JRP122,RA,COL4A1
Monocytes,10119,4780,1.3448592691265157e-05,2.3540664235944678e-05,JRP122,RA,COL4A1
Neutrophils,384,184,1.3448592691265157e-05,2.4339029164083134e-05,JRP122,RA,COL4A1
Plasma cells,5695,3373,2.6897185382530314e-05,2.5282397348150713e-05,JRP122,RA,COL4A1
T cells,302,38,2.0172889036897736e-05,2.4773723378646342e-05,JRP122,RA,COL4A1
Vascular cells,4936,4600,2.6897185382530314e-05,3.0613090015269015e-05,JRP122,RA,COL4A1
B cells,3256,3239,0.00010758874153012126,0.00011273732286299215,JRP122,RA,CHP
CD4 T cells,3216,3173,9.41401488388561e-05,0.00010558395604541644,JRP122,RA,CHP
CD8 T cells,1424,1400,8.069155614759094e-05,8.364064040203265e-05,JRP122,RA,CHP
Dendritic cells,953,893,6.724296345632579e-05,7.468261047702566e-05,JRP122,RA,CHP
MERTK+ Macrophages,451,377,2.6897185382530314e-05,3.795570987667408e-05,JRP122,RA,CHP
Macrophages,4757,4284,4.034577807379547e-05,5.660714832140367e-05,JRP122,RA,CHP
Monocytes,10119,9691,6.724296345632579e-05,6.762597982024996e-05,JRP122,RA,CHP
Neutrophils,384,346,6.724296345632579e-05,7.08966273666695e-05,JRP122,RA,CHP
Plasma cells,5695,5637,9.41401488388561e-05,9.917174046310274e-05,JRP122,RA,CHP
T cells,302,294,4.034577807379547e-05,4.871684087141971e-05,JRP122,RA,CHP
Vascular cells,4936,4859,6.724296345632579e-05,6.803454557398412e-05,JRP122,RA,CHP
B cells,3256,2911,9.41401488388561e-05,0.00010610574659577014,JRP122,RA,FN
CD4 T cells,3216,2930,0.00010758874153012126,0.00011201346622444876,JRP122,RA,FN
CD8 T cells,1424,1313,0.00010758874153012126,0.00011523999723490045,JRP122,RA,FN
Dendritic cells,953,846,9.41401488388561e-05,0.00010118237881785192,JRP122,RA,FN
MERTK+ Macrophages,451,406,5.379437076506063e-05,6.69779665560053e-05,JRP122,RA,FN
Macrophages,4757,4547,0.00010758874153012126,0.00010712734270455773,JRP122,RA,FN
Monocytes,10119,9894,0.00013448592691265158,0.0001288476853032552,JRP122,RA,FN
Neutrophils,384,353,0.00010758874153012126,0.00011776090654022833,JRP122,RA,FN
Plasma cells,5695,5279,0.00010758874153012126,0.00011470663658209984,JRP122,RA,FN
T cells,302,282,0.00011431303787575383,9.390169861383366e-05,JRP122,RA,FN
Vascular cells,4936,4784,0.00012103733422138642,0.00011969641057721136,JRP122,RA,FN
B cells,3256,2129,4.034577807379547e-05,5.770450645124811e-05,JRP122,RA,COL1A1bis
CD4 T cells,3216,2112,5.379437076506063e-05,6.440933478794842e-05,JRP122,RA,COL1A1bis
CD8 T cells,1424,900,5.379437076506063e-05,7.118788397909691e-05,JRP122,RA,COL1A1bis
Dendritic cells,953,458,4.034577807379547e-05,5.141590786551373e-05,JRP122,RA,COL1A1bis
MERTK+ Macrophages,451,113,1.3448592691265157e-05,2.2136621598011673e-05,JRP122,RA,COL1A1bis
Macrophages,4757,1604,2.6897185382530314e-05,3.6413490061199864e-05,JRP122,RA,COL1A1bis
Monocytes,10119,6382,5.379437076506063e-05,6.208647547206915e-05,JRP122,RA,COL1A1bis
Neutrophils,384,172,5.379437076506063e-05,7.232528046174576e-05,JRP122,RA,COL1A1bis
Plasma cells,5695,3952,6.724296345632579e-05,7.858851204759047e-05,JRP122,RA,COL1A1bis
T cells,302,63,4.034577807379547e-05,6.276009922590407e-05,JRP122,RA,COL1A1bis
Vascular cells,4936,3526,6.724296345632579e-05,7.596585950990588e-05,JRP122,RA,COL1A1bis
B cells,3256,2953,5.379437076506063e-05,6.400036338989139e-05,JRP122,RA,MFAP5
CD4 T cells,3216,3006,6.724296345632579e-05,7.115316638785132e-05,JRP122,RA,MFAP5
CD8 T cells,1424,1393,8.069155614759094e-05,8.677383424916815e-05,JRP122,RA,MFAP5
Dendritic cells,953,905,8.069155614759094e-05,8.150887393545788e-05,JRP122,RA,MFAP5
MERTK+ Macrophages,451,427,4.034577807379547e-05,5.42038126971132e-05,JRP122,RA,MFAP5
Macrophages,4757,4630,8.069155614759094e-05,8.704986487354763e-05,JRP122,RA,MFAP5
Monocytes,10119,10026,9.41401488388561e-05,9.25385510258329e-05,JRP122,RA,MFAP5
Neutrophils,384,353,9.41401488388561e-05,9.250193499827707e-05,JRP122,RA,MFAP5
Plasma cells,5695,5556,9.41401488388561e-05,9.105636426566104e-05,JRP122,RA,MFAP5
T cells,302,293,0.00010758874153012126,0.00011653917011304517,JRP122,RA,MFAP5
Vascular cells,4936,4917,9.41401488388561e-05,9.753716981151247e-05,JRP122,RA,MFAP5
B cells,7367,7005,0.00010758874153012126,0.00011060675547882488,JRP141,RA,COL6A1
CD4 T cells,19229,18666,0.00013448592691265158,0.00013479933834631172,JRP141,RA,COL6A1
CD8 T cells,9574,9291,0.00014793451960391673,0.0001406941944891058,JRP141,RA,COL6A1
Dendritic cells,29013,27528,0.00012103733422138642,0.00012226210979087937,JRP141,RA,COL6A1
MERTK+ Macrophages,3249,3151,0.00012103733422138642,0.00011843809812205907,JRP141,RA,COL6A1
Macrophages,17433,16953,0.00012103733422138642,0.00012136258184737704,JRP141,RA,COL6A1
Monocytes,33258,33166,0.00016138311229518188,0.00016023759356054932,JRP141,RA,COL6A1
Neutrophils,6360,6046,0.00012103733422138642,0.00011959148816625536,JRP141,RA,COL6A1
Plasma cells,6501,6029,0.00016138311229518188,0.00015368513694644147,JRP141,RA,COL6A1
T cells,3482,3301,9.41401488388561e-05,0.00010443946490172139,JRP141,RA,COL6A1
Vascular cells,4539,4515,0.00014793451960391673,0.00014337421054293623,JRP141,RA,COL6A1
B cells,7367,3032,1.3448592691265157e-05,2.2537038081899164e-05,JRP141,RA,COL4A1
CD4 T cells,19229,11550,2.6897185382530314e-05,2.6232324220044393e-05,JRP141,RA,COL4A1
CD8 T cells,9574,5646,2.6897185382530314e-05,2.6816198462320785e-05,JRP141,RA,COL4A1
Dendritic cells,29013,11924,1.3448592691265157e-05,2.3932043636024438e-05,JRP141,RA,COL4A1
MERTK+ Macrophages,3249,564,1.3448592691265157e-05,2.0840549666960545e-05,JRP141,RA,COL4A1
Macrophages,17433,4409,1.3448592691265157e-05,2.1690392975184065e-05,JRP141,RA,COL4A1
Monocytes,33258,15589,1.3448592691265157e-05,2.3616346457334253e-05,JRP141,RA,COL4A1
Neutrophils,6360,2593,1.3448592691265157e-05,2.4765534169221413e-05,JRP141,RA,COL4A1
Plasma cells,6501,3570,1.3448592691265157e-05,2.257253988965289e-05,JRP141,RA,COL4A1
T cells,3482,1295,2.6897185382530314e-05,3.1778141803298365e-05,JRP141,RA,COL4A1
Vascular cells,4539,4344,2.6897185382530314e-05,3.3414056380484546e-05,JRP141,RA,COL4A1
B cells,7367,7276,0.00012103733422138642,0.00012583010509115697,JRP141,RA,CHP
CD4 T cells,19229,19018,9.41401488388561e-05,9.455312486849638e-05,JRP141,RA,CHP
CD8 T cells,9574,9500,9.41401488388561e-05,9.789301402038704e-05,JRP141,RA,CHP
Dendritic cells,29013,28392,8.069155614759094e-05,8.820783780527605e-05,JRP141,RA,CHP
MERTK+ Macrophages,3249,3159,8.069155614759094e-05,8.108322139849198e-05,JRP141,RA,CHP
Macrophages,17433,16880,8.069155614759094e-05,8.187149487838263e-05,JRP141,RA,CHP
Monocytes,33258,33069,9.41401488388561e-05,0.00010163815916420176,JRP141,RA,CHP
Neutrophils,6360,6112,8.069155614759094e-05,8.082797839020521e-05,JRP141,RA,CHP
Plasma cells,6501,6493,0.00010758874153012126,0.00011010944649011968,JRP141,RA,CHP
T cells,3482,3355,6.724296345632579e-05,7.30312698188256e-05,JRP141,RA,CHP
Vascular cells,4539,4491,8.069155614759094e-05,8.222477357309256e-05,JRP141,RA,CHP
B cells,7367,6169,8.069155614759094e-05,8.915006476197071e-05,JRP141,RA,FN
CD4 T cells,19229,18365,9.41401488388561e-05,0.0001013019912848443,JRP141,RA,FN
CD8 T cells,9574,9295,0.00010758874153012126,0.00011092376101945598,JRP141,RA,FN
Dendritic cells,29013,28046,0.00010758874153012126,0.00010660812496969778,JRP141,RA,FN
MERTK+ Macrophages,3249,3167,9.41401488388561e-05,9.983042803250791e-05,JRP141,RA,FN
Macrophages,17433,17146,0.00010758874153012126,0.0001124666604585581,JRP141,RA,FN
Monocytes,33258,32958,0.00013448592691265158,0.00013639398017511762,JRP141,RA,FN
Neutrophils,6360,6168,9.41401488388561e-05,0.00010179982882011655,JRP141,RA,FN
