phenotype,fiber_type,n_RA,n_OA,mean_RA,mean_OA,RA_minus_OA,p_value_mannwhitney
B cells,FN,3,3,0.00012813727711674436,8.353185560618667e-05,4.460542151055768e-05,0.4
Neutrophils,COL6A1,3,3,0.00013267779755944147,8.836683612216326e-05,4.431096143727821e-05,0.1
Macrophages,COL1A1bis,3,3,7.291234228907954e-05,2.9865221094074502e-05,4.304712119500504e-05,0.1
Monocytes,COL1A1bis,3,3,9.235802260930657e-05,5.291376687151297e-05,3.94442557377936e-05,0.2
Neutrophils,FN,3,3,0.00013492342368007272,9.762465733360946e-05,3.7298766346463265e-05,0.2
Neutrophils,COL1A1bis,3,3,9.210366030662715e-05,5.66054428537232e-05,3.549821745290395e-05,0.1
Vascular cells,COL1A1bis,3,3,9.882511174959389e-05,6.433935024798661e-05,3.4485761501607275e-05,0.1
Macrophages,FN,3,3,0.00011960027710310509,8.629023525892421e-05,3.3310041844180876e-05,0.2
Monocytes,COL6A1,3,3,0.00014216389665573696,0.00010897244359547842,3.319145306025854e-05,0.1
Dendritic cells,FN,3,3,0.0001278661710478662,9.536158028481599e-05,3.25045907630502e-05,1.0
CD8 T cells,FN,3,3,0.00013787976007886794,0.00010583944991048527,3.2040310168382675e-05,0.7
T cells,FN,3,3,0.00011139025430583406,8.084546158433598e-05,3.0544792721498074e-05,0.4
CD4 T cells,FN,3,3,0.00012654293581698908,9.616472350763947e-05,3.037821230934961e-05,0.7
T cells,COL1A1bis,3,3,8.397085261608275e-05,5.393612145518942e-05,3.0034731160893336e-05,0.2
MERTK+ Macrophages,FN,3,3,0.00011586549409611141,8.592720749827736e-05,2.9938286597834058e-05,0.7
B cells,COL6A1,3,3,0.00012599118290161683,9.689699338252827e-05,2.9094189519088563e-05,0.7
MERTK+ Macrophages,COL1A1bis,3,3,7.228508939964902e-05,4.3748157079448876e-05,2.8536932320200147e-05,0.7
Macrophages,COL6A1,3,3,0.00011964041132219453,9.171982964975941e-05,2.7920581672435116e-05,0.1
T cells,COL6A1,3,3,0.00011974492732861415,9.270193719097049e-05,2.7042990137643658e-05,0.2
CD4 T cells,COL1A1bis,3,3,9.454744422696054e-05,6.812796643662325e-05,2.641947779033729e-05,0.4
MERTK+ Macrophages,COL6A1,3,3,0.00011361106997513565,8.734533571533331e-05,2.626573425980234e-05,0.7
Dendritic cells,COL1A1bis,3,3,8.636696111228902e-05,6.036846949045995e-05,2.5998491621829066e-05,0.4
Monocytes,FN,3,3,0.0001398449391495585,0.00011414380641514043,2.5701132734418065e-05,0.2
CD8 T cells,COL1A1bis,3,3,9.75958631972619e-05,7.311339868967646e-05,2.4482464507585432e-05,0.4
