imageid,pathology,phenotype,COL6A1_zone,n_cells,fraction
JRP112,RA,B cells,COL6A1-poor,219,0.5093023255813953
JRP112,RA,B cells,COL6A1-rich,211,0.4906976744186046
JRP112,RA,CD4 T cells,COL6A1-poor,6955,0.5901069064992364
JRP112,RA,CD4 T cells,COL6A1-rich,4831,0.40989309350076364
JRP112,RA,CD8 T cells,COL6A1-poor,1643,0.5687088958116996
JRP112,RA,CD8 T cells,COL6A1-rich,1246,0.43129110418830047
JRP112,RA,Dendritic cells,COL6A1-poor,303,0.5600739371534196
JRP112,RA,Dendritic cells,COL6A1-rich,238,0.4399260628465804
JRP112,RA,MERTK+ Macrophages,COL6A1-poor,1602,0.6056710775047259
JRP112,RA,MERTK+ Macrophages,COL6A1-rich,1043,0.3943289224952741
JRP112,RA,Macrophages,COL6A1-poor,2990,0.6603356890459364
JRP112,RA,Macrophages,COL6A1-rich,1538,0.33966431095406363
JRP112,RA,Monocytes,COL6A1-poor,5134,0.6459486663311524
JRP112,RA,Monocytes,COL6A1-rich,2814,0.3540513336688475
JRP112,RA,Neutrophils,COL6A1-poor,1303,0.5429166666666667
JRP112,RA,Neutrophils,COL6A1-rich,1097,0.45708333333333334
JRP112,RA,Plasma cells,COL6A1-poor,549,0.6686967113276492
JRP112,RA,Plasma cells,COL6A1-rich,272,0.3313032886723508
JRP112,RA,T cells,COL6A1-poor,1594,0.6355661881977671
JRP112,RA,T cells,COL6A1-rich,914,0.36443381180223283
JRP112,RA,Vascular cells,COL6A1-poor,3005,0.6528351075385618
JRP112,RA,Vascular cells,COL6A1-rich,1598,0.34716489246143817
JRP122,RA,B cells,COL6A1-poor,2154,0.6735459662288931
JRP122,RA,B cells,COL6A1-rich,1044,0.32645403377110693
JRP122,RA,CD4 T cells,COL6A1-poor,2131,0.6678157317455343
JRP122,RA,CD4 T cells,COL6A1-rich,1060,0.3321842682544657
JRP122,RA,CD8 T cells,COL6A1-poor,830,0.5853314527503526
JRP122,RA,CD8 T cells,COL6A1-rich,588,0.4146685472496474
JRP122,RA,Dendritic cells,COL6A1-poor,594,0.678082191780822
JRP122,RA,Dendritic cells,COL6A1-rich,282,0.3219178082191781
JRP122,RA,MERTK+ Macrophages,COL6A1-poor,390,0.8843537414965986
JRP122,RA,MERTK+ Macrophages,COL6A1-rich,51,0.11564625850340136
JRP122,RA,Macrophages,COL6A1-poor,3372,0.7211291702309667
JRP122,RA,Macrophages,COL6A1-rich,1304,0.2788708297690334
JRP122,RA,Monocytes,COL6A1-poor,6135,0.6082688875669244
JRP122,RA,Monocytes,COL6A1-rich,3951,0.39173111243307557
JRP122,RA,Neutrophils,COL6A1-poor,236,0.6555555555555556
JRP122,RA,Neutrophils,COL6A1-rich,124,0.34444444444444444
JRP122,RA,Plasma cells,COL6A1-poor,2868,0.5043967639817095
JRP122,RA,Plasma cells,COL6A1-rich,2818,0.49560323601829054
JRP122,RA,T cells,COL6A1-poor,155,0.5719557195571956
JRP122,RA,T cells,COL6A1-rich,116,0.4280442804428044
JRP122,RA,Vascular cells,COL6A1-poor,3400,0.6889564336372846
JRP122,RA,Vascular cells,COL6A1-rich,1535,0.3110435663627153
JRP141,RA,B cells,COL6A1-poor,5637,0.8047109207708779
JRP141,RA,B cells,COL6A1-rich,1368,0.19528907922912206
JRP141,RA,CD4 T cells,COL6A1-poor,13070,0.7002035786992392
JRP141,RA,CD4 T cells,COL6A1-rich,5596,0.29979642130076073
JRP141,RA,CD8 T cells,COL6A1-poor,6163,0.6633301044021096
