phenotype,COL6A1_zone,n_RA,n_OA,mean_RA,mean_OA,RA_minus_OA,p_value_mannwhitney
CD4 T cells,COL6A1-rich,3,3,975.6217534862167,89.70150945216432,885.9202440340523,0.1
Plasma cells,COL6A1-rich,3,3,383.06106776249044,36.54900698371647,346.51206077877396,0.1
Monocytes,COL6A1-rich,3,3,1279.5067476414952,936.7462754435943,342.76047219790087,0.7
Dendritic cells,COL6A1-rich,3,3,324.6722631498238,52.55439664805416,272.11786650176964,0.1
Macrophages,COL6A1-rich,3,3,565.0154644495992,296.09270172562606,268.92276272397316,0.1
CD8 T cells,COL6A1-rich,3,3,330.24134762338156,64.33886944687767,265.9024781765039,0.1
Neutrophils,COL6A1-rich,3,3,221.07495363407986,37.07940926601266,183.99554436806721,0.2
MERTK+ Macrophages,COL6A1-rich,3,3,192.25065386350323,13.689791931116192,178.56086193238704,0.2
T cells,COL6A1-rich,3,3,152.45157568435528,17.12842484543084,135.32315083892445,0.2
B cells,COL6A1-rich,3,3,226.43513522954729,98.4594048778585,127.97573035168878,0.4
CD4 T cells,COL6A1-poor,3,3,92.45911462804708,16.860954140042267,75.59816048800481,0.1
Vascular cells,COL6A1-rich,3,3,520.9460350010786,456.7898915124392,64.15614348863937,0.7
Dendritic cells,COL6A1-poor,3,3,50.724296259801726,11.336501451567253,39.387794808234474,0.4
B cells,COL6A1-poor,3,3,45.40729368008226,10.85002611792555,34.55726756215671,0.4
Plasma cells,COL6A1-poor,3,3,40.28200279546568,7.496837275670907,32.785165519794774,0.4
CD8 T cells,COL6A1-poor,3,3,28.28650261869828,14.276886984756743,14.009615633941536,0.4
T cells,COL6A1-poor,3,3,24.048094185655334,11.003782560915937,13.044311624739397,0.2
MERTK+ Macrophages,COL6A1-poor,3,3,18.34659522687238,10.242498358616373,8.104096868256008,0.7
Neutrophils,COL6A1-poor,3,3,14.313588615502391,31.196154048535334,-16.882565433032944,0.4
Macrophages,COL6A1-poor,3,3,94.72250338551613,155.12780494549335,-60.40530155997722,0.4
Vascular cells,COL6A1-poor,3,3,58.32999859049292,127.95074414297295,-69.62074555248003,0.2
Monocytes,COL6A1-poor,3,3,134.02590237793893,405.60729975927893,-271.58139738134,0.4
