imageid,pathology,COL6A1_region,fiber_type,feature,morans_i
JRP112,RA,COL6A1-rich,COL6A1,alignment_score,0.2826729172796056
JRP112,RA,COL6A1-rich,COL6A1,area,-0.04715537906483339
JRP112,RA,COL6A1-rich,COL6A1,major_axis_length,-0.05190226453077169
JRP112,RA,COL6A1-rich,COL6A1,minor_axis_length,-0.05428694174407307
JRP112,RA,COL6A1-rich,COL6A1,eccentricity,0.06270329765945103
JRP112,RA,COL6A1-rich,COL4A1,alignment_score,
JRP112,RA,COL6A1-rich,COL4A1,area,
JRP112,RA,COL6A1-rich,COL4A1,major_axis_length,
JRP112,RA,COL6A1-rich,COL4A1,minor_axis_length,
JRP112,RA,COL6A1-rich,COL4A1,eccentricity,
JRP112,RA,COL6A1-rich,CHP,alignment_score,-0.1428571428571429
JRP112,RA,COL6A1-rich,CHP,area,-0.0990667489368774
JRP112,RA,COL6A1-rich,CHP,major_axis_length,-0.06722305200916552
JRP112,RA,COL6A1-rich,CHP,minor_axis_length,-0.1121068997685344
JRP112,RA,COL6A1-rich,CHP,eccentricity,-0.11595524486423414
JRP112,RA,COL6A1-rich,FN,alignment_score,-0.1189158781524779
JRP112,RA,COL6A1-rich,FN,area,-0.10279774448287474
JRP112,RA,COL6A1-rich,FN,major_axis_length,-0.08748970279204323
JRP112,RA,COL6A1-rich,FN,minor_axis_length,-0.10183246189509133
JRP112,RA,COL6A1-rich,FN,eccentricity,0.04855809234110652
JRP112,RA,COL6A1-rich,COL1A1bis,alignment_score,-0.11786566900622854
JRP112,RA,COL6A1-rich,COL1A1bis,area,-0.09529480669417993
JRP112,RA,COL6A1-rich,COL1A1bis,major_axis_length,-0.12489604075327396
JRP112,RA,COL6A1-rich,COL1A1bis,minor_axis_length,-0.09170463365097262
JRP112,RA,COL6A1-rich,COL1A1bis,eccentricity,-0.007939162967595878
JRP112,RA,COL6A1-rich,MFAP5,alignment_score,
JRP112,RA,COL6A1-rich,MFAP5,area,
JRP112,RA,COL6A1-rich,MFAP5,major_axis_length,
JRP112,RA,COL6A1-rich,MFAP5,minor_axis_length,
JRP112,RA,COL6A1-rich,MFAP5,eccentricity,
JRP112,RA,COL6A1-poor,COL6A1,alignment_score,0.4450400043476489
JRP112,RA,COL6A1-poor,COL6A1,area,-0.015671268784607444
JRP112,RA,COL6A1-poor,COL6A1,major_axis_length,-0.0165513962449329
JRP112,RA,COL6A1-poor,COL6A1,minor_axis_length,-0.024526469092853255
JRP112,RA,COL6A1-poor,COL6A1,eccentricity,0.025934352607053422
JRP112,RA,COL6A1-poor,COL4A1,alignment_score,0.22867919656046856
JRP112,RA,COL6A1-poor,COL4A1,area,0.07785642168763098
JRP112,RA,COL6A1-poor,COL4A1,major_axis_length,0.04088963108586957
JRP112,RA,COL6A1-poor,COL4A1,minor_axis_length,0.07496442190874403
JRP112,RA,COL6A1-poor,COL4A1,eccentricity,0.09633168818273986
JRP112,RA,COL6A1-poor,CHP,alignment_score,0.3675238598780032
JRP112,RA,COL6A1-poor,CHP,area,-0.008606860913449204
JRP112,RA,COL6A1-poor,CHP,major_axis_length,-0.00479181531267174
JRP112,RA,COL6A1-poor,CHP,minor_axis_length,0.01385619446639445
JRP112,RA,COL6A1-poor,CHP,eccentricity,0.07176615388002462
JRP112,RA,COL6A1-poor,FN,alignment_score,0.4798796615157487
JRP112,RA,COL6A1-poor,FN,area,-0.018980888966665072
JRP112,RA,COL6A1-poor,FN,major_axis_length,-0.021756829251557374
JRP112,RA,COL6A1-poor,FN,minor_axis_length,-0.016453935256477058
JRP112,RA,COL6A1-poor,FN,eccentricity,0.015225414929767138
JRP112,RA,COL6A1-poor,COL1A1bis,alignment_score,0.3720376871379346
JRP112,RA,COL6A1-poor,COL1A1bis,area,0.0022063718287101556
JRP112,RA,COL6A1-poor,COL1A1bis,major_axis_length,0.020968628097147765
JRP112,RA,COL6A1-poor,COL1A1bis,minor_axis_length,0.016087367143285652
JRP112,RA,COL6A1-poor,COL1A1bis,eccentricity,0.027795995407836355
JRP112,RA,COL6A1-poor,MFAP5,alignment_score,0.4259635620695776
JRP112,RA,COL6A1-poor,MFAP5,area,0.003760108464543667
JRP112,RA,COL6A1-poor,MFAP5,major_axis_length,0.01642922592418612
JRP112,RA,COL6A1-poor,MFAP5,minor_axis_length,0.021610979836846733
JRP112,RA,COL6A1-poor,MFAP5,eccentricity,-0.002896001637742462
JRP122,RA,COL6A1-rich,COL6A1,alignment_score,0.2790219752616738
JRP122,RA,COL6A1-rich,COL6A1,area,-0.020568763539302284
JRP122,RA,COL6A1-rich,COL6A1,major_axis_length,-0.010909620752186561
JRP122,RA,COL6A1-rich,COL6A1,minor_axis_length,-0.0371695372967306
JRP122,RA,COL6A1-rich,COL6A1,eccentricity,0.0025613536773734812
JRP122,RA,COL6A1-rich,COL4A1,alignment_score,0.02952118943391983
JRP122,RA,COL6A1-rich,COL4A1,area,-0.06183517680127492
JRP122,RA,COL6A1-rich,COL4A1,major_axis_length,-0.004852074346822354
JRP122,RA,COL6A1-rich,COL4A1,minor_axis_length,-0.10867781481388737
JRP122,RA,COL6A1-rich,COL4A1,eccentricity,0.11482609464151894
