imageid,pathology,fiber_type,feature,morans_i
JRP112,RA,COL6A1,alignment_score,0.4402476765708463
JRP112,RA,COL6A1,area,-0.004976525928274037
JRP112,RA,COL6A1,major_axis_length,0.003504164735650837
JRP112,RA,COL6A1,minor_axis_length,-0.008184281330359542
JRP112,RA,COL6A1,eccentricity,0.033335713439466036
JRP112,RA,COL4A1,alignment_score,0.5746785649417431
JRP112,RA,COL4A1,area,0.056917497946880696
JRP112,RA,COL4A1,major_axis_length,0.08231704704675101
JRP112,RA,COL4A1,minor_axis_length,0.1094598798448451
JRP112,RA,COL4A1,eccentricity,0.13495407820146343
JRP112,RA,CHP,alignment_score,0.4580204387921729
JRP112,RA,CHP,area,-0.0027767355023930727
JRP112,RA,CHP,major_axis_length,-0.007458573032480299
JRP112,RA,CHP,minor_axis_length,-0.0068095666089813675
JRP112,RA,CHP,eccentricity,0.05234946220546035
JRP112,RA,FN,alignment_score,0.40280885639203756
JRP112,RA,FN,area,-0.0011606428684676048
JRP112,RA,FN,major_axis_length,-0.004591510086144103
JRP112,RA,FN,minor_axis_length,-0.0018673316045370032
JRP112,RA,FN,eccentricity,0.02343329089059861
JRP112,RA,COL1A1bis,alignment_score,0.4493482485928202
JRP112,RA,COL1A1bis,area,0.004717912638770811
JRP112,RA,COL1A1bis,major_axis_length,0.022564353365433155
JRP112,RA,COL1A1bis,minor_axis_length,0.008994780962158428
JRP112,RA,COL1A1bis,eccentricity,0.03526060419314929
JRP112,RA,MFAP5,alignment_score,0.5347322695170448
JRP112,RA,MFAP5,area,0.004495373776384022
JRP112,RA,MFAP5,major_axis_length,0.03221883666153929
JRP112,RA,MFAP5,minor_axis_length,0.016791605277258405
JRP112,RA,MFAP5,eccentricity,0.07074211522327063
JRP122,RA,COL6A1,alignment_score,0.35223311014237135
JRP122,RA,COL6A1,area,0.011314202427996283
JRP122,RA,COL6A1,major_axis_length,0.015285617349634637
JRP122,RA,COL6A1,minor_axis_length,0.009881460827767249
JRP122,RA,COL6A1,eccentricity,0.028919304359200006
JRP122,RA,COL4A1,alignment_score,0.40038599038457423
JRP122,RA,COL4A1,area,0.02180856920321104
JRP122,RA,COL4A1,major_axis_length,0.039280590982468666
JRP122,RA,COL4A1,minor_axis_length,0.030517483566244237
JRP122,RA,COL4A1,eccentricity,0.07508016483778553
JRP122,RA,CHP,alignment_score,0.3992448171911808
JRP122,RA,CHP,area,-0.02011369531199211
JRP122,RA,CHP,major_axis_length,-0.013115200888510052
JRP122,RA,CHP,minor_axis_length,-0.025103061859567948
JRP122,RA,CHP,eccentricity,0.02598111942529522
JRP122,RA,FN,alignment_score,0.3079666311809247
JRP122,RA,FN,area,0.01383451135845726
JRP122,RA,FN,major_axis_length,0.009753973881189188
JRP122,RA,FN,minor_axis_length,0.020765916399178824
JRP122,RA,FN,eccentricity,0.030325804761714845
JRP122,RA,COL1A1bis,alignment_score,0.3479473064469524
JRP122,RA,COL1A1bis,area,0.03354929458220845
JRP122,RA,COL1A1bis,major_axis_length,0.0411280055511039
JRP122,RA,COL1A1bis,minor_axis_length,0.04025221296879136
JRP122,RA,COL1A1bis,eccentricity,0.05525767992384048
JRP122,RA,MFAP5,alignment_score,0.38832857678639315
JRP122,RA,MFAP5,area,-0.0022992281482401788
JRP122,RA,MFAP5,major_axis_length,-0.007966629234886915
JRP122,RA,MFAP5,minor_axis_length,-0.0009697070910155422
JRP122,RA,MFAP5,eccentricity,0.014015084180844451
JRP141,RA,COL6A1,alignment_score,0.33860656523455274
JRP141,RA,COL6A1,area,0.008758780344483788
JRP141,RA,COL6A1,major_axis_length,0.002489184785993001
JRP141,RA,COL6A1,minor_axis_length,0.021138056349620484
JRP141,RA,COL6A1,eccentricity,0.03812646852441591
JRP141,RA,COL4A1,alignment_score,0.421314466951929
JRP141,RA,COL4A1,area,0.032318924243502786
JRP141,RA,COL4A1,major_axis_length,0.03986543512547599
JRP141,RA,COL4A1,minor_axis_length,0.07923205862070788
JRP141,RA,COL4A1,eccentricity,0.08702395251811057
JRP141,RA,CHP,alignment_score,0.3919911457321812
JRP141,RA,CHP,area,-0.01362452076083758
JRP141,RA,CHP,major_axis_length,-0.02842571418939701
JRP141,RA,CHP,minor_axis_length,-0.027196714467524162
JRP141,RA,CHP,eccentricity,0.02572241649293878
JRP141,RA,FN,alignment_score,0.34535042270258215
JRP141,RA,FN,area,-0.0031997809113270756
JRP141,RA,FN,major_axis_length,-0.011836114841075294
JRP141,RA,FN,minor_axis_length,0.0032446788292446243
JRP141,RA,FN,eccentricity,0.03427962464552235
JRP141,RA,COL1A1bis,alignment_score,0.36634780358201735
JRP141,RA,COL1A1bis,area,0.01601898492659205
JRP141,RA,COL1A1bis,major_axis_length,0.026350595126124293
JRP141,RA,COL1A1bis,minor_axis_length,0.033650762570134926
JRP141,RA,COL1A1bis,eccentricity,0.05084033282662583
JRP141,RA,MFAP5,alignment_score,0.4393181059588379
JRP141,RA,MFAP5,area,0.01820931665966822
JRP141,RA,MFAP5,major_axis_length,0.015140152526910103
JRP141,RA,MFAP5,minor_axis_length,0.03944595099545996
JRP141,RA,MFAP5,eccentricity,0.04513968663309891
JRP144,OA,COL6A1,alignment_score,0.3339491208287639
JRP144,OA,COL6A1,area,-0.003960532610804208
JRP144,OA,COL6A1,major_axis_length,-0.006951795322125901
JRP144,OA,COL6A1,minor_axis_length,-0.004382573954786506
JRP144,OA,COL6A1,eccentricity,0.01318859048050559
JRP144,OA,COL4A1,alignment_score,0.2880153559189752
JRP144,OA,COL4A1,area,0.03147835135057516
JRP144,OA,COL4A1,major_axis_length,0.02418154320475625
JRP144,OA,COL4A1,minor_axis_length,0.05386273980407486
JRP144,OA,COL4A1,eccentricity,0.04330819922009888
JRP144,OA,CHP,alignment_score,0.34757356318311783
JRP144,OA,CHP,area,-0.021422316442073496
JRP144,OA,CHP,major_axis_length,-0.03169273057929403
JRP144,OA,CHP,minor_axis_length,-0.03373867561845216
JRP144,OA,CHP,eccentricity,0.012425946833010107
JRP144,OA,FN,alignment_score,0.2835576175547682
JRP144,OA,FN,area,0.013804494989513635
JRP144,OA,FN,major_axis_length,0.009795177668653987
JRP144,OA,FN,minor_axis_length,0.026875815887322147
JRP144,OA,FN,eccentricity,0.040704306207857206
JRP144,OA,COL1A1bis,alignment_score,0.2890136640978344
JRP144,OA,COL1A1bis,area,-0.005532886977457984
JRP144,OA,COL1A1bis,major_axis_length,0.003782075860263519
JRP144,OA,COL1A1bis,minor_axis_length,-0.003506216719697012
JRP144,OA,COL1A1bis,eccentricity,0.03855999595290833
JRP144,OA,MFAP5,alignment_score,0.35504187140875904
JRP144,OA,MFAP5,area,-0.006799744761820653
JRP144,OA,MFAP5,major_axis_length,-0.016045540925501874
JRP144,OA,MFAP5,minor_axis_length,-0.013447506556132183
JRP144,OA,MFAP5,eccentricity,0.013721006495540908
S00292623,OA,COL6A1,alignment_score,0.33054251929381295
S00292623,OA,COL6A1,area,-0.0011632211553499385
S00292623,OA,COL6A1,major_axis_length,-0.01607169046047057
S00292623,OA,COL6A1,minor_axis_length,-0.014769431510449014
S00292623,OA,COL6A1,eccentricity,0.016470389533732786
S00292623,OA,COL4A1,alignment_score,0.36181904115507507
S00292623,OA,COL4A1,area,0.0026248487168557995
S00292623,OA,COL4A1,major_axis_length,0.01890850443502336
S00292623,OA,COL4A1,minor_axis_length,0.007697015679626638
S00292623,OA,COL4A1,eccentricity,0.042269077681393666
S00292623,OA,CHP,alignment_score,0.3550057166123821
S00292623,OA,CHP,area,-0.012767856685098378
S00292623,OA,CHP,major_axis_length,-0.012028178994526479
S00292623,OA,CHP,minor_axis_length,-0.021806061383959872
S00292623,OA,CHP,eccentricity,0.01736145035181823
S00292623,OA,FN,alignment_score,0.30379746891478826
S00292623,OA,FN,area,0.008994676653839904
S00292623,OA,FN,major_axis_length,0.0010252530051014978
S00292623,OA,FN,minor_axis_length,0.01782727061387696
S00292623,OA,FN,eccentricity,0.0381197889466326
S00292623,OA,COL1A1bis,alignment_score,0.37749203971131906
S00292623,OA,COL1A1bis,area,0.008310053338753804
S00292623,OA,COL1A1bis,major_axis_length,0.040119438747759625
S00292623,OA,COL1A1bis,minor_axis_length,0.020651557302878282
S00292623,OA,COL1A1bis,eccentricity,0.05762137117296509
