near_COL4A1_rich_50um,n_fibers,mean_signal,median_signal,imageid,pathology,phenotype
False,5863,4.293274505259088,2.9249922113310785,JRP112,RA,MERTK+ Macrophages
True,2190,4.161392153464005,2.962689968842101,JRP112,RA,MERTK+ Macrophages
False,5863,4.8969379342494115,3.0203963279549217,JRP112,RA,T cells
True,2190,3.695631952980396,1.2365411827237156,JRP112,RA,T cells
False,5863,9.985182944840288,5.516658164291646,JRP112,RA,CD4 T cells
True,2190,9.923729718106593,7.507250067351025,JRP112,RA,CD4 T cells
False,5863,3.352237980219226,2.078509231121002,JRP112,RA,CD8 T cells
True,2190,3.148009419880888,2.125151357892398,JRP112,RA,CD8 T cells
False,5863,4.608990453418725,3.2091141981755116,JRP112,RA,Vascular cells
True,2190,6.989642015684742,6.109788583765611,JRP112,RA,Vascular cells
False,8524,1.457748461495022,0.781111611883912,JRP122,RA,MERTK+ Macrophages
True,2090,0.7399093483822626,0.5245002752452315,JRP122,RA,MERTK+ Macrophages
False,8524,2.4387888582894828,0.6637667358941002,JRP122,RA,T cells
True,2090,0.9360958462351866,0.6054901068120844,JRP122,RA,T cells
False,8524,2.7398231702798133,0.9668330742773182,JRP122,RA,CD4 T cells
True,2090,3.843381571900938,1.228675011198125,JRP122,RA,CD4 T cells
False,8524,1.3615350976584892,0.9034277733908351,JRP122,RA,CD8 T cells
True,2090,1.791581327342979,1.0629119479102198,JRP122,RA,CD8 T cells
False,8524,2.8056079995954812,1.6508772255278665,JRP122,RA,Vascular cells
True,2090,4.977458438973048,3.9758478370514707,JRP122,RA,Vascular cells
False,30996,1.9459737016681014,0.9828230549930017,JRP141,RA,MERTK+ Macrophages
True,5716,1.1247455376048956,0.7098652815962792,JRP141,RA,MERTK+ Macrophages
False,30996,1.6080094353808843,0.8847479628005182,JRP141,RA,T cells
True,5716,1.5657153719315,0.7414098846263564,JRP141,RA,T cells
False,30996,3.8169460508207202,1.7295906927300222,JRP141,RA,CD4 T cells
True,5716,7.4616497083137245,4.456393995820154,JRP141,RA,CD4 T cells
False,30996,2.312844375491707,1.364035744577828,JRP141,RA,CD8 T cells
True,5716,3.6496611502410516,2.469777483860315,JRP141,RA,CD8 T cells
False,30996,1.8191744185739365,0.9999385000762306,JRP141,RA,Vascular cells
True,5716,3.2080326393162206,2.017094108613003,JRP141,RA,Vascular cells
False,14764,2.2013733087912337,1.1239176388623375,JRP144,OA,MERTK+ Macrophages
True,3034,1.4280894724813313,0.7937839020894317,JRP144,OA,MERTK+ Macrophages
False,14764,1.3263181341114518,0.7086489034145312,JRP144,OA,T cells
True,3034,4.965317426121593,1.35619118192354,JRP144,OA,T cells
False,14764,1.1868319775781075,0.7046852571243638,JRP144,OA,CD4 T cells
True,3034,1.9180749609259191,1.062645152056208,JRP144,OA,CD4 T cells
False,14764,0.9656042157163026,0.6463760150996359,JRP144,OA,CD8 T cells
True,3034,1.381725411621612,0.8075047688373855,JRP144,OA,CD8 T cells
False,14764,2.8112885228439923,1.8267208977304623,JRP144,OA,Vascular cells
True,3034,4.112014662696265,3.204779447964895,JRP144,OA,Vascular cells
False,26787,0.45985350340143505,0.3548528858618886,S00292623,OA,MERTK+ Macrophages
True,8844,0.6249311690778719,0.5905424777600378,S00292623,OA,MERTK+ Macrophages
False,26787,0.7948084703708583,0.5841927054538303,S00292623,OA,T cells
True,8844,0.9908564915848358,0.6587268397523032,S00292623,OA,T cells
False,26787,1.778535974378601,0.7722039684604725,S00292623,OA,CD4 T cells
True,8844,2.260003756663836,1.112253639369773,S00292623,OA,CD4 T cells
False,26787,1.5379661722764382,0.7880814723128279,S00292623,OA,CD8 T cells
True,8844,2.261933951190678,1.1037876782044285,S00292623,OA,CD8 T cells
False,26787,2.351076687753725,1.5410780963063164,S00292623,OA,Vascular cells
True,8844,3.371413504647552,2.4737561049716223,S00292623,OA,Vascular cells
False,22935,0.7426587394876614,0.6166611434427764,S00293087,OA,MERTK+ Macrophages
True,5376,1.1638428392784872,1.0262725533901929,S00293087,OA,MERTK+ Macrophages
False,22935,1.4452136813749452,0.6507028648837129,S00293087,OA,T cells
True,5376,1.3435513365130438,0.7424856880961254,S00293087,OA,T cells
False,22935,0.9963271106231448,0.6401968515534828,S00293087,OA,CD4 T cells
True,5376,1.0203624476167967,0.6858860604213864,S00293087,OA,CD4 T cells
False,22935,0.9468141495363097,0.638772482781496,S00293087,OA,CD8 T cells
True,5376,1.1195270426860948,0.754558329321276,S00293087,OA,CD8 T cells
False,22935,2.8036535256239477,1.9027966934976033,S00293087,OA,Vascular cells
True,5376,4.795890990884319,3.7237046683184816,S00293087,OA,Vascular cells
