imageid,pathology,phenotype,fiber_type,feature_fiber,cross_morans_i
JRP112,RA,MERTK+ Macrophages,COL6A1,COL4A1_rich_density_near_COL6A1,-0.03804688266503649
JRP112,RA,MERTK+ Macrophages,COL6A1,alignment_score,-0.05848604867163052
JRP112,RA,MERTK+ Macrophages,COL6A1,area,0.005852014175519037
JRP112,RA,T cells,COL6A1,COL4A1_rich_density_near_COL6A1,-0.1459535503952334
JRP112,RA,T cells,COL6A1,alignment_score,0.19611664030679526
JRP112,RA,T cells,COL6A1,area,0.02993746264806834
JRP112,RA,CD4 T cells,COL6A1,COL4A1_rich_density_near_COL6A1,0.014770921046119748
JRP112,RA,CD4 T cells,COL6A1,alignment_score,0.024422103317862126
JRP112,RA,CD4 T cells,COL6A1,area,-0.012166093309505455
JRP112,RA,CD8 T cells,COL6A1,COL4A1_rich_density_near_COL6A1,-0.0037462029466668744
JRP112,RA,CD8 T cells,COL6A1,alignment_score,0.05991042675581001
JRP112,RA,CD8 T cells,COL6A1,area,0.01678677645987246
JRP112,RA,Vascular cells,COL6A1,COL4A1_rich_density_near_COL6A1,0.16996409429925433
JRP112,RA,Vascular cells,COL6A1,alignment_score,-0.15484612886661622
JRP112,RA,Vascular cells,COL6A1,area,0.005750627499904087
JRP122,RA,MERTK+ Macrophages,COL6A1,COL4A1_rich_density_near_COL6A1,-0.051677219217550904
JRP122,RA,MERTK+ Macrophages,COL6A1,alignment_score,0.007880760353856252
JRP122,RA,MERTK+ Macrophages,COL6A1,area,-0.014975368172895643
JRP122,RA,T cells,COL6A1,COL4A1_rich_density_near_COL6A1,-0.02516936696706681
JRP122,RA,T cells,COL6A1,alignment_score,0.005739729249336188
JRP122,RA,T cells,COL6A1,area,-0.004953164832180576
JRP122,RA,CD4 T cells,COL6A1,COL4A1_rich_density_near_COL6A1,0.07703407945980412
JRP122,RA,CD4 T cells,COL6A1,alignment_score,-0.03543681613658741
JRP122,RA,CD4 T cells,COL6A1,area,-0.004625728412150636
JRP122,RA,CD8 T cells,COL6A1,COL4A1_rich_density_near_COL6A1,0.08051998037614766
JRP122,RA,CD8 T cells,COL6A1,alignment_score,-0.01942898841254913
JRP122,RA,CD8 T cells,COL6A1,area,-0.009559501957000317
JRP122,RA,Vascular cells,COL6A1,COL4A1_rich_density_near_COL6A1,0.3276764958652538
JRP122,RA,Vascular cells,COL6A1,alignment_score,0.025110994304282108
JRP122,RA,Vascular cells,COL6A1,area,0.04227709887604166
