COL6A1_region,fiber_type,feature,n_RA,n_OA,mean_RA,mean_OA,RA_minus_OA,p_value_mannwhitney
COL6A1-rich,MFAP5,alignment_score,2,3,0.2665328677027184,0.13308190643352574,0.13345096126919265,0.4
COL6A1-rich,COL6A1,alignment_score,3,3,0.29293181623773307,0.1956823417499346,0.09724947448779847,0.1
COL6A1-poor,MFAP5,alignment_score,3,3,0.40087763796041,0.3251653946314544,0.0757122433289556,0.1
COL6A1-poor,FN,alignment_score,3,3,0.3674450415695807,0.30450694716294285,0.06293809440663783,0.7
COL6A1-poor,COL6A1,alignment_score,3,3,0.3740588653755638,0.3207591382498343,0.0532997271257295,0.1
COL6A1-rich,FN,eccentricity,3,3,0.04318011852955037,-0.006663572766925909,0.049843691296476283,0.7
COL6A1-poor,COL4A1,area,3,3,0.0664298196229954,0.017295472308375314,0.04913434731462009,0.4
COL6A1-poor,COL4A1,minor_axis_length,3,3,0.07268093522357368,0.023636808330993648,0.04904412689258003,0.7
COL6A1-rich,MFAP5,area,2,3,0.010079321031707184,-0.028087553152450973,0.03816687418415816,1.0
COL6A1-rich,MFAP5,minor_axis_length,2,3,0.0067699979915429725,-0.02609938049328264,0.032869378484825615,0.8
COL6A1-poor,COL1A1bis,alignment_score,3,3,0.3414935344296673,0.30978983471573973,0.03170369971392756,0.4
COL6A1-poor,MFAP5,minor_axis_length,3,3,0.018817125837912348,-0.012280354802609405,0.03109748064052175,0.1
COL6A1-poor,CHP,alignment_score,3,3,0.3616300432949062,0.33129186608415434,0.030338177210751882,0.4
COL6A1-poor,COL1A1bis,minor_axis_length,3,3,0.026582491423844945,-0.0017680181944886662,0.02835050961833361,0.1
COL6A1-poor,COL4A1,major_axis_length,3,3,0.048067453364079825,0.019992488977440125,0.0280749643866397,0.2
COL6A1-rich,MFAP5,major_axis_length,2,3,-0.006131889114292206,-0.030762387129046876,0.02463049801475467,1.0
COL6A1-poor,MFAP5,major_axis_length,3,3,0.008834712930443874,-0.015711436918405403,0.02454614984884928,0.1
COL6A1-poor,COL6A1,minor_axis_length,3,3,0.008916164226983046,-0.014653901709694606,0.023570065936677653,0.4
COL6A1-poor,CHP,eccentricity,3,3,0.0428887176834325,0.019669338465965584,0.023219379217466914,0.4
COL6A1-poor,COL1A1bis,area,3,3,0.01602953145217439,-0.003310747615771407,0.019340279067945797,0.1
COL6A1-rich,COL6A1,eccentricity,3,3,0.028207364342636876,0.00894371728028503,0.019263647062351848,0.7
COL6A1-poor,COL1A1bis,major_axis_length,3,3,0.024413986331358866,0.006059325908024663,0.018354660423334203,0.1
COL6A1-poor,COL6A1,major_axis_length,3,3,0.000862321894436287,-0.016475992704576743,0.01733831459901303,0.2
COL6A1-poor,COL6A1,eccentricity,3,3,0.04633972289150978,0.029745406268990138,0.016594316622519645,0.4
COL6A1-poor,MFAP5,area,3,3,0.006861549473273463,-0.009313286308378915,0.016174835781652377,0.2
COL6A1-rich,COL4A1,eccentricity,2,3,-0.10925361934590719,-0.12506176512409664,0.015808145778189453,1.0
COL6A1-poor,COL6A1,area,3,3,0.0003029238835453423,-0.008758995770919957,0.0090619196544653,0.4
COL6A1-rich,COL1A1bis,alignment_score,3,3,0.11442502020067295,0.10743538239191087,0.006989637808762078,1.0
COL6A1-poor,CHP,minor_axis_length,3,3,-0.007222822983770892,-0.01334366157604066,0.006120838592269767,0.7
COL6A1-rich,COL1A1bis,major_axis_length,3,3,-0.0347328371553847,-0.03885870463784803,0.0041258674824633315,1.0
COL6A1-rich,COL1A1bis,area,3,3,-0.009853462764303164,-0.01050885462903343,0.0006553918647302648,1.0
