fiber_type,feature,n_RA,n_OA,mean_RA,mean_OA,RA_minus_OA,p_value_mannwhitney
COL4A1,alignment_score,3,3,0.4654596740927488,0.3140910381732606,0.15136863591948818,0.1
MFAP5,alignment_score,3,3,0.4541263174207586,0.351594261947136,0.1025320554736226,0.1
CHP,alignment_score,3,3,0.416418800571845,0.3409413109977444,0.07547748957410061,0.1
COL1A1bis,alignment_score,3,3,0.3878811195405967,0.3286895419307286,0.059191577609868096,0.4
FN,alignment_score,3,3,0.3520419700918482,0.30006242658634547,0.05197954350550271,0.2
COL6A1,alignment_score,3,3,0.3770291173159235,0.3298182302310407,0.0472108870848828,0.1
COL4A1,eccentricity,3,3,0.09901939851911984,0.0579702685355731,0.04104912998354674,0.4
COL4A1,minor_axis_length,3,3,0.07306980734393241,0.03457341642799939,0.03849639091593302,0.4
COL4A1,major_axis_length,3,3,0.05382102438489855,0.022322552708728956,0.03149847167616959,0.1
MFAP5,minor_axis_length,3,3,0.01842261639390094,-0.011123627095663993,0.02954624348956493,0.1
MFAP5,major_axis_length,3,3,0.013130786651187493,-0.014538718841946748,0.02766950549313424,0.1
MFAP5,eccentricity,3,3,0.043298962012404664,0.018915950970306603,0.02438301104209806,0.4
COL1A1bis,minor_axis_length,3,3,0.027632585500361573,0.006929776041615894,0.02070280945874568,0.2
COL6A1,major_axis_length,3,3,0.007092988957092826,-0.009530197541212907,0.01662318649830573,0.1
COL6A1,minor_axis_length,3,3,0.007611745282342731,-0.008818469615830998,0.01643021489817373,0.4
COL6A1,eccentricity,3,3,0.03346049544102732,0.017481813258296553,0.015978682182730766,0.1
COL1A1bis,area,3,3,0.018095397382523772,0.0025973890571659923,0.01549800832535778,0.4
COL4A1,area,3,3,0.03701499713119818,0.021604396705180075,0.015410600426018103,0.4
CHP,eccentricity,3,3,0.03468433270789812,0.02045342692565689,0.014230905782241229,0.4
MFAP5,area,3,3,0.006801820762604021,-0.005187245514523815,0.011989066277127836,0.1
COL1A1bis,major_axis_length,3,3,0.030014318014220453,0.020124366492076665,0.009889951522143788,0.4
COL6A1,area,3,3,0.005032152281402011,-0.0030774173585509084,0.00810956963995292,0.7
COL1A1bis,eccentricity,3,3,0.047119538981205196,0.04538554677891341,0.0017339922022917842,1.0
CHP,minor_axis_length,3,3,-0.019703114312024494,-0.017055823122322778,-0.0026472911897017157,1.0
CHP,area,3,3,-0.012171650525074254,-0.008964981338907432,-0.003206669186166822,1.0
CHP,major_axis_length,3,3,-0.016333162703462453,-0.010953868923171595,-0.005379293780290858,1.0
FN,eccentricity,3,3,0.029346240099278605,0.04178902064317755,-0.012442780543898944,0.1
FN,major_axis_length,3,3,-0.0022245503486767364,0.0187196946448533,-0.020944244993530037,0.2
FN,minor_axis_length,3,3,0.007381087874628815,0.03574014193472757,-0.028359054060098754,0.2
FN,area,3,3,0.0031580291928875264,0.03253609274833535,-0.029378063555447823,0.4
