phenotype,feature_fiber,n_RA,n_OA,mean_RA,mean_OA,RA_minus_OA,p_value_mannwhitney
T cells,alignment_score,3,3,0.0593509955804912,0.006735114848346147,0.05261588073214506,1.0
T cells,area,3,3,0.012597146279231225,-0.0012809175958833953,0.013878063875114621,0.4
MERTK+ Macrophages,area,3,3,0.0009580449231920163,-0.009189889261565373,0.010147934184757389,0.4
CD8 T cells,area,3,3,0.006961386409628672,-0.003086409055323437,0.01004779546495211,0.7
CD8 T cells,alignment_score,3,3,0.0031419749181051094,-0.00430403681077608,0.007446011728881189,1.0
CD8 T cells,COL4A1_rich_density_near_COL6A1,3,3,0.07621195422920306,0.07205661521870017,0.004155339010502884,1.0
Vascular cells,area,3,3,0.02325838212564234,0.021208211338427558,0.0020501707872147834,1.0
CD4 T cells,area,3,3,-0.010219735610169886,0.001288808049771424,-0.01150854365994131,0.1
MERTK+ Macrophages,alignment_score,3,3,-0.025748030439094117,-0.006022683982147599,-0.019725346456946517,0.7
CD4 T cells,COL4A1_rich_density_near_COL6A1,3,3,0.10055423280126254,0.12139944410903557,-0.02084521130777303,0.7
CD4 T cells,alignment_score,3,3,-0.0215366561712544,0.002714128804844154,-0.024250784976098554,0.7
Vascular cells,alignment_score,3,3,-0.047252758567928654,-0.02255497937158926,-0.024697779196339396,1.0
Vascular cells,COL4A1_rich_density_near_COL6A1,3,3,0.26579348335938807,0.2934223170763947,-0.02762883371700664,1.0
MERTK+ Macrophages,COL4A1_rich_density_near_COL6A1,3,3,-0.054885133831683676,-0.0016900479605132246,-0.05319508587117045,0.1
T cells,COL4A1_rich_density_near_COL6A1,3,3,-0.06274194994402957,0.07330547776270423,-0.13604742770673378,0.1
