phenotype,fiber_type,feature_fiber,n_RA,n_OA,mean_RA,mean_OA,RA_minus_OA,p_value_mannwhitney
Macrophages,CHP,alignment_score,3,3,0.010219793576352124,-0.022700430859586822,0.03292022443593895,1.0
Monocytes,CHP,major_axis_length,3,3,0.017513437700948514,-0.013548971685055559,0.031062409386004075,0.2
Monocytes,CHP,eccentricity,3,3,0.019447459851894295,-0.002504295667736955,0.02195175551963125,0.4
Monocytes,CHP,area,3,3,0.0016909246630387679,-0.019223511265399548,0.020914435928438314,0.2
B cells,COL6A1,eccentricity,3,3,0.020563068518853964,0.0035164095804195734,0.017046658938434392,0.2
CD4 T cells,COL6A1,eccentricity,3,3,0.024931618509211283,0.011586403436897532,0.013345215072313751,0.1
Macrophages,COL6A1,alignment_score,3,3,-0.010170199010051811,-0.022146754999198204,0.011976555989146393,1.0
Macrophages,CHP,area,3,3,-0.014780977707507026,-0.026296865599756147,0.01151588789224912,0.4
Monocytes,COL6A1,alignment_score,3,3,0.026972917952677995,0.01596804400070956,0.011004873951968433,1.0
Monocytes,COL6A1,major_axis_length,3,3,0.02733036040094032,0.01634418734245677,0.01098617305848355,0.7
MERTK+ Macrophages,COL6A1,area,3,3,0.0009580449231920163,-0.009189889261565373,0.010147934184757389,0.4
CD8 T cells,COL6A1,area,3,3,0.006961386409628672,-0.003086409055323437,0.01004779546495211,0.7
CD8 T cells,COL6A1,major_axis_length,3,3,0.0031016560661922686,-0.0047162469149398725,0.00781790298113214,1.0
CD8 T cells,COL6A1,alignment_score,3,3,0.0031419749181051094,-0.00430403681077608,0.007446011728881189,1.0
Macrophages,CHP,major_axis_length,3,3,-0.016828583804051857,-0.023760711595375957,0.0069321277913241,0.7
MERTK+ Macrophages,COL6A1,major_axis_length,3,3,-0.0020341645551356043,-0.007864418883821592,0.005830254328685988,1.0
Monocytes,CHP,alignment_score,3,3,0.03130023339975255,0.02559527666970393,0.005704956730048616,1.0
Macrophages,COL6A1,area,3,3,-0.0024507713353708505,-0.007491660833638103,0.005040889498267252,1.0
Monocytes,COL6A1,area,3,3,0.028452869949859988,0.024250283945285916,0.0042025860045740715,1.0
Macrophages,COL6A1,major_axis_length,3,3,-0.0011825360898442662,-0.00022066693469719711,-0.0009618691551470691,1.0
Vascular cells,COL4A1,eccentricity,3,3,-0.01492967678096276,-0.013686362556703517,-0.0012433142242592437,1.0
Macrophages,CHP,eccentricity,3,3,0.00355045838060024,0.004904771508580694,-0.0013543131279804537,1.0
Macrophages,COL6A1,eccentricity,3,3,0.005090917824700236,0.007628628663621744,-0.0025377108389215072,0.7
CD4 T cells,COL6A1,major_axis_length,3,3,-0.005509370209020807,0.0011744297680616976,-0.006683799977082505,0.4
Monocytes,COL6A1,eccentricity,3,3,-0.0278329055732446,-0.020348985692042094,-0.007483919881202505,1.0
B cells,COL6A1,alignment_score,3,3,-0.0055034720794919076,0.002784515405268862,-0.00828798748476077,0.7
Vascular cells,COL4A1,area,3,3,0.04584165570915013,0.0552558459058641,-0.009414190196713967,0.7
CD4 T cells,COL6A1,area,3,3,-0.010219735610169886,0.001288808049771424,-0.01150854365994131,0.1
B cells,COL6A1,major_axis_length,3,3,-0.01511863950343196,-0.0036060360454876054,-0.011512603457944356,0.2
CD8 T cells,COL6A1,eccentricity,3,3,-0.002979977076416302,0.008714469621474279,-0.011694446697890581,0.7
B cells,COL6A1,area,3,3,-0.015427973483235921,-0.002198430552145924,-0.013229542931089997,0.1
MERTK+ Macrophages,COL6A1,eccentricity,3,3,-0.005942939466528959,0.009114993792446626,-0.015057933258975585,0.2
MERTK+ Macrophages,COL6A1,alignment_score,3,3,-0.025748030439094117,-0.006022683982147599,-0.019725346456946517,0.7
Vascular cells,COL4A1,major_axis_length,3,3,0.02863245696228516,0.05181666544595093,-0.02318420848366577,0.7
CD4 T cells,COL6A1,alignment_score,3,3,-0.0215366561712544,0.002714128804844154,-0.024250784976098554,0.7
Vascular cells,COL4A1,alignment_score,3,3,-0.09269340604483772,-0.015600359793637853,-0.07709304625119986,0.7
