imageid,pathology,fiber_type,n_fibers,x_min,x_max,y_min,y_max
JRP112,RA,CHP,2727,1056.4345637583892,18173.25,666.5137777777778,17707.461904761905
JRP112,RA,COL1A1bis,6085,1166.7121212121212,17915.59519038076,477.9317365269461,17694.026966848094
JRP112,RA,COL4A1,1313,1361.767857142857,17360.32474226804,895.8418410041841,18427.136778115502
JRP112,RA,COL6A1,8053,973.1435206688342,17876.22800925926,519.3026755852843,17759.400921658987
JRP112,RA,FN,7843,941.7520107238606,17967.392319667877,568.9576193590582,18501.80476190476
JRP112,RA,MFAP5,3717,1150.261261261261,17689.714828897337,449.37226277372264,17245.837634408603
JRP122,RA,CHP,6262,1872.2587064676616,12774.769716088327,1148.1012658227849,19736.602119460505
JRP122,RA,COL1A1bis,2683,656.744939271255,12605.301886792451,1287.5924324324324,19589.76777251185
JRP122,RA,COL4A1,904,2110.498452012384,12393.99722479186,1495.174721189591,19518.7556561086
JRP122,RA,COL6A1,10614,496.66906474820144,12868.267857142857,1107.3257848687597,20028.10055865922
JRP122,RA,FN,10765,1848.9932998324955,12848.758585858586,1156.5540223900025,19763.038542396636
JRP122,RA,MFAP5,9030,669.6844444444445,12720.11087248322,1175.851851851852,19754.37323943662
JRP141,RA,CHP,22967,1609.986577181208,50304.635465587045,1675.4,47900.566820276494
JRP141,RA,COL1A1bis,24898,1899.7333333333331,50585.86956521739,1667.0669014084508,47829.41460541814
JRP141,RA,COL4A1,2177,2216.758823529412,49891.42271293375,1724.955298013245,47823.683649289094
JRP141,RA,COL6A1,36712,1139.4806629834254,50354.609652002626,1017.105105105105,48013.38333333333
JRP141,RA,FN,32332,1648.483870967742,50398.09885931559,279.892,49259.0081300813
JRP141,RA,MFAP5,20800,1607.3560209424083,50323.91928251121,286.6341463414634,49257.533707865165
JRP144,OA,CHP,10212,1223.2079772079771,25351.62429906542,1642.4319654427643,35956.445
JRP144,OA,COL1A1bis,5522,1335.741573033708,25104.095693779906,2338.375438596491,35582.990909090906
JRP144,OA,COL4A1,1407,1326.2916666666667,25105.323426573428,2324.9778597785976,34864.24670184697
JRP144,OA,COL6A1,17798,1192.4199584199584,25439.443037974685,1534.0431654676258,36840.71204188481
JRP144,OA,FN,15956,1177.8272727272729,25437.574152542373,426.4497991967871,36875.00438596491
JRP144,OA,MFAP5,12045,1214.9553226696084,25401.343537414967,1699.2718311814522,36891.29007633588
S00292623,OA,CHP,34118,510.49029126213594,25884.139737991267,27.646464646464647,27707.59130094044
S00292623,OA,COL1A1bis,8441,554.7856746252082,25857.380709038647,469.4564315352697,29227.07967032967
S00292623,OA,COL4A1,5171,554.3809756097561,23984.17076923077,513.6016245487365,27611.298113207547
S00292623,OA,COL6A1,35631,433.73943661971833,25883.422222222223,383.36472945891785,29424.274336283182
S00292623,OA,FN,51408,444.78648648648647,25871.733990147783,146.56497175141243,29554.9864498645
S00292623,OA,MFAP5,34117,484.51549145299145,25874.408088235297,464.9300731261426,29538.95253164557
S00293087,OA,CHP,29190,1817.9292929292928,30239.352941176472,404.4932735426009,22221.087818696884
S00293087,OA,COL1A1bis,11649,2107.4277286135693,31231.95367847411,399.5645933014354,21505.355140186915
S00293087,OA,COL4A1,2751,2166.0338589981448,29973.247863247863,690.1264181523501,21336.609507640067
S00293087,OA,COL6A1,28311,793.7106382978724,31284.253246753247,33.56983240223464,21373.958720930234
S00293087,OA,FN,13313,1861.9806451612903,31360.396825396827,398.28054298642536,22234.48905109489
S00293087,OA,MFAP5,21520,1915.02752293578,31364.26112759644,440.2312675070028,21411.372881355932
