imageid,pathology,phenotype,fiber_type,n_links,median_distance_px,mean_distance_px,median_distance_um,mean_distance_um
JRP112,RA,B cells,CHP,2336,104.99179643173079,99.29347768343871,34.12233384031251,32.27038024711758
JRP112,RA,B cells,COL1A1bis,3222,109.52983694880447,103.23086635110252,35.597197008361455,33.55003156410832
JRP112,RA,B cells,COL4A1,829,110.66751581480737,105.57791327861783,35.966942639812395,34.3128218155508
JRP112,RA,B cells,COL6A1,5115,108.10822488215447,101.94632291599369,35.135173086700206,33.13255494769795
JRP112,RA,B cells,FN,6048,108.44234538918857,102.49198700102508,35.24376225148629,33.30989577533315
JRP112,RA,B cells,MFAP5,974,107.9707801669708,102.8496459635402,35.09050355426551,33.42613493815057
JRP112,RA,CD4 T cells,CHP,44564,107.5243095081715,101.46076989096126,34.945400590155735,32.97475021456241
JRP112,RA,CD4 T cells,COL1A1bis,100272,107.82878976267125,101.91512277028141,35.044356672868155,33.12241490034146
JRP112,RA,CD4 T cells,COL4A1,21799,107.9382869130061,102.55750973161278,35.079943246726984,33.331190662774155
JRP112,RA,CD4 T cells,COL6A1,130931,107.91271525235464,101.8694526508193,35.07163245701526,33.107572111516276
JRP112,RA,CD4 T cells,FN,145728,107.85754167234128,101.82496692373006,35.05370104351092,33.093114250212274
JRP112,RA,CD4 T cells,MFAP5,36731,108.59541820083106,102.33364214736697,35.2935109152701,33.25843369789427
JRP112,RA,CD8 T cells,CHP,12591,108.47214884839951,101.88387178423258,35.253448375729846,33.11225832987559
JRP112,RA,CD8 T cells,COL1A1bis,25589,108.46113890711067,102.48550483590901,35.24987014481097,33.30778907167043
JRP112,RA,CD8 T cells,COL4A1,6145,107.99865928732373,102.2604204462949,35.09956426838021,33.234636645045846
JRP112,RA,CD8 T cells,COL6A1,32889,108.2063073446147,102.15297331202049,35.16704988699978,33.19971632640666
JRP112,RA,CD8 T cells,FN,40301,107.14542609023594,101.29410323432631,34.822263479326686,32.92058355115606
JRP112,RA,CD8 T cells,MFAP5,7128,110.48779005283161,103.58040749571613,35.908531767170274,33.66363243610775
JRP112,RA,Dendritic cells,CHP,2489,105.83740691254127,100.6978610429609,34.397157246575915,32.726804838962295
JRP112,RA,Dendritic cells,COL1A1bis,4587,106.57329557092605,100.98810807547689,34.63632106055097,32.82113512452999
JRP112,RA,Dendritic cells,COL4A1,881,115.1331966595714,109.2196972176167,37.41828891436071,35.49640159572543
JRP112,RA,Dendritic cells,COL6A1,6124,107.73755523346834,101.60827993697215,35.014705450877216,33.02269097951595
JRP112,RA,Dendritic cells,FN,7203,107.17455164581838,101.52213475023468,34.831729284890976,32.99469379382627
JRP112,RA,Dendritic cells,MFAP5,1094,107.01992053502892,102.88992959814283,34.7814741738844,33.43922711939642
JRP112,RA,MERTK+ Macrophages,CHP,14943,106.62576149559365,100.85604228570682,34.65337248606794,32.77821374285472
JRP112,RA,MERTK+ Macrophages,COL1A1bis,20173,108.81982097735315,102.51802720034874,35.366441817639775,33.31835884011334
JRP112,RA,MERTK+ Macrophages,COL4A1,4602,113.5032782176016,107.60559694938388,36.888565420720525,34.971819008549765
JRP112,RA,MERTK+ Macrophages,COL6A1,29261,107.64153597542035,101.44544602680052,34.983499192011614,32.969769958710174
JRP112,RA,MERTK+ Macrophages,FN,35785,108.13738645406895,102.01133605296388,35.14465059757241,33.15368421721326
JRP112,RA,MERTK+ Macrophages,MFAP5,5472,107.59117474946197,101.45743227002733,34.96713179357514,32.97366548775888
JRP112,RA,Macrophages,CHP,16986,105.99319490521633,100.18493105228107,34.44778834419531,32.56010259199135
JRP112,RA,Macrophages,COL1A1bis,32052,108.40877052446024,102.5265678116618,35.23285042044958,33.32113453879009
JRP112,RA,Macrophages,COL4A1,6318,110.84553383483278,105.76528492903073,36.024798496320656,34.373717601934985
JRP112,RA,Macrophages,COL6A1,45733,106.8716577166525,101.11974090537073,34.733288757912064,32.86391579424549
JRP112,RA,Macrophages,FN,46590,108.33210479472856,102.13041901445423,35.20793405828678,33.19238617969763
JRP112,RA,Macrophages,MFAP5,12154,108.70594513518634,101.92087678994102,35.32943216893556,33.12428495673083
