,annotation,annotation_level2,annotated_clusters_update3
exp_0,noise,noise,noise
exp_1,noise,noise,noise
exp_2,noise,noise,noise
exp_3,noise,noise,noise
exp_4,noise,noise,noise
exp_5,noise,noise,noise
exp_6,noise,noise,noise
exp_7,noise,noise,noise
exp_8,noise,noise,noise
exp_9,noise,noise,noise
exp_10,noise,noise,noise
exp_11,noise,noise,noise
exp_12,noise,noise,noise
exp_13,noise,noise,noise
exp_14,noise,noise,noise
exp_15,noise,noise,noise
exp_16,noise,noise,noise
exp_17,noise,noise,noise
exp_18,noise,noise,noise
exp_19,noise,noise,noise
exp_20,noise,noise,noise
exp_21,noise,noise,noise
exp_22,noise,noise,noise
exp_23,noise,noise,noise
exp_24,noise,noise,noise
exp_25,noise,noise,noise
exp_26,noise,noise,noise
exp_27,noise,noise,noise
exp_28,noise,noise,noise
exp_29,noise,noise,noise
exp_30,noise,noise,noise
exp_31,noise,noise,noise
exp_32,noise,noise,noise
exp_33,noise,noise,noise
exp_34,noise,noise,noise
exp_35,noise,noise,noise
exp_36,noise,noise,noise
exp_37,noise,noise,noise
exp_38,noise,noise,noise
exp_39,noise,noise,noise
exp_40,noise,noise,noise
exp_41,noise,noise,noise
exp_42,noise,noise,noise
exp_43,noise,noise,noise
exp_44,noise,noise,noise
exp_45,noise,noise,noise
exp_46,noise,noise,noise
exp_47,noise,noise,noise
exp_48,noise,noise,noise
exp_49,noise,noise,noise
exp_50,noise,noise,noise
exp_51,noise,noise,noise
exp_52,noise,noise,noise
exp_53,noise,noise,noise
exp_54,noise,noise,noise
exp_55,noise,noise,noise
exp_56,noise,noise,noise
exp_57,noise,noise,noise
exp_58,noise,noise,noise
exp_59,noise,noise,noise
exp_60,noise,noise,noise
exp_61,noise,noise,noise
exp_62,noise,noise,noise
exp_63,noise,noise,noise
exp_64,noise,noise,noise
exp_65,noise,noise,noise
exp_66,noise,noise,noise
exp_67,noise,noise,noise
exp_68,noise,noise,noise
exp_69,noise,noise,noise
exp_70,noise,noise,noise
exp_71,noise,noise,noise
exp_72,tumour,tumour,tumour
exp_73,noise,noise,noise
exp_74,tumour,tumour,tumour
exp_75,noise,noise,noise
exp_76,noise,noise,noise
exp_77,noise,noise,noise
exp_78,noise,noise,noise
exp_79,noise,noise,noise
exp_80,noise,noise,noise
exp_81,noise,noise,noise
exp_82,noise,noise,noise
exp_83,noise,noise,noise
exp_84,noise,noise,noise
exp_85,noise,noise,noise
exp_86,noise,noise,noise
exp_87,noise,noise,noise
exp_88,noise,noise,noise
exp_89,noise,noise,noise
exp_90,tumour,tumour,tumour
exp_91,noise,noise,noise
exp_92,tumour,tumour,tumour
exp_93,noise,noise,noise
exp_94,noise,noise,noise
exp_95,noise,noise,noise
exp_96,noise,noise,noise
exp_97,noise,noise,noise
exp_98,noise,noise,noise
exp_99,noise,noise,noise
exp_100,noise,noise,noise
exp_101,noise,noise,noise
exp_102,noise,noise,noise
exp_103,noise,noise,noise
exp_104,noise,noise,noise
exp_105,noise,noise,noise
exp_106,noise,noise,noise
exp_107,noise,noise,noise
exp_108,noise,noise,noise
exp_109,tumour,tumour,tumour
exp_110,noise,noise,noise
exp_111,noise,noise,noise
