,,CD45,CD3,CD4,CD8,CD19,CD56,CD161,TCRVa,CD39,CD25,CD57,CD40,ICOS,CD62L,CD45RO,IL18Ra,PD-L1,CD34,CD163,Ki67,CD38,CD279,CD11c,CD11b,CD16,FoxP3,CD69,CD15,HLADR,CD45RA,CD66b,CD68
all,T cells,pos,anypos,,,,allneg,allneg,,,,,,,,,,,,,,,,,,,,,,,,,
all,B cells,pos,allneg,,,allpos,allneg,,,,,,,,,,,,,,,,,,,,,,,,,,
all,NK cells,pos,allneg,,,allneg,allpos,,,,,,,,,,,,,,,,,,,,,,,,,,
all,MAIT-like cells,pos,allpos,,,allneg,,allpos,allpos,,,,,,,,,,,,,,,,,,,,,,,,
all,Neutrophils,pos,,,,,,,,,,,,,,,,,,,,,,,,,,,allpos,,,allpos,
all,Macrophages,pos,,,,,,,,,,,,,,,,,,,,,,allneg,,,,,,,,,allpos
all,DC-like cells,pos,,,,,,,,,,,,,,,,,,allneg,,,,allpos,,,,,,allpos,,,allneg
T cells,CD4 T cells,,,anypos,allneg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T cells,CD8 T cells,,,allneg,anypos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD4 T cells,Treg,,,,,,,,,,,,,,,,,,,,,,,,,,anypos,,,,,,
CD8 T cells,PD-1+ CD8 T cells,,,,,,,,,,,,,,,,,,,,,,anypos,,,,,,,,,,
CD8 T cells,Late dysfunctional CD8 T cells,,,,,,,,,anypos,,,,,,,,,,,,,,,,,,,,,,,
CD8 T cells,Naive-like CD8 T cells,,,,,,,,,,,,,,,allneg,,,,,,,,,,,,,,,anypos,,
CD8 T cells,Tissue-resident memory CD8 T cells,,,,,,,,,,,,,,allneg,allpos,,,,,,,,,,,,allpos,,,allneg,,
PD-1+ CD8 T cells,PD-1+ Tissue-resident memory CD8 T cells,,,,,,,,,,,,,,allneg,allpos,,,,,,,,,,,,allpos,,,allneg,,
CD8 T cells,Memory CD8 T cells,,,,,,,,,,,,,,,anypos,,,,,,,,,,,,allneg,,,allneg,,
CD8 T cells,Activated CD8 T cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anypos,,,
CD8 T cells,Proliferating CD8 T cells,,,,,,,,,,,,,,,,,,,,anypos,,,,,,,,,,,,
CD8 T cells,CD57+ CD8 T cells,,,,,,,,,,,anypos,,,,,,,,,,,,,,,,,,,,,
CD4 T cells,Naive-like CD4 T cells,,,,,,,,,,,,,,,allneg,,,,,,,,,,,,,,,anypos,,
CD4 T cells,Tissue-resident memory CD4 T cells,,,,,,,,,,,,,,allneg,allpos,,,,,,,,,,,,allpos,,,allneg,,
PD-1+ CD4 T cells,PD-1+ Tissue-resident memory CD4 T cells,,,,,,,,,,,,,,allneg,allpos,,,,,,,,,,,,allpos,,,allneg,,
CD4 T cells,Memory CD4 T cells,,,,,,,,,,,,,,,anypos,,,,,,,,,,,,allneg,,,allneg,,
CD4 T cells,Activated CD4 T cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anypos,,,
CD4 T cells,PD-1+ CD4 T cells,,,,,,,,,,,,,,,,,,,,,,anypos,,,,,,,,,,
Treg,Proliferating Treg,,,,,,,,,,,,,,,,,,,,anypos,,,,,,,,,,,,
NK cells,PD-L1+ Tissue-resident-like NK cells,,neg,,,neg,pos,,,,,,,,,,,pos,,,,,,,,neg,,pos,,,,,
NK cells,Non-tissue-resident-like NK cells,,,,,,,,,,,,,,,,,,,,,,,,,anypos,,allneg,,,,,
PD-L1+ NK cells,PD-L1+ Tissue-resident-like NK cells,,,,,,,,,,,,,,,,,,,,,,,,,allneg,,anypos,,,,,
NK cells,Tissue-resident-like NK cells,,,,,,,,,,,,,,,,,,,,,,,,,allneg,,anypos,,,,,
NK cells,PD-L1+ NK cells,,,,,,,,,,,,,,,,,anypos,,,,,,,,,,,,,,,
Neutrophils,PD-L1+ neutrophils,,,,,,,,,,,,,,,,,anypos,,,,,,,,,,,,,,,
