marker,preferred_method,target_positive_fraction,reference_positive_fraction,reference_log1p_gate,reference_raw_gate,staining_condition,compartment_pattern,expression_condition,artifact_level,review_priority,if_overcall,if_undercall,strategy_note,learned_from
CD56,upper_tail_gmm_q75,,0.0583817789562095,2.0810037496774627,7.0125074310417235,clear_specific,membrane,multi_level,low,medium,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,learned to avoid broad background/component shoulder overcall,LHCC35_round3
CD161,upper_tail_gmm_q75,,0.0787742296734243,1.984052793921813,6.272155891874057,clear_specific,membrane,bimodal,low,medium,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,learned to avoid broad background/component shoulder overcall,LHCC35_round3
TCRVa,target_positive_fraction,0.0370053194117356,0.0370053194117356,1.772238641929165,4.8840108218037575,clear_specific,membrane,bimodal,low,high,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,fraction-tuned from iterative visual QC; inspect on each new sample,LHCC35_round3
CD39,upper_tail_gmm_q75,,0.062202532896362,2.1828268166386433,7.871348522711995,clear_specific,membrane,multi_level,low,medium,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,learned to avoid broad background/component shoulder overcall,LHCC35_round3
CD25,upper_tail_gmm_q90,,0.0292855848882594,2.046553429446635,6.741174570993828,diffuse_background,membrane,bimodal,medium,medium,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,strict upper-tail gate for sparse/high-background marker,LHCC35_round3
CD57,target_positive_fraction,0.0320646893167108,0.0320646893167108,1.821566435024225,5.181533841081443,clear_specific,membrane,bimodal,low,high,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,fraction-tuned from iterative visual QC; inspect on each new sample,LHCC35_round3
CD40,upper_tail_gmm_q75,,0.0713879876813623,2.1052948234964735,7.209523013120437,clear_specific,membrane,broad_gradient,low,medium,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,learned to avoid broad background/component shoulder overcall,LHCC35_round3
ICOS,target_positive_fraction,0.0617290558455888,0.0617290558455888,2.0003136896467093,6.391374332911829,high_background_specific_tail,membrane,bimodal,medium,high,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,fraction-tuned from iterative visual QC; inspect on each new sample,LHCC35_round3
CD3,3component_gmm_high,,0.1340022397523097,1.9452551116979868,5.995416239929654,clear_specific,membrane,bimodal,low,low,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,component gate worked on visual overlay,LHCC35_round3
CD62L,target_positive_fraction,0.0418677228635892,0.0418677228635892,2.0053247340078633,6.428505793582954,high_background_specific_tail,membrane,bimodal,medium,high,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,fraction-tuned from iterative visual QC; inspect on each new sample,LHCC35_round3
LYVE1,3component_gmm_high,,0.3799715090331187,1.9598494235022124,6.098258153828994,clear_specific,membrane,bimodal,low,low,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,component gate worked on visual overlay,LHCC35_round3
CD45RO,upper_tail_gmm_q75,,0.0854276115347243,2.0500602449131637,6.768369096931272,diffuse_background,membrane,bimodal,medium,medium,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,learned to avoid broad background/component shoulder overcall,LHCC35_round3
IL18Ra,target_positive_fraction,0.1120411389799245,0.1120411389799245,2.1806635689877267,7.852178341260568,diffuse_background,membrane,broad_gradient,low,high,raise gate slightly or move q75->q90 / reduce target fraction by 20%,lower gate slightly or move q90->q75 / increase target fraction by 50% capped at +5pp,fraction-tuned from iterative visual QC; inspect on each new sample,LHCC35_round3
